person_id,canonical_name,birth_year,death_year,second_review_status,second_review_openalex_ids,second_reviewer,mh_blinded_at_second_review,second_review_date,notes
cv_Q400678,Ahmad Kasravi,1890,1946,VERIFIED_CLUSTER,A5051478460;A5059432179,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: VIAF 90776157 matches Kasravi; OpenAlex A5051478460 and A5059432179 contain Persian works on Iranian constitutional revolution (1999‑2006) consistent with his bibliography, likely post‑humous editions. A5092600832 (2023) unrelated. Conflicts: none. Sources: Wikidata, VIAF, OpenAlex author pages."
cv_Q6240621,John I. Yellott,1908,1986,AMBIGUOUS_COLLISION,,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata lists Yellott (1908‑1986) solar engineer; OpenAlex A5062000241 has works from 1970s‑80s matching his era but also a 2012 paper unlikely for him. No ORCID or affiliation to confirm identity. Conflict: post‑humous 2012 co‑authorship suggests different namesake. Sources: Wikidata, OpenAlex."
cv_Q24287044,Hilario Hernández Gurruchaga,1936,2010,VERIFIED_SINGLE,A5077518778,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata shows Hilario Hernández Gurruchaga (1936‑2010) Chilean urban scholar; OpenAlex A5077518778 lists urban‑studies works (1982‑2019) matching his field. A5031000107 (plant sciences) unrelated. No conflicts. Sources: Wikidata, OpenAlex."
cv_Q5932286,Dan Laksov,1940,2013,VERIFIED_SINGLE,A5026699275,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata lists Dan Laksov (1940‑2013) mathematician; OpenAlex A5026699275 has algebraic geometry papers (1972‑1994) aligning with his career. No other candidates. No conflicts. Sources: Wikidata, OpenAlex."
cv_Q1354374,Erika Greber,1952,2011,VERIFIED_SINGLE,A5067191806,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: VIAF 266971883, ISNI 0000000109009595. OpenAlex A5067191806 has 39 works on German literature (1994‑2011) matching professor career; other IDs are single‑work fragments. No conflict. Sources: VIAF, OpenAlex."
cv_Q6213800,Joel Olson,1967,2012,VERIFIED_SINGLE,A5014404041,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: VIAF 4321475, ORCID 0000-0002-3423-8514. OpenAlex A5014404041 publishes race and political theory works (2005‑2016) aligning with activist; other IDs are nanoscience or space researchers, incompatible. Sources: VIAF, ORCID, OpenAlex."
cv_Q1795953,Otto Siebert,1869,1963,VERIFIED_SINGLE,A5025360349,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: VIAF 71767031. OpenAlex A5025360349 has works on philosophy and anthropology (1904‑1907) fitting theologian profile; other ID (A5048471552) is medical, unrelated. Sources: VIAF, OpenAlex."
cv_Q7659879,Sydney Copeman,1862,1947,VERIFIED_CLUSTER,A5099768349;A5098192254;A5104522501,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata shows British physician (1862‑1947) known for smallpox vaccine. OpenAlex works 1894‑1908 on variola/vaccinia match timeline and field. Multiple IDs (A5099768349, A5098192254, A5104522501) share name and dates, indicating fragmented record. No ORCID conflict. Sources: Wikidata Q7659879; OpenAlex author pages."
cv_Q72927,Ottomar Rosenbach,1851,1907,VERIFIED_CLUSTER,A5076990306;A5070702468;A5099157538,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata shows physician 1851-1907; works 1870s-1880s. OpenAlex IDs A5076990306, A5070702468, A5099157538 have matching medical works and dates. Conflicts: other IDs are modern or unrelated. Sources: Wikidata, OpenAlex author pages."
cv_Q20031320,Fred Casey,1876,1956,NO_GRAPH_RECORD,,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Fred Casey socialist educator (1876-1956) with no 19th‑20th‑century publications. OpenAlex candidates are modern scholars or unrelated US registrants. No matching works or affiliations. Conflicts: none matching era. Sources: Wikidata, OpenAlex search."
cv_Q124897,Anton Moortgat,1897,1977,VERIFIED_CLUSTER,A5018704554;A5004074646;A5013225685;A5002464423;A5104414231;A5104397241,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Archaeologist 1897-1977; multiple OpenAlex IDs list Near Eastern archaeology works 1940s‑1980s. All IDs share name, era, topics, coauthor Ursula Moortgat-Correns. Conflicts: none; other IDs are unrelated fields. Sources: Wikidata, OpenAlex author records."
cv_Q1038195,Carl Föhl,1901,1973,VERIFIED_SINGLE,A5066316605,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Economist 1901-1973; OpenAlex A5066316605 has works 1953‑1968 on economics matching career. Other IDs are future publications. Conflicts: none. Sources: Wikidata, OpenAlex author page."
cv_Q60859,Fritz Strassmann,1902,1980,VERIFIED_CLUSTER,A5020520409;A5063830819,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata shows chemist (1902-1980). OpenAlex IDs A5020520409 and A5063830819 have matching name, nuclear chemistry topics, 1930s works with Otto Hahn and Hermann Reddemann, consistent with Strassmann's career. No ORCID conflict. Conflicts: none."
cv_Q1839062,Torkel Franzén,1950,2006,VERIFIED_SINGLE,A5036562220,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata lists mathematician (1950-2006). OpenAlex A5036562220 matches name, logic topics, works 1992-2017 on Gödel and incompleteness, matching career. No conflicting IDs. Conflicts: none."
cv_Q15994329,Cecil Joslin Brooks,1875,1953,VERIFIED_SINGLE,A5081875897,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata shows botanist (1875-1953). OpenAlex A5081875897 (C J Brooks) has 1911 botanical/geographic work, timeframe fits, name variant plausible. No other candidates. Conflicts: none."
cv_Q4937482,Bogdan Zakrzewski,1916,2011,VERIFIED_SINGLE,A5111381182,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata lists historian (1916-2011). OpenAlex A5111381182 matches name, Polish literature topics, works 1950s-1998, consistent with academic career. No ORCID or name conflicts. Conflicts: none."
cv_Q3596077,Francisco Tamayo,1902,1985,AMBIGUOUS_COLLISION,,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: botanist 1970 manual matches historic Tamayo. OpenAlex: author A5110677739 mixes 1970 botany work with recent medical/astronomy papers, indicating multiple namesakes. Conflicts: divergent topics, ORCID belongs to modern researcher. Sources: Wikidata Q3596077, OpenAlex profile A5110677739."
cv_Q1577507,Hans-Joachim Weimann,1932,2012,EXCLUDED_IDENTITY_ERROR,,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: historian Weimann (1932‑2012) specialized in forestry/history. OpenAlex: only candidate A5064752221 authored a 2000 law/IT paper, unrelated field and era. Conflicts: mismatched discipline and timeline. Sources: Wikidata Q1577507, OpenAlex A5064752221."
cv_Q2545268,Walter L. Bühl,1934,2007,VERIFIED_CLUSTER,A5065115676;A5068802409;A5117551307;A5032249959,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: sociologist Bühl (1934‑2007) published German sociology works 1970‑1998. OpenAlex: four IDs (A5065115676, A5068802409, A5117551307, A5032249959) contain matching titles, German language, and consistent topics. Conflicts: none; they represent name variants. Sources: Wikidata Q2545268, OpenAlex profiles."
cv_Q57447297,Thomas Aisu,1954,2018,VERIFIED_SINGLE,A5109195156,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Ugandan physician Aisu (1954‑2018) worked on TB/HIV. OpenAlex: A5109195156 lists Ugandan studies (1992,1995,2010) matching his career. Conflicts: none. Sources: Wikidata Q57447297, OpenAlex A5109195156."
cv_Q6947701,Itzhak Ilan,1956,2020,EXCLUDED_IDENTITY_ERROR,,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata shows Israeli security official (military/spy). OpenAlex A5018849743 is orthopedic researcher (Ilan Ben-Itzhak). Conflicts: occupation, field, works unrelated. Sources: Wikidata Q6947701; OpenAlex A5018849743."
cv_Q23059458,Minoo Lenarz,1966,2015,VERIFIED_CLUSTER,A5073627948;A5106979614,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata lists otolaryngology professor. OpenAlex A5073627948 matches name, field, many cochlear‑implant works; A5106979614 same name variant with related surgical paper. No conflicts. Sources: Wikidata Q23059458; OpenAlex A5073627948; A5106979614."
cv_Q3052265,Émile Haumant,1859,1942,VERIFIED_CLUSTER,A5001687639;A5032545110,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata identifies French linguist/slavist. OpenAlex A5001687639 and A5032545110 both publish works on French‑Russian history, Yugoslavia, matching field and era (1910‑1927). No conflicts. Sources: Wikidata Q3052265; OpenAlex A5001687639; A5032545110."
cv_Q19850025,Oskar Simony,1852,1915,VERIFIED_CLUSTER,A5012920577;A5071357435;A5149748217,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata lists mathematician, physicist, explorer, botanist (1852‑1915). OpenAlex A5012920577 and A5071357435 share identical topology paper (duplicate); A5149748217 on wood measurement aligns with botanist/engineering interests. All refer to same Oskar Simony. Sources: Wikidata Q19850025; OpenAlex A5012920577; A5071357435; A5149748217."
cv_Q3385700,Pierre L. G. Benoit,1920,1995,VERIFIED_CLUSTER,A5063335980;A5072950904;A5133441731,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata shows Belgian zoologist/arachnologist (1920‑1995). OpenAlex IDs A5063335980, A5072950904, A5133441731 all publish African insect/arachnid works (1956‑1986) matching field and era. No conflicting affiliations. Sources: OpenAlex author pages, VIAF."
cv_Q2641681,Alexander Aigner,1909,1988,AMBIGUOUS_COLLISION,,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata identifies Austrian mathematician (1909‑1988). OpenAlex ID A5035950863 contains his 1950s‑60s math papers but also many unrelated cardiology works, indicating a merged profile. Separate math‑only IDs exist (A5103302324, A5100268971) but are fragmentary. Cannot isolate full identity confidently."
cv_Q7416679,Sandra Leiblum,1943,2010,VERIFIED_SINGLE,A5075417166,"AI:gpt-oss-120b (isolated second-review surface, temperature 0)",true,2026-09-19,"Evidence: Wikidata lists Sandra Leiblum (1943‑2010), psychologist/sex educator. OpenAlex author A5075417166 has extensive sexual dysfunction publications matching her known work. Other ID A5006728685 shows unrelated 1967 memory paper, likely a different Sandra. Chosen best match."
