person_id,canonical_name,first_status,second_status,first_ids,second_ids,state_match,id_set_match,extra_ids_second,missing_ids_second,notes
cv_Q24287044,Hilario Hernández Gurruchaga,VERIFIED_CLUSTER,VERIFIED_SINGLE,A5031000107;A5077518778,A5077518778,False,,,A5031000107,"Evidence: Wikidata shows Hilario Hernández Gurruchaga (1936‑2010) Chilean urban scholar; OpenAlex A5077518778 lists urban‑studies works (1982‑2019) matching his field. A5031000107 (plant sciences) unrelated. No conflicts. Sources: Wikidata, OpenAlex."
cv_Q1354374,Erika Greber,VERIFIED_CLUSTER,VERIFIED_SINGLE,A5067191806;A5093308260;A5127108224,A5067191806,False,,,A5093308260;A5127108224,"Evidence: VIAF 266971883, ISNI 0000000109009595. OpenAlex A5067191806 has 39 works on German literature (1994‑2011) matching professor career; other IDs are single‑work fragments. No conflict. Sources: VIAF, OpenAlex."
cv_Q6213800,Joel Olson,VERIFIED_CLUSTER,VERIFIED_SINGLE,A5014404041;A5014962549;A5136923364,A5014404041,False,,,A5014962549;A5136923364,"Evidence: VIAF 4321475, ORCID 0000-0002-3423-8514. OpenAlex A5014404041 publishes race and political theory works (2005‑2016) aligning with activist; other IDs are nanoscience or space researchers, incompatible. Sources: VIAF, ORCID, OpenAlex."
cv_Q7659879,Sydney Copeman,AMBIGUOUS_COLLISION,VERIFIED_CLUSTER,,A5098192254;A5099768349;A5104522501,False,,A5098192254;A5099768349;A5104522501,,"Evidence: Wikidata shows British physician (1862‑1947) known for smallpox vaccine. OpenAlex works 1894‑1908 on variola/vaccinia match timeline and field. Multiple IDs (A5099768349, A5098192254, A5104522501) share name and dates, indicating fragmented record. No ORCID conflict. Sources: Wikidata Q7659879; OpenAlex author pages."
cv_Q72927,Ottomar Rosenbach,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5071187168;A5076990306,A5070702468;A5076990306;A5099157538,True,False,A5070702468;A5099157538,A5071187168,"Evidence: Wikidata shows physician 1851-1907; works 1870s-1880s. OpenAlex IDs A5076990306, A5070702468, A5099157538 have matching medical works and dates. Conflicts: other IDs are modern or unrelated. Sources: Wikidata, OpenAlex author pages."
cv_Q20031320,Fred Casey,EXCLUDED_IDENTITY_ERROR,NO_GRAPH_RECORD,,,False,,,,"Evidence: Fred Casey socialist educator (1876-1956) with no 19th‑20th‑century publications. OpenAlex candidates are modern scholars or unrelated US registrants. No matching works or affiliations. Conflicts: none matching era. Sources: Wikidata, OpenAlex search."
cv_Q124897,Anton Moortgat,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5004074646;A5013225685;A5018704554;A5104397241;A5104414231,A5002464423;A5004074646;A5013225685;A5018704554;A5104397241;A5104414231,True,False,A5002464423,,"Evidence: Archaeologist 1897-1977; multiple OpenAlex IDs list Near Eastern archaeology works 1940s‑1980s. All IDs share name, era, topics, coauthor Ursula Moortgat-Correns. Conflicts: none; other IDs are unrelated fields. Sources: Wikidata, OpenAlex author records."
cv_Q15994329,Cecil Joslin Brooks,AMBIGUOUS_COLLISION,VERIFIED_SINGLE,,A5081875897,False,,A5081875897,,"Evidence: Wikidata shows botanist (1875-1953). OpenAlex A5081875897 (C J Brooks) has 1911 botanical/geographic work, timeframe fits, name variant plausible. No other candidates. Conflicts: none."
cv_Q1577507,Hans-Joachim Weimann,AMBIGUOUS_COLLISION,EXCLUDED_IDENTITY_ERROR,,,False,,,,"Evidence: historian Weimann (1932‑2012) specialized in forestry/history. OpenAlex: only candidate A5064752221 authored a 2000 law/IT paper, unrelated field and era. Conflicts: mismatched discipline and timeline. Sources: Wikidata Q1577507, OpenAlex A5064752221."
cv_Q6947701,Itzhak Ilan,AMBIGUOUS_COLLISION,EXCLUDED_IDENTITY_ERROR,,,False,,,,"Evidence: Wikidata shows Israeli security official (military/spy). OpenAlex A5018849743 is orthopedic researcher (Ilan Ben-Itzhak). Conflicts: occupation, field, works unrelated. Sources: Wikidata Q6947701; OpenAlex A5018849743."
