record_id,field,A2,B2
V203,opposition_valid,no,yes
V205,opposition_valid,no,yes
V211,opposition_valid,no,yes
V214,opposition_valid,uncertain,yes
V215,opposition_valid,no,yes
V225,opposition_valid,no,yes
V227,opposition_valid,yes,no
V228,opposition_valid,no,yes
V203,oci_candidate,no,yes
V205,oci_candidate,no,yes
V211,oci_candidate,no,yes
V214,oci_candidate,uncertain,yes
V215,oci_candidate,no,yes
V225,oci_candidate,no,yes
V227,oci_candidate,yes,no
V228,oci_candidate,no,yes
V203,rel_same_construct_reversal,0,1
V204,rel_same_construct_reversal,uncertain,0
V207,rel_same_construct_reversal,uncertain,1
V209,rel_same_construct_reversal,uncertain,1
V210,rel_same_construct_reversal,uncertain,1
V211,rel_same_construct_reversal,0,1
V220,rel_same_construct_reversal,uncertain,0
V222,rel_same_construct_reversal,0,uncertain
V223,rel_same_construct_reversal,0,uncertain
V224,rel_same_construct_reversal,0,uncertain
V225,rel_same_construct_reversal,0,1
V227,rel_same_construct_reversal,1,0
V228,rel_same_construct_reversal,0,1
V204,rel_target_reversal,1,0
V207,rel_target_reversal,1,uncertain
V211,rel_target_reversal,0,uncertain
V214,rel_target_reversal,0,1
V215,rel_target_reversal,0,1
V220,rel_target_reversal,uncertain,1
V222,rel_target_reversal,0,uncertain
V223,rel_target_reversal,0,uncertain
V224,rel_target_reversal,0,uncertain
V225,rel_target_reversal,0,uncertain
V226,rel_target_reversal,1,uncertain
V227,rel_target_reversal,1,0
V228,rel_target_reversal,0,uncertain
V201,rel_functional_reversal,0,1
V203,rel_functional_reversal,0,1
V205,rel_functional_reversal,0,1
V207,rel_functional_reversal,uncertain,1
V208,rel_functional_reversal,uncertain,1
V209,rel_functional_reversal,uncertain,1
V211,rel_functional_reversal,0,1
V214,rel_functional_reversal,0,1
V215,rel_functional_reversal,0,1
V225,rel_functional_reversal,0,1
V226,rel_functional_reversal,0,uncertain
V228,rel_functional_reversal,0,1
V204,rel_relational_reversal,uncertain,0
V211,rel_relational_reversal,0,uncertain
