model,exposure,term,beta,se,ci_low,ci_high,n,countries
TWFE_A0_FULL,hours,hours_per_100,0.03496099398979269,0.02958177969994889,-0.023019294222107134,0.09294128220169251,2015,130
TWFE_A0_A1SAMPLE,hours,hours_per_100,0.03487015760355017,0.029548110101687577,-0.023044138195757485,0.09278445340285782,2000,129
TWFE_A1,hours,hours_per_100,0.012981865209984334,0.02599806157261599,-0.037974335472342996,0.06393806589231167,2000,129
TWFE_A1,hours,log_gdp_pc,0.04393676587062921,0.017720016474726177,0.009205533580165903,0.07866799816109252,2000,129
TWFE_A1,hours,unemployment_pct,-0.0607313070824723,0.00802710525967638,-0.076464433391438,-0.04499818077350659,2000,129
TWFE_A1,hours,inflation_pct,-0.004219791409043281,0.0020158200301312163,-0.008170798668100464,-0.00026878414998609667,2000,129
FD_A0_FULL,hours,delta_hours_per_100,0.06152990181179867,0.03497857721916303,-0.007028109537760868,0.1300879131613582,1744,128
FD_A0_A1SAMPLE,hours,delta_hours_per_100,0.06080703497831112,0.03497767520786407,-0.0077492084291024554,0.1293632783857247,1733,127
FD_A1,hours,delta_hours_per_100,0.05131247068255891,0.034467800073843355,-0.01624441746217406,0.11886935882729188,1733,127
FD_A1,hours,delta_log_gdp_pc,-0.0021934181314574443,0.008766217965709769,-0.01937520534424859,0.014988369081333702,1733,127
FD_A1,hours,delta_unemployment_pct,-0.040138376103713395,0.00960077419088378,-0.05895589351784561,-0.021320858689581185,1733,127
FD_A1,hours,delta_inflation_pct,-0.0005686123204159894,0.0003418817736614591,-0.0012387005967924494,0.00010147595596047036,1733,127
TWFE_A0_FULL,leave,leave_per_5_days,0.042041027290174206,0.06050772607603566,-0.07655411581885568,0.1606361703992041,1934,161
TWFE_A0_A1SAMPLE,leave,leave_per_5_days,0.027304387156105562,0.06188914882464472,-0.09399834454019809,0.1486071188524092,1885,157
TWFE_A1,leave,leave_per_5_days,0.04545506119030802,0.0581208670175328,-0.06846183816405627,0.15937196054467231,1885,157
TWFE_A1,leave,log_gdp_pc,0.35498006859658776,0.041726354913403825,0.27319641296631625,0.4367637242268593,1885,157
TWFE_A1,leave,unemployment_pct,-0.05675996052527523,0.00636678271441862,-0.06923885464553572,-0.04428106640501474,1885,157
TWFE_A1,leave,inflation_pct,-0.003530829237783341,0.0011600238490765285,-0.005804475981973337,-0.001257182493593345,1885,157
FD_A0_FULL,leave,delta_leave_per_5_days,-0.09410450978929412,0.03996221498675806,-0.1724304511633399,-0.01577856841524833,1628,155
FD_A0_A1SAMPLE,leave,delta_leave_per_5_days,-0.11793467577663819,0.03731661690551641,-0.19107524491145034,-0.04479410664182602,1588,151
FD_A1,leave,delta_leave_per_5_days,-0.08086043494436361,0.052700516364786516,-0.18415344701934516,0.022432577130617956,1588,151
FD_A1,leave,delta_log_gdp_pc,0.1379053137954076,0.03533864388312894,0.06864157178447489,0.20716905580634032,1588,151
FD_A1,leave,delta_unemployment_pct,-0.04411792772884937,0.00781479472746518,-0.05943492539468112,-0.028800930063017618,1588,151
FD_A1,leave,delta_inflation_pct,-0.002589385383702956,0.0010591557530317019,-0.004665330659645092,-0.0005134401077608207,1588,151
TWFE_A0_FULL,joint,hours_per_100,0.062491758707016155,0.034691715742999014,-0.005504004149261908,0.1304875215632942,1663,129
TWFE_A0_FULL,joint,leave_per_5_days,0.03804906503850594,0.05898152071290166,-0.07755471555878131,0.15365284563579318,1663,129
TWFE_A0_A1SAMPLE,joint,hours_per_100,0.062341709699356714,0.03453482549588599,-0.005346548272579819,0.13002996767129324,1629,126
TWFE_A0_A1SAMPLE,joint,leave_per_5_days,0.0397082963441067,0.0591615280894967,-0.07624829871130684,0.15566489139952022,1629,126
TWFE_A1,joint,hours_per_100,0.014736476153675883,0.03055551881533838,-0.04515234072438734,0.0746252930317391,1629,126
TWFE_A1,joint,leave_per_5_days,0.05911105840256918,0.05514435058928171,-0.04897186875242297,0.16719398555756132,1629,126
TWFE_A1,joint,log_gdp_pc,0.6372698971628458,0.20857445661552207,0.2284639621964225,1.0460758321292691,1629,126
TWFE_A1,joint,unemployment_pct,-0.05233788445668926,0.006950813500211305,-0.06596147891710341,-0.0387142899962751,1629,126
TWFE_A1,joint,inflation_pct,-0.0026943096661955408,0.0008121358816552247,-0.004286095994239781,-0.0011025233381513004,1629,126
FD_A0_FULL,joint,delta_hours_per_100,0.06219293751057341,0.03670071446658016,-0.0097404628439237,0.1341263378650705,1412,127
FD_A0_FULL,joint,delta_leave_per_5_days,-0.11108550651946719,0.04615076806528717,-0.20154101192743007,-0.02063000111150433,1412,127
FD_A0_A1SAMPLE,joint,delta_hours_per_100,0.06175190555554192,0.03668090227580845,-0.010142662905042628,0.13364647401612648,1387,124
FD_A0_A1SAMPLE,joint,delta_leave_per_5_days,-0.11108659974412559,0.04601419578946399,-0.201274423491475,-0.02089877599677617,1387,124
FD_A1,joint,delta_hours_per_100,0.03587384604139416,0.03425263663015354,-0.03126132175370678,0.1030090138364951,1387,124
FD_A1,joint,delta_leave_per_5_days,-0.07274760805952317,0.06285092893008189,-0.19593542876248365,0.05044021264343733,1387,124
FD_A1,joint,delta_log_gdp_pc,0.7253697488676317,0.29645500909027905,0.1443179310506848,1.3064215666845787,1387,124
FD_A1,joint,delta_unemployment_pct,-0.03734224079267048,0.008729308446362575,-0.05445168534754112,-0.02023279623779983,1387,124
FD_A1,joint,delta_inflation_pct,-0.0008790338414735781,0.0008037038382787154,-0.0024542933644998606,0.0006962256815527042,1387,124
