sample,model,term,beta,se,ci_low,ci_high,n,countries
leave,TWFE_A1,leave_per_5_days,0.04545506119030802,0.0581208670175328,-0.06846183816405627,0.15937196054467231,1885,157
leave,TWFE_A1,log_gdp_pc,0.35498006859658776,0.041726354913403825,0.27319641296631625,0.4367637242268593,1885,157
leave,TWFE_A1,unemployment_pct,-0.05675996052527523,0.00636678271441862,-0.06923885464553572,-0.04428106640501474,1885,157
leave,TWFE_A1,inflation_pct,-0.003530829237783341,0.0011600238490765285,-0.005804475981973337,-0.001257182493593345,1885,157
leave,FD_A1,delta_leave_per_5_days,-0.08086043494436361,0.052700516364786516,-0.18415344701934516,0.022432577130617956,1588,151
leave,FD_A1,delta_log_gdp_pc,0.1379053137954076,0.03533864388312894,0.06864157178447489,0.20716905580634032,1588,151
leave,FD_A1,delta_unemployment_pct,-0.04411792772884937,0.00781479472746518,-0.05943492539468112,-0.028800930063017618,1588,151
leave,FD_A1,delta_inflation_pct,-0.002589385383702956,0.0010591557530317019,-0.004665330659645092,-0.0005134401077608207,1588,151
hours,TWFE_A1,hours_per_100,0.012981865209984334,0.02599806157261599,-0.037974335472342996,0.06393806589231167,2000,129
hours,TWFE_A1,log_gdp_pc,0.04393676587062921,0.017720016474726177,0.009205533580165903,0.07866799816109252,2000,129
hours,TWFE_A1,unemployment_pct,-0.0607313070824723,0.00802710525967638,-0.076464433391438,-0.04499818077350659,2000,129
hours,TWFE_A1,inflation_pct,-0.004219791409043281,0.0020158200301312163,-0.008170798668100464,-0.00026878414998609667,2000,129
hours,FD_A1,delta_hours_per_100,0.05131247068255891,0.034467800073843355,-0.01624441746217406,0.11886935882729188,1733,127
hours,FD_A1,delta_log_gdp_pc,-0.0021934181314574443,0.008766217965709769,-0.01937520534424859,0.014988369081333702,1733,127
hours,FD_A1,delta_unemployment_pct,-0.040138376103713395,0.00960077419088378,-0.05895589351784561,-0.021320858689581185,1733,127
hours,FD_A1,delta_inflation_pct,-0.0005686123204159894,0.0003418817736614591,-0.0012387005967924494,0.00010147595596047036,1733,127
joint,TWFE_A1,hours_per_100,0.014736476153675883,0.03055551881533838,-0.04515234072438734,0.0746252930317391,1629,126
joint,TWFE_A1,leave_per_5_days,0.05911105840256918,0.05514435058928171,-0.04897186875242297,0.16719398555756132,1629,126
joint,TWFE_A1,log_gdp_pc,0.6372698971628458,0.20857445661552207,0.2284639621964225,1.0460758321292691,1629,126
joint,TWFE_A1,unemployment_pct,-0.05233788445668926,0.006950813500211305,-0.06596147891710341,-0.0387142899962751,1629,126
joint,TWFE_A1,inflation_pct,-0.0026943096661955408,0.0008121358816552247,-0.004286095994239781,-0.0011025233381513004,1629,126
joint,FD_A1,delta_hours_per_100,0.03587384604139416,0.03425263663015354,-0.03126132175370678,0.1030090138364951,1387,124
joint,FD_A1,delta_leave_per_5_days,-0.07274760805952317,0.06285092893008189,-0.19593542876248365,0.05044021264343733,1387,124
joint,FD_A1,delta_log_gdp_pc,0.7253697488676317,0.29645500909027905,0.1443179310506848,1.3064215666845787,1387,124
joint,FD_A1,delta_unemployment_pct,-0.03734224079267048,0.008729308446362575,-0.05445168534754112,-0.02023279623779983,1387,124
joint,FD_A1,delta_inflation_pct,-0.0008790338414735781,0.0008037038382787154,-0.0024542933644998606,0.0006962256815527042,1387,124
leave_infl_abs_le100,TWFE_A1,leave_per_5_days,0.04676253980405286,0.056066540609909864,-0.06312787979137047,0.15665295939947618,1879,157
leave_infl_abs_le100,TWFE_A1,log_gdp_pc,0.36392547708692746,0.04293471418341489,0.27977343728743426,0.44807751688642067,1879,157
leave_infl_abs_le100,TWFE_A1,unemployment_pct,-0.05710867590193964,0.006255151933924419,-0.0693687736924315,-0.04484857811144778,1879,157
leave_infl_abs_le100,TWFE_A1,inflation_pct,-0.009239199369159366,0.0035724130052229583,-0.016241128859396364,-0.002237269878922368,1879,157
hours_infl_abs_le100,TWFE_A1,hours_per_100,0.01098311904808236,0.02630362490335984,-0.04057198576250293,0.06253822385866764,1993,129
hours_infl_abs_le100,TWFE_A1,log_gdp_pc,0.04357387521302063,0.017346299603913668,0.009575127989349841,0.07757262243669141,1993,129
hours_infl_abs_le100,TWFE_A1,unemployment_pct,-0.059968999089736394,0.007724452407638216,-0.0751089258087073,-0.04482907237076549,1993,129
hours_infl_abs_le100,TWFE_A1,inflation_pct,-0.009405744830956303,0.002485704163664621,-0.01427772499173896,-0.004533764670173646,1993,129
joint_infl_abs_le100,TWFE_A1,hours_per_100,0.011682496944584597,0.029807497410174286,-0.046740197979357,0.07010519186852619,1627,126
joint_infl_abs_le100,TWFE_A1,leave_per_5_days,0.05900347304992599,0.05336344673801112,-0.045588882556575804,0.16359582865642777,1627,126
joint_infl_abs_le100,TWFE_A1,log_gdp_pc,0.6127848386489272,0.20836004748061765,0.20439914558691658,1.0211705317109379,1627,126
joint_infl_abs_le100,TWFE_A1,unemployment_pct,-0.052822163102137644,0.006918467343009568,-0.06638235909443639,-0.03926196710983889,1627,126
joint_infl_abs_le100,TWFE_A1,inflation_pct,-0.00972571495728322,0.00353209977332014,-0.016648630512990693,-0.0028027994015757457,1627,126
