model,exposure,term,beta,se,ci_low,ci_high,n,countries,r2
TWFE_A0,actual_hours,hours_per_100,0.03496099398979269,0.02958177969994889,-0.023019294222107134,0.09294128220169251,2015,130,0.003724276081354838
WITHIN_BETWEEN_YEARFE,actual_hours,hours_per_100_within,0.042183138940834745,0.03137537969832147,-0.019312605267875337,0.10367888314954482,2015,130,0.14766261337491704
WITHIN_BETWEEN_YEARFE,actual_hours,hours_per_100_between,-0.1411146388044566,0.030124398261815608,-0.20015845939761517,-0.08207081821129801,2015,130,0.14766261337491704
FIRST_DIFF_YEARFE,actual_hours,delta_hours_per_100,0.06152990181179863,0.03497857721916303,-0.007028109537760903,0.13008791316135818,1744,128,0.005271452288695078
TWFE_LAG0,actual_hours,hours_per_100_lag0,0.03496099398979269,0.02958177969994889,-0.023019294222107134,0.09294128220169251,2015,130,0.003724276081354838
TWFE_LAG1,actual_hours,hours_per_100_lag1,0.02328855002579602,0.028414893796099187,-0.03240464181455839,0.07898174186615042,1744,128,0.0015997575723173396
TWFE_LAG2,actual_hours,hours_per_100_lag2,0.02779259185607695,0.028629385521877018,-0.028321003766802,0.0839061874789559,1670,129,0.001976290362323274
TWFE_LAG3,actual_hours,hours_per_100_lag3,0.02188753020892982,0.026471098962907644,-0.029995823758369164,0.0737708841762288,1564,129,0.001118771804198282
TWFE_A0,statutory_leave,leave_per_5_days,0.04167464678244358,0.060529343437934056,-0.07696286635590717,0.16031215992079434,1919,160,0.0005760849982284766
WITHIN_BETWEEN_YEARFE,statutory_leave,leave_per_5_days_within,0.041494770682894144,0.06048229026808305,-0.07705051824254863,0.16004005960833692,1919,160,0.0019169496106806738
WITHIN_BETWEEN_YEARFE,statutory_leave,leave_per_5_days_between,-0.039613531207937425,0.0684739494416583,-0.1738224721135877,0.09459540969771285,1919,160,0.0019169496106806738
FIRST_DIFF_YEARFE,statutory_leave,delta_leave_per_5_days,-0.09414053178177464,0.03989297625406234,-0.17233076523973684,-0.015950298323812465,1615,154,0.0015543272330854618
TWFE_LAG0,statutory_leave,leave_per_5_days_lag0,0.04167464678244358,0.060529343437934056,-0.07696286635590717,0.16031215992079434,1919,160,0.0005760849982284766
TWFE_LAG1,statutory_leave,leave_per_5_days_lag1,0.062245047535201666,0.04628808418294357,-0.028479597463367735,0.15296969253377107,1615,154,0.0014166152778202212
TWFE_LAG2,statutory_leave,leave_per_5_days_lag2,0.10178131182963641,0.049200347297477826,0.005348631126579878,0.19821399253269295,1527,153,0.0032432408714391237
TWFE_LAG3,statutory_leave,leave_per_5_days_lag3,0.11048750470693763,0.04986515344970579,0.012751803945514284,0.20822320546836098,1397,151,0.004461366507144238
TWFE_SUPPORT_GE10,statutory_leave,leave_per_5_days,0.07202301574088059,0.05578695290927193,-0.03731941196129239,0.18136544344305355,1734,126,0.0018767627051083924
TWFE_SUPPORT_GE15,statutory_leave,leave_per_5_days,-0.06458460209882311,0.22811257453217287,-0.5116852481818819,0.3825160439842357,840,56,0.00033119485166333007
TWFE_EXCLUDE_LEAVE_GT40,statutory_leave,leave_per_5_days,0.04168837240867554,0.060521859538277836,-0.07693447228634902,0.1603112171037001,1916,159,0.0005772942830181149
TWFE_JOINT,joint,hours_per_100,0.06169217256649112,0.035034286341002,-0.006975028661872801,0.13035937379485504,1648,128,0.009860590107245937
TWFE_JOINT,joint,leave_per_5_days,0.03774997358309451,0.05901908084696727,-0.07792742487696133,0.15342737204315035,1648,128,0.009860590107245937
FIRST_DIFF_JOINT,joint,delta_hours_per_100,0.06100053669940131,0.036740805005349264,-0.01101144111108325,0.13301251450988588,1399,126,0.007921920435867591
FIRST_DIFF_JOINT,joint,delta_leave_per_5_days,-0.11122309974522823,0.046103400051192504,-0.20158576384556554,-0.02086043564489093,1399,126,0.007921920435867591
