sample,model,term,beta,se,ci_low,ci_high,n,countries
leave,COUNTRY_TREND_A0,leave_per_day,-0.021169910753627303,0.006182542216915404,-0.033287693498781495,-0.00905212800847311,1885,157
leave,COUNTRY_TREND_A1,leave_per_day,-0.010356472458259922,0.0064231437537957846,-0.022945834215699658,0.0022328892991798164,1885,157
leave,COUNTRY_TREND_A1,log_gdp_pc,0.18449514444040524,0.037090640660829614,0.1117974887451792,0.2571928001356313,1885,157
leave,COUNTRY_TREND_A1,unemployment_pct,-0.0516009258357823,0.006350591145655484,-0.06404808448126706,-0.039153767190297555,1885,157
leave,COUNTRY_TREND_A1,inflation_pct,-0.002883736660521672,0.0010030948123404156,-0.004849802492708886,-0.0009176708283344577,1885,157
hours,COUNTRY_TREND_A0,hours_per_100,0.0568926089937607,0.028116930851040226,0.0017834245257218606,0.11200179346179955,2000,129
hours,COUNTRY_TREND_A1,hours_per_100,0.029937816672123002,0.025417292076289302,-0.01988007579740403,0.07975570914165003,2000,129
hours,COUNTRY_TREND_A1,log_gdp_pc,0.004350398659068721,0.014523614863771548,-0.02411588647392351,0.03281668379206095,2000,129
hours,COUNTRY_TREND_A1,unemployment_pct,-0.055549420152137596,0.006585318812096364,-0.06845664502384646,-0.04264219528042872,2000,129
hours,COUNTRY_TREND_A1,inflation_pct,-0.0027469888710672853,0.0013039092882466041,-0.005302651076030629,-0.00019132666610394145,2000,129
leave,RCS_A0_KNOTS_12_20_26,leave_linear_day,0.004684204266047645,0.01215160933458894,-0.01913295002974668,0.028501358561841966,1885,157
leave,RCS_A0_KNOTS_12_20_26,leave_rcs_nonlinear,0.0011573523218103062,0.026720190965046204,-0.05121422196968025,0.053528926613300866,1885,157
leave,RCS_A1_KNOTS_12_20_26,leave_linear_day,0.004699647894599051,0.012749957678567573,-0.020290269155393392,0.02968956494459149,1885,157
leave,RCS_A1_KNOTS_12_20_26,leave_rcs_nonlinear,0.006546302429147794,0.024325406420068786,-0.04113149415418703,0.05422409901248261,1885,157
leave,RCS_A1_KNOTS_12_20_26,log_gdp_pc,0.35561619304743164,0.04223961918195357,0.27282653945080265,0.4384058466440606,1885,157
leave,RCS_A1_KNOTS_12_20_26,unemployment_pct,-0.05673676257480478,0.006366553444209358,-0.06921520732545512,-0.044258317824154444,1885,157
leave,RCS_A1_KNOTS_12_20_26,inflation_pct,-0.003531446459553243,0.001160634724373512,-0.005806290519325326,-0.0012566023997811595,1885,157
