source_id,source_name,domain,start_year,end_year,reported_geography,reported_country_or_nation_count,observation_unit,coverage_status,primary_role,source_url,qa_note
ILO_C052,"ILO Holidays with Pay Convention, 1936 (No. 52)",legal,1936,,ILO members,54,ratification,"verified source-level","institutional diffusion anchor","https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197","54 ratifications; 17 denounced; entered into force 1939-09-22; ratification is not equivalent to first national paid-leave law"
ILO_C132,"ILO Holidays with Pay Convention (Revised), 1970 (No. 132)",legal,1970,,ILO members,39,ratification,"verified source-level","institutional diffusion anchor and entitlement declaration cross-check","https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277","39 ratifications; entered into force 1973-06-30; country notes can include declared holiday length"
WORLD_2015,"WORLD Annual Leave & Weekly Rest",legal,2015,2016,"193 UN member states",193,country_snapshot,"verified source-level","modern global legal cross-section","https://www.worldpolicycenter.org/maps-data/data-download/annual-leave-and-weekly-rest-data-download","all 193 UN countries as of Apr 2015; detailed OECD supplement Sep 2016; licensed dataset should not be redistributed"
WB_EW,"World Bank Employing Workers historical panel",legal,2004,2020,"202 economies in repository extract",202,country_year,"materialized in repository","screening and historical discontinuity detection","https://www.worldbank.org/content/dam/misc/employing-workers/EW04-20_Panel_Dataset_Regulations-of-Employment_2003-2019.xlsx","3434 panel rows in current repository inventory; not final legal authority"
WDH_NATIONS,"World Database of Happiness - Happiness in Nations",wellbeing,1945,2019,"173 nations",173,survey_distribution,"verified source-level","postwar historical wellbeing backbone","https://worlddatabaseofhappiness.eur.nl/collections/distributional-findings-on-happiness/what-is-this-collection-of-distributional-findings-on-happiness-2/what-is-this-collection-of-happiness-in-nations/","about 12,705 distributions; 151 nations with equivalent-question responses in 2009-2019; 15 countries have >=20-year time series"
CANTRIL_7023,"Pattern of Human Concerns Data",wellbeing,1957,1963,"10 available countries of 14 original",10,respondent,"verified country list","early self-anchoring ladder bridge","https://www.icpsr.umich.edu/web/ICPSR/studies/7023/datadocumentation?archive=icpsr&tenant=icpsr","Brazil Cuba Dominican Republic India Israel Nigeria Panama United States West Germany Yugoslavia; India and Israel have two waves"
EUROBAROMETER,"Eurobarometer life satisfaction",wellbeing,1973,,European Community/EU and candidate countries,,country_survey,"verified time-depth; country inventory pending","European repeated life-satisfaction series","https://ourworldindata.org/happiness-and-life-satisfaction","secondary transport/overview currently confirms 1973+ and >40-year annual-or-more-frequent series for several countries; replace with GESIS/EC machine inventory"
WVS,"World Values Survey",wellbeing,1981,2022,"global waves; almost 100 countries in program",,country_wave,"wave registry started","global country-wave happiness/life-satisfaction panel","https://www.worldvaluessurvey.org/","country-wave counts must be taken from actual releases, not inferred from program-level claims"
WHR_GALLUP,"Gallup World Poll / World Happiness Report annual Life Ladder",wellbeing,2005,2023,"165 countries in current repository annual extract",165,country_year,"materialized in repository","modern annual global outcome backbone","https://www.worldhappiness.report/","WHR2024 refresh extends current repository annual panel through 2023; do not substitute rolling three-year averages"
OECD_HOURS,"OECD working-time series",working_time,1970,2019,"OECD countries; long-run subset",,country_year,"verified source-level","realized working-time panel","https://www.oecd.org/en/publications/oecd-employment-outlook-2021_5a700c4b-en/full-report/working-time-and-its-regulation-in-oecd-countries-how-much-do-we-work-and-how_bfff25bb.html","11-country whole-period subset in OECD 1970-2019 analysis; historical trend extends to 19th century in literature; country-specific comparability flags required"
HUBERMAN_MINNS,"Huberman & Minns historical days/hours of work",working_time,1870,2000,"Old and New World selected countries",,country_period,"source identified; extraction pending","pre-1970 historical working-time extension","https://doi.org/10.1016/j.eeh.2007.03.002","historical research source cited by OECD; not equivalent to modern OECD annual-hours definitions"
