source_id,construct_family,response_scale,variable_code,country_label,since_year,coverage_rule,value_inspected,qa_note,source_url
WDH_TRENDS,happiness,3-step,M-hl3_fr,France,1947,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,3-step,M-hl3_it,Italy,1965,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,3-step,M-hl3_lu,Luxembourg,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,3-step,M-hl3_uk,UK,1948,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,3-step,M-hl3_us,USA,1947,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,3-step,M-hl3a_us,USA,1957,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,3-step,M-hl3d_us,USA,1975,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4_mx,Mexico,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4_no,Norway,1981,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4_pl,Poland,1990,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4_ro,Romania,1990,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4_ru,Russia,1989,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4_si,Slovenia,1991,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4_se,Sweden,1982,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,4-step,M-hl4-_us,USA,1946,at least 20 years and at least 10 comparable data points,no,source variable code contains hyphen before country suffix,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,5-step,M-hl5_nl,Netherlands,1977,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,happiness,5-step,M-hl5_za,South Africa,1983,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,2-step,M-ls2_us,USA,1979,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_ar,Argentina,1997,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_at,Austria,1995,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_be,Belgium,1973,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
WDH_TRENDS,life_satisfaction,4-step,M-ls4_bg,Bulgaria,2001,at least 20 years and at least 10 comparable data points,no,,https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/
