entity,code,year,annual_working_hours,transport_source,source_role
Australia,AUS,1870,2792,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Australia,AUS,1880,2647,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Australia,AUS,1890,2501,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Australia,AUS,1900,2385,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Australia,AUS,1913,2214,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Australia,AUS,1929,2186,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Australia,AUS,1938,2109,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Belgium,BEL,1870,3483,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Belgium,BEL,1880,3344,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Belgium,BEL,1890,3177,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Belgium,BEL,1900,3064,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Belgium,BEL,1913,2841,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Belgium,BEL,1929,2229,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Belgium,BEL,1938,2196,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Canada,CAN,1870,2845,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Canada,CAN,1880,2934,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Canada,CAN,1890,3017,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Canada,CAN,1900,3102,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Canada,CAN,1913,2868,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Canada,CAN,1929,2354,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Canada,CAN,1938,2212,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Denmark,DNK,1870,3434,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Denmark,DNK,1880,3172,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Denmark,DNK,1890,2933,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Denmark,DNK,1900,2742,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Denmark,DNK,1913,2731,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Denmark,DNK,1929,2301,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Denmark,DNK,1938,2203,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
France,FRA,1870,3168,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
France,FRA,1880,3165,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
France,FRA,1890,3119,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
France,FRA,1900,3115,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
France,FRA,1913,2933,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
France,FRA,1929,2198,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
France,FRA,1938,1760,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Germany,DEU,1870,3284,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Germany,DEU,1880,3223,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Germany,DEU,1890,3108,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Germany,DEU,1900,3056,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Germany,DEU,1913,2723,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Germany,DEU,1929,2128,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Germany,DEU,1938,2187,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Ireland,IRL,1870,3108,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Ireland,IRL,1880,3017,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Ireland,IRL,1890,2869,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Ireland,IRL,1900,2795,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
Ireland,IRL,1913,2690,https://raw.githubusercontent.com/IBiDat/dataviz/ea243d91346379ccf9e97842357cd571802d006d/_projects/2023/100508856/data/annual-working-hours-per-worker.csv,Huberman-Minns historical segment <=1938; transport fallback only
