entity,code,first_year,last_year,n_observations,first_hours,last_hours,absolute_change,pct_change
Australia,AUS,1870,1938,7,2792,2109,-683,-24.462750716332383
Belgium,BEL,1870,1938,7,3483,2196,-1287,-36.95090439276486
Canada,CAN,1870,1938,7,2845,2212,-633,-22.249560632688926
Denmark,DNK,1870,1938,7,3434,2203,-1231,-35.84740827023879
France,FRA,1870,1938,7,3168,1760,-1408,-44.44444444444444
Germany,DEU,1870,1938,7,3284,2187,-1097,-33.40438489646772
Ireland,IRL,1870,1938,7,3108,2171,-937,-30.148005148005154
Italy,ITA,1870,1938,7,3000,2162,-838,-27.933333333333334
Netherlands,NLD,1870,1938,7,3274,2281,-993,-30.329871716554667
Spain,ESP,1870,1938,7,2968,2030,-938,-31.60377358490566
Sweden,SWE,1870,1938,7,3436,2131,-1305,-37.9802095459837
Switzerland,CHE,1870,1938,7,3195,2085,-1110,-34.74178403755869
United Kingdom,GBR,1870,1938,7,2755,2200,-555,-20.145190562613436
United States,USA,1870,1938,7,3096,1756,-1340,-43.28165374677002
