dropped_country,beta,se,ci_low,ci_high
Algeria,0.027023677094870358,0.06756349212269007,-0.10540076746560217,0.1594481216553429
Angola,0.028231633100986808,0.06721138643968044,-0.10350268432078685,0.15996595052276047
Benin,0.03243935771844525,0.06713207719839506,-0.09913951359040907,0.16401822902729957
Botswana,0.022491428973040378,0.06753254853535326,-0.10987236615625201,0.15485522410233277
Burkina Faso,0.0271800149318856,0.06749805008216808,-0.10511616322916384,0.15947619309293504
Cameroon,0.028381719334902245,0.06767656737641446,-0.1042643527228701,0.1610277913926746
Chad,0.027154858860486242,0.06742294377914837,-0.10499411094664457,0.15930382866761705
Comoros,0.03272735377601654,0.06842023589240884,-0.10137630857310478,0.16683101612513787
Egypt,0.02787269253656177,0.06715582004701516,-0.10375271475558795,0.1594980998287115
Ethiopia,0.039837277741837485,0.06829795795819109,-0.09402671985621705,0.17370127533989202
Gabon,0.033219250375142784,0.0672295619000795,-0.09855069094901303,0.1649891916992986
Ghana,0.034041985490657733,0.0683156094523567,-0.09985660903596139,0.16794058001727685
Guinea,0.029784946522747713,0.06745791328028455,-0.10243256350661001,0.16200245655210543
Kenya,0.028470487803739175,0.0673951668286663,-0.10362403918044677,0.16056501478792512
Libya,0.03469151490197103,0.06855805121390274,-0.09968226547727832,0.16906529528122038
Madagascar,0.02976237138487514,0.06848248562930595,-0.10446330044856453,0.1639880432183148
Malawi,0.03224003595468028,0.06803062062656547,-0.10109998047338803,0.1655800523827486
Mali,0.025341467269080042,0.0674654605750928,-0.10689083545810185,0.15757376999626194
Mauritania,0.02903606208557391,0.06772991056374754,-0.10371456261937126,0.16178668679051908
Morocco,0.02851131353483316,0.06737862181288388,-0.10355078521841926,0.16057341228808558
Niger,0.02515054525989685,0.06744503458936585,-0.1070417225352602,0.1573428130550539
Nigeria,0.05375152961472823,0.06741197226742726,-0.07837593602942919,0.18587899525888565
Rwanda,0.028798680931084675,0.06722991892343663,-0.10297196015885113,0.16056932202102048
Senegal,0.030541169546804747,0.06729056509020023,-0.10134833802998772,0.1624306771235972
South Africa,0.026265671599117718,0.06750456472640294,-0.10604327526463203,0.15857461846286747
Sudan,0.028475812642151266,0.0674079104979095,-0.10364369193375136,0.1605953172180539
United Republic of Tanzania,0.027969660189671064,0.06740724504265372,-0.10414854009393021,0.16008786047327234
Tunisia,0.01923969737828088,0.06724342363446617,-0.1125574129452728,0.15103680770183456
Uganda,0.03093541701731156,0.06790539554806076,-0.10215915825688751,0.16402999229151063
Zambia,0.029712265884508732,0.06768552179598689,-0.10295135683562556,0.16237588860464303
Zimbabwe,0.022236281875370245,0.06728460754975817,-0.10964154892215575,0.15411411267289624
Afghanistan,0.03191332009619763,0.06917535006185513,-0.10367036602503843,0.16749700621743369
Australia,0.017738133838019365,0.06886260433339918,-0.11723257065544301,0.15270883833148174
Bangladesh,0.028425822060607175,0.06728835452166071,-0.10345935280184781,0.16031099692306217
Cambodia,0.032651043730210855,0.06848674579028183,-0.10158297801874153,0.16688506547916324
China,0.026547490932952555,0.06800794337750236,-0.10674807808695208,0.1598430599528572
India,0.031862601350439945,0.07008311431647204,-0.10550030270984526,0.16922550541072515
Indonesia,0.02792393502914825,0.06747888454159563,-0.1043346786723792,0.1601825487306757
Iran,0.061914739545570474,0.06328493667147908,-0.06212373633052852,0.18595321542166948
Japan,0.025926368852004,0.06767008840618162,-0.10670700442411196,0.15855974212811996
Republic of Korea,0.031788514401105694,0.06868960418168873,-0.10284310979500422,0.1664201385972156
Malaysia,0.028453314736002072,0.06748180573802734,-0.10381102451053151,0.16071765398253565
Mongolia,0.03210503768832673,0.06855776821461032,-0.1022681880123095,0.16647826338896296
Myanmar,0.02930804527166786,0.06758125113548633,-0.10315120695388533,0.16176729749722105
Nepal,0.028521105636729965,0.06758613161447477,-0.10394771232764058,0.1609899236011005
New Zealand,0.01380974914964278,0.06742120622398724,-0.11833581504937221,0.14595531334865777
Pakistan,0.04183860826420993,0.06846431427384221,-0.0923514477125208,0.17602866424094066
Philippines,0.03203921909358559,0.0700267645691284,-0.10521323946190608,0.16929167764907727
Sri Lanka,0.00622552977778551,0.06476441148613432,-0.12071271673503775,0.13316377629060877
Thailand,0.03462457023333393,0.06723280407847218,-0.09715172576047154,0.1664008662271394
Vietnam,0.028639589812326227,0.06714237770587803,-0.1029594704911947,0.16023865011584715
Armenia,0.027340796763929476,0.06726023882713181,-0.10448927133724886,0.15917086486510781
