country,region,ilo_2012_days_5day,ilo_status,ilo_bracket,wb_economy,wb_code,wb_2012_leave_1y,wb_2012_leave_avg,wb1_minus_ilo,abs_diff_1y,qa_class
Algeria,Africa,21,exact_annex,20-23,Algeria,DZA,22,22,1,1,close_0_1
Angola,Africa,18,exact_annex,15-19,Angola,AGO,22,22,4,4,review_2_5
Benin,Africa,20,exact_annex,20-23,Benin,BEN,24,24,4,4,review_2_5
Botswana,Africa,13,exact_annex,10-14,Botswana,BWA,15,15,2,2,moderate_1_2
Burkina Faso,Africa,21,exact_annex,20-23,Burkina Faso,BFA,22,22,1,1,close_0_1
Burundi,Africa,17,exact_annex,15-19,Burundi,BDI,20,21,3,3,review_2_5
Cameroon,Africa,15,exact_annex,15-19,Cameroon,CMR,24,27,9,9,priority_review_ge5
Central African Republic,Africa,20,exact_annex,20-23,Central African Republic,CAF,24,25.333333333333332,4,4,review_2_5
Chad,Africa,20,exact_annex,20-23,Chad,TCD,24,24.666666666666668,4,4,review_2_5
Comoros,Africa,25,exact_annex,24-25,Comoros,COM,22,22,-3,3,review_2_5
Congo,Africa,22,exact_annex,20-23,"Congo, Rep.",COG,26,29.666666666666668,4,4,review_2_5
Democratic Republic of Congo,Africa,12,exact_annex,10-14,"Congo, Dem. Rep.",ZAR,12,13,0,0,close_0_1
Djibouti,Africa,25,exact_annex,24-25,Djibouti,DJI,30,30,5,5,priority_review_ge5
Egypt,Africa,18,exact_annex,15-19,"Egypt, Arab Rep.",EGY,21,24,3,3,review_2_5
Equatorial Guinea,Africa,21,exact_annex,20-23,Equatorial Guinea,GNQ,22,22,1,1,close_0_1
Eritrea,Africa,12,exact_annex,10-14,Eritrea,ERI,14,19,2,2,moderate_1_2
Ethiopia,Africa,12,exact_annex,10-14,Ethiopia,ETH,14,18.333333333333332,2,2,moderate_1_2
Gabon,Africa,20,exact_annex,20-23,Gabon,GAB,24,24,4,4,review_2_5
Gambia,Africa,,no_universal_minimum,no_universal_minimum,"Gambia, The",GMB,0,0,,,scope_noncomparable_no_universal_ilo
Ghana,Africa,13,exact_annex,10-14,Ghana,GHA,15,15,2,2,moderate_1_2
Guinea,Africa,21,exact_annex,20-23,Guinea,GIN,30,30,9,9,priority_review_ge5
Guinea-Bissau,Africa,21,exact_annex,20-23,Guinea-Bissau,GNB,21,21,0,0,close_0_1
Ivory Coast,Africa,,interval_20_23,20-23,Côte d'Ivoire,CIV,26.4,27.399999999999995,,,interval_only_ilo
Kenya,Africa,18,exact_annex,15-19,Kenya,KEN,21,21,3,3,review_2_5
Lesotho,Africa,10,exact_annex,10-14,Lesotho,LSO,12,12,2,2,moderate_1_2
Libya,Africa,25,exact_annex,24-25,Libya,LBY,30,30,5,5,priority_review_ge5
Madagascar,Africa,25,exact_annex,24-25,Madagascar,MDG,24,24,-1,1,close_0_1
Malawi,Africa,15,exact_annex,15-19,Malawi,MWI,18,18,3,3,review_2_5
Mali,Africa,21,exact_annex,20-23,Mali,MLI,22,22,1,1,close_0_1
Mauritania,Africa,15,exact_annex,15-19,Mauritania,MRT,18,18,3,3,review_2_5
Mauritius,Africa,17,exact_annex,15-19,Mauritius,MUS,17,17,0,0,close_0_1
Morocco,Africa,18,exact_annex,15-19,Morocco,MAR,18,19.5,0,0,close_0_1
Mozambique,Africa,12,exact_annex,10-14,Mozambique,MOZ,12,24,0,0,close_0_1
Namibia,Africa,20,exact_annex,20-23,Namibia,NAM,20,20,0,0,close_0_1
Niger,Africa,21,exact_annex,20-23,Niger,NER,22,22,1,1,close_0_1
Nigeria,Africa,5,exact_annex,<10,Nigeria Lagos,NGA,6,6,1,1,close_0_1
Rwanda,Africa,18,exact_annex,15-19,Rwanda,RWA,18,19.333333333333332,0,0,close_0_1
