country_1962,continuity_status,mapped_country,category_1962,raw_1962,basis_1962,category_2000,approx_days_2000,confidence_2000,raw_2000,category_2012,days_2012,status_2012,change_1962_2012,triple_comparable
Norway,safe_one_to_one_or_rename,Norway,three_weeks_or_more,18 working days,national_general_legislation,,,,,three_weeks_or_more,21,exact_annex,0,false
Sweden,safe_one_to_one_or_rename,Sweden,three_weeks_or_more,18 working days,national_general_legislation,,,,,three_weeks_or_more,25,exact_annex,0,false
Cuba,safe_one_to_one_or_rename,Cuba,three_weeks_or_more,30 days or one month,national_general_legislation,,,,,three_weeks_or_more,21,exact_annex,0,false
Nicaragua,safe_one_to_one_or_rename,Nicaragua,three_weeks_or_more,30 days or one month,national_general_legislation,three_weeks_or_more,21,high,15 consecutive days every six months (30 days per year),about_two_weeks,10,exact_annex,-1,true
Panama,safe_one_to_one_or_rename,Panama,three_weeks_or_more,30 days or one month,national_general_legislation,,,none,30 days (1 day for 11 worked),three_weeks_or_more,21,exact_annex,0,false
Denmark,safe_one_to_one_or_rename,Denmark,three_weeks_or_more,3 weeks,national_general_legislation,,,none,2.5 days per month,three_weeks_or_more,25,exact_annex,0,false
France,safe_one_to_one_or_rename,France,three_weeks_or_more,3 weeks,national_general_legislation,,,,,three_weeks_or_more,25,exact_annex,0,false
Monaco,safe_one_to_one_or_rename,Monaco,three_weeks_or_more,21 working days / 3 weeks,national_general_legislation,,,,,,,,,false
Uruguay,safe_one_to_one_or_rename,Uruguay,three_weeks_or_more,20 paid days / about 3 weeks,national_general_legislation,,,,,three_weeks_or_more,20,exact_annex,0,false
Republic of Togo,safe_one_to_one_or_rename,Togo,three_weeks_or_more,3 weeks,national_general_legislation,,,,,three_weeks_or_more,21,exact_annex,0,false
Finland,safe_one_to_one_or_rename,Finland,three_weeks_or_more,3 weeks,national_general_legislation,,,,,three_weeks_or_more,20,exact_annex,0,false
Malagasy Republic,safe_one_to_one_or_rename,Madagascar,three_weeks_or_more,3 weeks,national_general_legislation,,,,,three_weeks_or_more,25,exact_annex,0,false
Albania,safe_one_to_one_or_rename,Albania,about_two_weeks,12 working days,national_general_legislation,three_weeks_or_more,15,high,3 calendar weeks,,,,,false
Australia,safe_one_to_one_or_rename,Australia,about_two_weeks,2 weeks; 3 weeks in New South Wales,mixed_subnational_or_collective,,,,,three_weeks_or_more,20,exact_annex,1,false
Austria,safe_one_to_one_or_rename,Austria,about_two_weeks,12 working days,national_general_legislation,three_weeks_or_more,25,medium,30 working days,three_weeks_or_more,25,exact_annex,1,true
Belgium,safe_one_to_one_or_rename,Belgium,about_two_weeks,12 working days,national_general_legislation,,,,,three_weeks_or_more,20,exact_annex,1,false
Bolivia,safe_one_to_one_or_rename,Bolivia,about_two_weeks,15 working days,national_general_legislation,,,,,three_weeks_or_more,15,exact_annex,1,false
Brazil,safe_one_to_one_or_rename,Brazil,about_two_weeks,15 working days,national_general_legislation,,,,,three_weeks_or_more,21,exact_annex,1,false
Bulgaria,safe_one_to_one_or_rename,Bulgaria,about_two_weeks,14 working days,national_general_legislation,about_two_weeks,12,medium,14 working days,three_weeks_or_more,20,exact_annex,1,true
Byelorussia,unsafe_soviet_republic_to_belarus,,about_two_weeks,12 working days,national_general_legislation,,,,,,,,,false
