reference_year,country,source_group,raw_first_year_entitlement,source_basis,source_scope,source,source_url,detail_status
1962,Norway,three_weeks_or_more,18 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Sweden,three_weeks_or_more,18 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Cuba,three_weeks_or_more,30 days or one month,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Nicaragua,three_weeks_or_more,30 days or one month,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Panama,three_weeks_or_more,30 days or one month,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Denmark,three_weeks_or_more,3 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,France,three_weeks_or_more,3 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Monaco,three_weeks_or_more,21 working days / 3 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Uruguay,three_weeks_or_more,20 paid days / about 3 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Republic of Togo,three_weeks_or_more,3 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Finland,three_weeks_or_more,3 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Malagasy Republic,three_weeks_or_more,3 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Albania,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Australia,about_two_weeks,2 weeks; 3 weeks in New South Wales,mixed_subnational_or_collective,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Austria,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Belgium,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Bolivia,about_two_weeks,15 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Brazil,about_two_weeks,15 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Bulgaria,about_two_weeks,14 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Byelorussia,about_two_weeks,12 working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Cambodia,about_two_weeks,raw detail not recovered from current text extraction,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,group_verified_raw_detail_pending
1962,Ceylon,about_two_weeks,14 days shops/offices; 10-21 days Wage Board range for non-office workers,mixed_sectoral,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Chile,about_two_weeks,15 days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Colombia,about_two_weeks,15 consecutive working days,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Costa Rica,about_two_weeks,2 weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
1962,Czechoslovakia,about_two_weeks,2 calendar weeks,national_general_legislation,representative initial annual vacation after first year / source-defined group,"ILO International Labour Review 86(2), 1962, Annual vacations with pay, pp.128-147",https://researchrepository.ilo.org/esploro/outputs/journalArticle/Annual-vacations-with-pay/995319425602676,raw_detail_recovered
