country,c052_ratification_date,c132_ratification_date,years_between_ratifications,c052_auto_denunciation_date,auto_denunciation_minus_c132_years,c132_declared_holiday_length
Azerbaijan,1992-05-19,2016-05-20,24.003230730268246,2017-05-20,0.9993360575508052,21 calendar days
Belarus,1956-11-06,2020-02-13,63.27029302449742,2021-02-13,1.0020739645577939,24 days
Brazil,1938-09-22,1998-09-23,60.00396996516013,1999-09-23,0.9993360575508052,30 calendar days
Burkina Faso,1969-06-30,1974-07-12,5.032273078844877,1975-07-12,0.9993360575508052,1 calendar month
Cameroon,1970-05-25,1973-08-07,3.203351198176554,1974-08-07,0.9993360575508052,3 weeks
Chad,1961-06-08,2000-12-15,39.521687645879105,2001-12-15,0.9993360575508052,24 working days
Czechia,1993-01-01,1996-08-23,3.641416319294715,1997-08-23,0.9993360575508052,3 weeks
Finland,1949-08-23,1990-01-15,40.397817888115426,1991-01-15,0.9993360575508052,24 working days
Guinea,1966-12-12,1977-06-02,10.472494301731041,1978-06-02,0.9993360575508052,1 calendar month
Hungary,1956-06-08,1998-08-19,42.19662279170688,1999-08-19,0.9993360575508052,20 working days
Iraq,1960-05-12,1974-02-19,13.77441015215918,1975-02-19,0.9993360575508052,3 weeks
Italy,1952-10-22,1981-07-28,28.764451015421262,1982-07-28,0.9993360575508052,3 weeks
Madagascar,1962-08-10,1972-02-08,9.497799407243132,1973-02-08,1.0020739645577939,3 weeks
Russian Federation,1956-08-10,2010-09-06,54.07366338802302,2011-09-06,0.9993360575508052,28 calendar days
Spain,1971-05-05,1972-06-30,1.1553967569491501,1973-06-30,0.9993360575508052,3 weeks
Ukraine,1956-09-14,2001-10-25,45.11249375414964,2002-10-25,0.9993360575508052,24 calendar days
Uruguay,1954-03-18,1977-06-02,23.20923769824158,1978-06-02,0.9993360575508052,20 working days
Uzbekistan,1992-07-13,2025-01-06,32.48526663791864,,,21 calendar days
