convention,country,ratification_date,ratification_year,current_status,note,verification_status,source_kind,source_url
C052,Albania,1957-06-03,1957,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Argentina,1950-03-14,1950,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Azerbaijan,1992-05-19,1992,Not in force,Automatic Denunciation on 20 May 2017 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Belarus,1956-11-06,1956,Not in force,Automatic Denunciation on 13 Feb 2021 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Brazil,1938-09-22,1938,Not in force,Automatic Denunciation on 23 Sep 1999 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Bulgaria,1949-12-29,1949,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Burkina Faso,1969-06-30,1969,Not in force,Automatic Denunciation on 12 Jul 1975 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Burundi,1971-07-30,1971,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Cameroon,1970-05-25,1970,Not in force,Automatic Denunciation on 07 Aug 1974 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Central African Republic,1964-06-09,1964,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Chad,1961-06-08,1961,Not in force,Automatic Denunciation on 15 Dec 2001 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Colombia,1963-06-07,1963,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Comoros,1978-10-23,1978,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Cuba,1953-07-20,1953,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Czechia,1993-01-01,1993,Not in force,Automatic Denunciation on 23 Aug 1997 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
