convention,country,ratification_date,ratification_year,current_status,declared_holiday_length,article15_acceptance,verification_status,source_kind,source_url,declared_length_unit,declared_length_value
C132,Armenia,2006-01-27,2006,In Force,28 days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,unspecified_days,28
C132,Azerbaijan,2016-05-20,2016,In Force,21 calendar days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_days,21
C132,Belarus,2020-02-13,2020,In Force,24 days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,unspecified_days,24
C132,Belgium,2003-06-02,2003,In Force,24 calendar days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_days,24
C132,Bosnia and Herzegovina,1993-06-02,1993,In Force,18 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,Brazil,1998-09-23,1998,In Force,30 calendar days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_days,30
C132,Burkina Faso,1974-07-12,1974,In Force,1 calendar month,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_month,1
C132,Cameroon,1973-08-07,1973,In Force,3 weeks,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,3
C132,Chad,2000-12-15,2000,In Force,24 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,24
C132,Croatia,1991-10-08,1991,In Force,18 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,Czechia,1996-08-23,1996,In Force,3 weeks,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,3
C132,Finland,1990-01-15,1990,In Force,24 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,24
C132,Germany,1975-10-01,1975,In Force,18 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,Guinea,1977-06-02,1977,In Force,1 calendar month,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_month,1
C132,Hungary,1998-08-19,1998,In Force,20 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,20
C132,Iraq,1974-02-19,1974,In Force,3 weeks,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,3
C132,Ireland,1974-06-20,1974,In Force,3 weeks,Article 15(1)(a),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,3
C132,Italy,1981-07-28,1981,In Force,3 weeks,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,3
C132,Kenya,1979-04-09,1979,In Force,21 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,21
C132,Latvia,1994-06-10,1994,In Force,4 weeks,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,4
C132,Luxembourg,1979-10-01,1979,In Force,25 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,25
