convention,country,ratification_year,ratification_date_primary_verified,row_status,primary_source,secondary_seed_source
C132,Armenia,2006,2006-01-27,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Azerbaijan,2016,2016-05-20,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Belarus,2020,2020-02-13,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Belgium,2003,2003-06-02,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Bosnia and Herzegovina,1993,1993-06-02,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Brazil,1998,1998-09-23,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Burkina Faso,1974,1974-07-12,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Cameroon,1973,1973-08-07,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Chad,2000,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Croatia,1991,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Czech Republic,1996,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Finland,1990,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Germany,1975,1975-10-01,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Guinea,1977,1977-06-02,primary-date-verified,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Hungary,1998,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Iraq,1974,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Ireland,1974,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Italy,1981,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Kenya,1979,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Latvia,1994,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Luxembourg,1975,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,North Macedonia,1991,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Madagascar,1972,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Malta,1988,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Moldova,1998,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Montenegro,2006,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Norway,1973,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Portugal,1981,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Russia,2010,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Rwanda,1991,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Serbia,2000,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Slovenia,1992,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
C132,Spain,1972,,year-seed-primary-date-pending,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,"https://en.wikipedia.org/wiki/Holidays_with_Pay_Convention_(Revised),_1970"
