reference_year,country,raw_minimum_entitlement,raw_unit_family,raw_numeric_component,approx_5day_workweek_days,approx_harmonization_confidence,ilo_c132_duration_category,above_c132_minimum,source_scope,source_url
2000,Albania,3 calendar weeks,weeks_calendar,3,15,high,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Algeria,30 days (6-day working week),days_6day_week,30,25,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Austria,30 working days,working_days_unspecified_week,30,25,medium,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Azerbaijan,21 calendar days,calendar_days,21,15,high,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Benin,2 working days per month up to 30 days per year,working_days_per_month,2,20,medium,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Bulgaria,14 working days,working_days_unspecified_week,14,12,medium,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Burundi,1.6 working days per month,working_days_per_month,1.6,16,medium,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Chad,2 working days per month (6-day working week),working_days_per_month_6day,2,20,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Chile,15 working days (5-day working week),working_days_5day_week,15,15,high,>=3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,China,n.s.,not_specified,,,none,not_specified,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Côte d'Ivoire,2 working days per month,working_days_per_month,2,20,medium,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Denmark,2.5 days per month,days_per_month_unspecified,2.5,,none,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Dominican Republic,2 weeks,weeks,2,10,high,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,El Salvador,15 days,days_unspecified,15,,none,<3weeks,false,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
2000,Estonia,28 calendar days,calendar_days,28,20,high,>=3weeks,true,absolute minimum in general law; formal long-term employment; law adopted/amended within previous 10 years,https://webapps.ilo.org/public/english/standards/relm/gb/docs/gb279/pdf/prs-1-2.pdf
