year,region,country,minimum_annual_leave_5day_workweek,observation_status,leave_bracket,service_basis,source,source_url
2012,Africa,Algeria,21,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Angola,18,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Benin,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Botswana,13,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Burkina Faso,21,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Burundi,17,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Cameroon,15,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Cape Verde,18,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Central African Republic,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Chad,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
