omitted_country,n_changes,twfe_beta,twfe_shift,fd_beta,fd_shift,lag2_beta,lag2_shift,lag3_beta,lag3_shift
Bahrain,1,0.00018436911104443578,-0.04185665817912977,-0.07386773972419824,0.020236770065095874,0.06916775110150832,-0.032855894573738775,0.102726922436862,-0.007987970295711605
Bangladesh,1,0.03990243944966547,-0.0021385878405087363,-0.10162210796653173,-0.007517598177237614,0.10730675879501053,0.005283113119763441,0.11486430258929471,0.0041494098567211035
Bosnia and Herzegovina,1,0.03719551630392757,-0.004845510986246637,-0.09243368871821224,0.0016708210710818794,0.09873353562729467,-0.0032901100479524187,0.11099408459291887,0.00027919186034526533
Canada,1,0.04746643672729332,0.005425409437119111,-0.09402289486356107,0.0000816149257330534,0.10128280228895346,-0.000740843386293627,0.1098282916237202,-0.0008866011088534131
China,1,0.03630259070514607,-0.005738436585028137,-0.08322934749415824,0.010875162295135882,0.08359789628740052,-0.018425749387846566,0.09400352654599217,-0.016711366186581436
Croatia,1,0.04217493410903669,0.0001339068188624809,-0.0922083719197522,0.0018961378695419168,0.10284601159077451,0.0008223659155274232,0.11491686776892986,0.004201975036356248
Ecuador,1,0.044323943437968014,0.002282916147793808,-0.0927816838941401,0.00132282589515402,0.10227539368304278,0.00025174800779569073,0.1097513269066163,-0.0009635658259573021
Estonia,1,0.042196658715354225,0.0001556314251800195,-0.11552580439035337,-0.02142129460105925,0.11455942397318891,0.012535778297941821,0.10945239843919363,-0.001262494293379976
Eswatini,1,0.04581385834513584,0.0037728310549616367,-0.09410055971388563,0.0000039500754084875744,0.10202364567524709,0,0.11071489273257361,0
India,1,0.027933554206933144,-0.014107473083241062,-0.10513538643170996,-0.011030876642415838,0.09902676572173318,-0.0029968799535139146,0.10821774544914295,-0.002497147283430659
Iraq,1,0.0420786349313503,0.00003760764117609339,-0.09400297884673718,0.00010153094255693773,0.10165178334508092,-0.00037186233016617276,0.11032419995046572,-0.0003906927821078904
Kazakhstan,1,0.04160379268797998,-0.00043723460219422666,-0.09980095903498862,-0.005696449245694499,0.1007472726185399,-0.0012763730567071918,0.10534636128418595,-0.005368531448387656
Kosovo,1,0.0256620749974474,-0.016378952292726807,-0.11797536145597495,-0.023870851666680834,0.0941496529464036,-0.007873992728843496,0.09145492421479388,-0.019259968517779724
Kuwait,1,0.0678191942550033,0.02577816696482909,-0.0791086236542556,0.014995886135038522,0.12186272776300153,0.019839082087754437,0.15300232871486352,0.042287435982289914
Liberia,1,0.04083596531153855,-0.001205061978635659,-0.09591618568494233,-0.001811675895648207,0.10088507111004813,-0.0011385745651989604,0.11104379719004327,0.00032890445746966424
Lithuania,1,0.0423882291913587,0.00034720190118449346,-0.0935293660225445,0.0005751437667496223,0.10394611962834294,0.0019224739530958462,0.11318455869915593,0.002469665966582324
Malta,1,0.04404379315211634,0.0020027658619421324,-0.08897430859895507,0.005130201190339051,0.10269588983328927,0.000672244158042179,0.11109119749435463,0.0003763047617810211
Montenegro,3,0.039511825188405264,-0.0025292021017689417,-0.09666915182082583,-0.0025646420315317137,0.09829307935168964,-0.0037305663235574493,0.10894837508092255,-0.0017665176516510617
Namibia,1,0.04231457395982905,0.000273546669654845,-0.09410261194818505,0.0000018978411090719849,0.10202169564855838,-0.0000019500266887073625,0.11071463187711009,-2.608554635213922e-7
North Macedonia,1,0.039740205995294084,-0.002300821294880122,-0.09144291482179062,0.0026615949675034972,0.09958923194091245,-0.002434413734334645,0.10526856917153277,-0.005446323561040842
Saudi Arabia,1,0.04733954857157474,0.005298521281400535,-0.0981751850823659,-0.004070675293071785,0.10652539305191737,0.004501747376670279,0.11395291163248604,0.0032380188999124315
Slovenia,1,0.04106462702751033,-0.000976400262663879,-0.0947068998249624,-0.0006023900356682821,0.09979295935993161,-0.0022306863153154777,0.10893725646175943,-0.0017776362708141757
Syria,1,0.07183546223980021,0.029794434949626004,-0.08572387156415799,0.008380638225136128,0.11806104468723332,0.016037399011986225,0.10910690979855574,-0.0016079829340178708
Taiwan Province of China,1,0.04216562078783035,0.0001245934976561447,-0.09428257599807505,-0.0001780662087809276,0.10284172828263756,0.000818082607390469,0.11101695063914907,0.00030205790657546194
Tajikistan,1,0.059998595709973436,0.01795756841979923,-0.0919565481113538,0.0021479616779403188,0.12259336530319209,0.020569719627945002,0.12533326307270076,0.014618370340127154
Uganda,1,0.04089666817476735,-0.0011443591154068553,-0.09658092493005538,-0.0024764151407612595,0.10714147243857021,0.005117826763323119,0.11322728493918673,0.0025123922066131177
