sample,model,beta,se,ci_low,ci_high,n,countries
all_observed_changers,TWFE,0.042041027290174206,0.06050772607603566,-0.07655411581885568,0.1606361703992041,1934,161
all_observed_changers,FD,-0.09410450978929412,0.03996221498675806,-0.1724304511633399,-0.01577856841524833,1628,155
all_observed_changers,LAG2,0.10202364567524709,0.04923683438989826,0.0055194502710465,0.19852784107944768,1540,154
all_observed_changers,LAG3,0.11071489273257361,0.05001113808198995,0.012693062091873306,0.20873672337327392,1409,152
verified_panel_change_changers_only,TWFE,0.13136201382800253,0.12112478552495261,-0.10604256580090457,0.36876659345690965,1714,143
verified_panel_change_changers_only,FD,-0.1592704634357518,0.08401140172974203,-0.3239328108260462,0.00539188395454257,1439,137
verified_panel_change_changers_only,LAG2,0.21055841471440642,0.09509607335920069,0.02417011093037308,0.39694671849843977,1363,137
verified_panel_change_changers_only,LAG3,0.12232797250838254,0.11970831649932703,-0.11230032783029845,0.35695627284706355,1247,135
china_only_plus_never_changers,TWFE,0.18848407745689216,0.03030761891279701,0.12908114438781002,0.2478870105259743,1622,136
china_only_plus_never_changers,FD,-0.3593450704225297,0.045468168883200655,-0.448462681433603,-0.2702274594114564,1361,130
china_only_plus_never_changers,LAG2,0.41775363108521074,0.0300295156114842,0.35889578048670173,0.47661148168371975,1287,130
china_only_plus_never_changers,LAG3,0.4133901334082031,0.030939871624901284,0.35274798502339655,0.4740322817930096,1177,128
china_lux_plus_never_changers,TWFE,0.18848407745689216,0.03030761891279701,0.12908114438781002,0.2478870105259743,1622,136
china_lux_plus_never_changers,FD,-0.3593450704225297,0.045468168883200655,-0.448462681433603,-0.2702274594114564,1361,130
china_lux_plus_never_changers,LAG2,0.41775363108521074,0.0300295156114842,0.35889578048670173,0.47661148168371975,1287,130
china_lux_plus_never_changers,LAG3,0.4133901334082031,0.030939871624901284,0.35274798502339655,0.4740322817930096,1177,128
