alignment,model,term,beta,se,ci_low,ci_high,n,countries
legal_effective_year,TWFE_A1,leave_per_5_days,0.15824981836929916,0.10147790644386034,-0.040646878260667096,0.3571465149992654,1665,139
legal_effective_year,TWFE_A1,log_gdp_pc,0.35431217652616137,0.04006914043893252,0.27577666126585365,0.4328476917864691,1665,139
legal_effective_year,TWFE_A1,unemployment_pct,-0.05972134613185924,0.007150041765615957,-0.07373542799246652,-0.04570726427125196,1665,139
legal_effective_year,TWFE_A1,inflation_pct,-0.0034456848129949,0.0011390274743102197,-0.005678178662642931,-0.0012131909633468696,1665,139
legal_effective_year,FD_A1,leave_per_5_days,0.09251910296634852,0.02078005061807092,0.05179020375492952,0.13324800217776753,1399,133
legal_effective_year,FD_A1,log_gdp_pc,0.13114345257941445,0.030202840868643496,0.0719458844768732,0.1903410206819557,1399,133
legal_effective_year,FD_A1,unemployment_pct,-0.051684037007353384,0.008518364475770488,-0.06838003137986354,-0.03498804263484323,1399,133
legal_effective_year,FD_A1,inflation_pct,-0.002582196180195767,0.0010712853718485166,-0.004681915509018859,-0.00048247685137267453,1399,133
full_year,TWFE_A1,leave_per_5_days,0.18632703845527498,0.1649745661512706,-0.13702311120121535,0.5096771881117653,1665,139
full_year,TWFE_A1,log_gdp_pc,0.3545974064608805,0.04043023720688022,0.2753541415353953,0.43384067138636573,1665,139
full_year,TWFE_A1,unemployment_pct,-0.05983847111389039,0.007144138052553793,-0.07384098169689582,-0.045835960530884956,1665,139
full_year,TWFE_A1,inflation_pct,-0.0034421597137407446,0.001138451801096412,-0.005673525243889713,-0.001210794183591777,1665,139
full_year,FD_A1,leave_per_5_days,0.24637895662072973,0.272522693747465,-0.2877655231243017,0.7805234363657612,1399,133
full_year,FD_A1,log_gdp_pc,0.12970409585714804,0.02937729608348923,0.07212459553350914,0.18728359618078694,1399,133
full_year,FD_A1,unemployment_pct,-0.05219621925958985,0.008511244819458608,-0.06887825910572873,-0.03551417941345098,1399,133
full_year,FD_A1,inflation_pct,-0.0025756005159407575,0.0010707464781406343,-0.004674263613096401,-0.0004769374187851144,1399,133
