model,beta,se,ci_low,ci_high,n,countries
A0_FULL_TWFE,0.042041027290174206,0.06050772607603566,-0.07655411581885568,0.1606361703992041,1934,161
A0_SAME_SAMPLE_TWFE,0.027304387156105562,0.06188914882464472,-0.09399834454019809,0.1486071188524092,1885,157
GDP_SAME_SAMPLE_TWFE,0.035622023271714376,0.0581293519302097,-0.07831150651149663,0.14955555305492538,1885,157
GDP_UNEMP_SAME_SAMPLE_TWFE,0.04635755060215303,0.059399210176501266,-0.07006490134378944,0.1627800025480955,1885,157
A1_SAME_SAMPLE_TWFE,0.04545506119030802,0.0581208670175328,-0.06846183816405627,0.15937196054467231,1885,157
A0_FULL_FD,-0.09410450978929412,0.03996221498675806,-0.1724304511633399,-0.01577856841524833,1628,155
A0_SAME_SAMPLE_FD,-0.11793467577663819,0.03731661690551641,-0.19107524491145034,-0.04479410664182602,1588,151
GDP_SAME_SAMPLE_FD,-0.11541744191077115,0.03840709641582869,-0.19069535088579537,-0.040139532935746916,1588,151
GDP_UNEMP_SAME_SAMPLE_FD,-0.07854659915922282,0.05313299852832919,-0.182687276274748,0.025594077956302377,1588,151
A1_SAME_SAMPLE_FD,-0.08086043494436361,0.052700516364786516,-0.18415344701934516,0.022432577130617956,1588,151
