country,n_years,first_year,last_year,first_leave,last_leave,net_change,n_observed_changes,min_leave,max_leave
Afghanistan,12,2008,2019,20,20,0,0,20,20
Albania,13,2007,2020,20,20,0,0,20,20
Algeria,9,2010,2020,22,22,0,0,22,22
Angola,4,2011,2014,22,22,0,0,22,22
Argentina,15,2006,2020,18,18,0,0,18,18
Armenia,14,2006,2019,20,20,0,0,20,20
Australia,14,2005,2020,20,20,0,0,20,20
Austria,13,2006,2020,25,25,0,0,25,25
Azerbaijan,14,2006,2019,17,17,0,0,17,17
Bahrain,11,2009,2020,18.333333333333332,30,11.666666666666668,1,18.333333333333332,30
Bangladesh,15,2006,2020,14,17,3,1,14,17
Belarus,14,2006,2019,18,18,0,0,18,18
Belgium,14,2005,2020,20,20,0,0,20,20
Belize,2,2007,2014,12,12,0,0,12,12
Benin,12,2006,2020,24,24,0,0,24,24
Bhutan,3,2013,2015,15,15,0,0,15,15
Bolivia,15,2006,2020,21.666666666666668,21.6666666666667,3.197442310920451e-14,0,21.666666666666668,21.6666666666667
Bosnia and Herzegovina,13,2007,2020,18,20,2,1,18,20
Botswana,12,2006,2019,15,15,0,0,15,15
Brazil,15,2005,2020,26,26,0,0,26,26
Bulgaria,12,2007,2020,20,20,0,0,20,20
Burkina Faso,14,2006,2020,22,22,0,0,22,22
Burundi,5,2008,2018,21,21,0,0,21,21
Cambodia,15,2006,2020,19.3333333333333,19.3333333333333,0,0,19.3333333333333,19.333333333333332
Cameroon,15,2006,2020,27,27,0,0,27,27
Canada,15,2005,2020,10,13.3333333333333,3.3333333333333,1,10,13.3333333333333
Central African Republic,5,2007,2017,25.3333333333333,25.3333333333333,0,0,25.3333333333333,25.3333333333333
Chad,14,2006,2019,24.6666666666667,24.6666666666667,0,0,24.666666666666668,24.6666666666667
Chile,15,2006,2020,15,15,0,0,15,15
China,15,2006,2020,0,6.66666666666667,6.66666666666667,1,0,6.66666666666667
Colombia,15,2006,2020,15,15,0,0,15,15
Comoros,6,2009,2019,22,22,0,0,22,22
Congo (Brazzaville),11,2008,2020,29.666666666666668,29.666666666666668,0,0,29.666666666666668,29.666666666666668
Congo (Kinshasa),8,2009,2017,13,13,0,0,13,13
Costa Rica,15,2006,2020,12,12,0,0,12,12
Croatia,13,2007,2020,18,20,2,1,18,20
Cyprus,13,2006,2020,20,20,0,0,20,20
Czechia,12,2005,2020,20,20,0,0,20,20
Denmark,15,2005,2020,25,25,0,0,25,25
Djibouti,4,2008,2011,30,30,0,0,30,30
Dominican Republic,15,2006,2020,16.6666666666667,16.6666666666667,0,0,16.6666666666667,16.6666666666667
Ecuador,15,2006,2020,12.333333333333334,12,-0.3333333333333339,1,12,12.333333333333334
Egypt,15,2005,2020,24,24,0,0,24,24
El Salvador,15,2006,2020,11,11,0,0,11,11
Estonia,14,2006,2020,0,24,24,1,0,24
Eswatini,3,2011,2019,11,15,4,1,11,15
Ethiopia,9,2012,2020,18.333333333333332,18.3333333333333,-3.197442310920451e-14,0,18.3333333333333,18.333333333333332
Finland,13,2006,2020,30,30,0,0,30,30
France,15,2005,2020,30.3333333333333,30.3333333333333,0,0,30.3333333333333,30.3333333333333
Gabon,10,2011,2020,24,24,0,0,24,24
Gambia,3,2017,2019,0,0,0,0,0,0
Georgia,15,2006,2020,24,24,0,0,24,24
Germany,15,2005,2020,24,24,0,0,24,24
Ghana,15,2006,2020,15,15,0,0,15,15
Greece,14,2005,2020,22.3333333333333,22.3333333333333,0,0,22.3333333333333,22.333333333333332
Guatemala,14,2006,2019,15,15,0,0,15,15
Guinea,10,2011,2020,30,30,0,0,30,30
Guyana,1,2007,2007,12,12,0,0,12,12
Haiti,11,2006,2018,13,13,0,0,13,13
Honduras,14,2006,2019,16.6666666666667,16.6666666666667,0,0,16.666666666666668,16.6666666666667
Hong Kong S.A.R. of China,11,2006,2020,10.333333333333334,10.3333333333333,-3.375077994860476e-14,0,10.3333333333333,10.333333333333334
Hungary,14,2005,2020,21.3333333333333,21.3333333333333,0,0,21.3333333333333,21.333333333333332
Iceland,8,2008,2020,24,24,0,0,24,24
India,15,2006,2020,21,18,-3,1,18,21
Indonesia,15,2006,2020,12,12,0,0,12,12
Iran,13,2005,2020,24,24,0,0,24,24
Iraq,12,2008,2020,22,23,1,1,22,23
Ireland,14,2006,2020,20,20,0,0,20,20
Israel,15,2006,2020,18,18,0,0,18,18
Italy,15,2005,2020,26,26,0,0,26,26
Ivory Coast,9,2009,2020,27.4,27.4,0,0,27.4,27.4
Jamaica,7,2006,2020,11.666666666666666,11.666666666666666,0,0,11.666666666666666,11.666666666666666
Japan,15,2005,2020,15.3333333333333,15.3333333333333,0,0,15.3333333333333,15.333333333333334
Jordan,15,2005,2020,18.6666666666667,18.6666666666667,0,0,18.666666666666668,18.6666666666667
Kazakhstan,15,2006,2020,14,18,4,1,14,18
Kenya,15,2006,2020,21,21,0,0,21,21
Kosovo,14,2007,2020,16,21,5,1,16,21
Kuwait,11,2006,2019,18.666666666666668,30,11.333333333333332,1,18.666666666666668,30
Kyrgyzstan,15,2006,2020,20,20,0,0,20,20
Laos,9,2006,2020,15,15,0,0,15,15
Latvia,14,2006,2020,20,20,0,0,20,20
Lebanon,15,2005,2020,15,15,0,0,15,15
Lesotho,4,2011,2019,12,12,0,0,12,12
Liberia,9,2007,2019,16,16.5,0.5,1,16,16.5
Libya,6,2012,2019,30,30,0,0,30,30
Lithuania,15,2006,2020,20.666666666666668,21,0.33333333333333215,1,20.666666666666668,21
Luxembourg,11,2009,2019,25,25,0,0,25,25
Madagascar,11,2006,2019,24,24,0,0,24,24
Malawi,12,2006,2019,18,18,0,0,18,18
Malaysia,13,2006,2020,13.333333333333334,13.3333333333333,-3.375077994860476e-14,0,13.3333333333333,13.333333333333334
Maldives,1,2018,2018,30,30,0,0,30,30
Mali,14,2006,2020,22,22,0,0,22,22
Malta,12,2009,2020,24,26,2,1,24,26
Mauritania,13,2007,2019,18,18,0,0,18,18
Mauritius,7,2011,2020,17,17,0,0,17,17
Mexico,15,2005,2020,12,12,0,0,12,12
Moldova,15,2006,2020,20,20,0,0,20,20
Mongolia,13,2007,2020,16,16,0,0,16,16
Montenegro,13,2007,2020,18,20.6666666666667,2.6666666666667,3,18,21
Morocco,10,2010,2020,19.5,19.5,0,0,19.5,19.5
Mozambique,8,2006,2019,24,24,0,0,24,24
Myanmar,9,2012,2020,10,10,0,0,10,10
Namibia,6,2007,2020,19,20,1,1,19,20
Nepal,15,2006,2020,18,18,0,0,18,18
Netherlands,14,2005,2020,20,20,0,0,20,20
New Zealand,14,2006,2020,20,20,0,0,20,20
Nicaragua,15,2006,2020,30,30,0,0,30,30
Niger,14,2006,2019,22,22,0,0,22,22
Nigeria,13,2006,2020,6,6,0,0,6,6
North Macedonia,13,2007,2020,18,20,2,1,18,20
Norway,10,2006,2020,21,21,0,0,21,21
Oman,1,2011,2011,18.333333333333332,18.333333333333332,0,0,18.333333333333332,18.333333333333332
Pakistan,15,2005,2020,14,14,0,0,14,14
Panama,14,2006,2019,22,22,0,0,22,22
Paraguay,14,2006,2020,20,20,0,0,20,20
Peru,15,2006,2020,13,13,0,0,13,13
Philippines,15,2006,2020,5,5,0,0,5,5
Poland,14,2005,2020,22,22,0,0,22,22
Portugal,13,2006,2020,22,22,0,0,22,22
Qatar,5,2009,2015,22,22,0,0,22,22
Romania,14,2005,2020,20,20,0,0,20,20
Russia,15,2006,2020,22,22,0,0,22,22
Rwanda,12,2006,2019,19.333333333333332,19.3333333333333,-3.197442310920451e-14,0,19.3333333333333,19.333333333333332
Saudi Arabia,15,2005,2020,20.666666666666668,23.3333333333333,2.6666666666666323,1,20.666666666666668,23.3333333333333
Senegal,15,2006,2020,24.3333333333333,24.3333333333333,0,0,24.3333333333333,24.333333333333332
Serbia,13,2007,2020,20,20,0,0,20,20
Sierra Leone,12,2006,2019,23,23,0,0,23,23
Singapore,13,2006,2019,10.6666666666667,10.6666666666667,0,0,10.6666666666667,10.6666666666667
Slovakia,12,2006,2020,25,25,0,0,25,25
Slovenia,13,2006,2020,21,22,1,1,21,22
Somalia,3,2014,2016,80,80,0,0,80,80
South Africa,15,2006,2020,18.3333333333333,18.3333333333333,0,0,18.3333333333333,18.3333333333333
South Korea,15,2006,2020,17,17,0,0,17,17
South Sudan,4,2014,2017,23.3333333333333,23.3333333333333,0,0,23.3333333333333,23.3333333333333
Spain,15,2005,2020,22,22,0,0,22,22
Sri Lanka,14,2006,2020,14,14,0,0,14,14
Sudan,5,2009,2014,23.333333333333332,23.3333333333333,-3.197442310920451e-14,0,23.3333333333333,23.333333333333332
Suriname,1,2012,2012,16,16,0,0,16,16
Sweden,15,2005,2020,25,25,0,0,25,25
Switzerland,10,2006,2020,20,20,0,0,20,20
Syria,7,2008,2015,16.3333333333333,21.6666666666667,5.3333333333334,1,16.3333333333333,21.6666666666667
Taiwan Province of China,13,2006,2020,12,12.6666666666667,0.6666666666666998,1,12,12.6666666666667
Tajikistan,15,2006,2020,21,18,-3,1,18,21
Tanzania,15,2006,2020,20,20,0,0,20,20
Thailand,15,2006,2020,6,6,0,0,6,6
Togo,9,2006,2019,30,30,0,0,30,30
Trinidad and Tobago,5,2006,2017,10,10,0,0,10,10
Tunisia,12,2009,2020,19,19,0,0,19,19
Turkiye,15,2005,2020,18,18,0,0,18,18
Uganda,15,2006,2020,18,21,3,1,18,21
Ukraine,15,2006,2020,18,18,0,0,18,18
United Arab Emirates,13,2006,2020,26,26,0,0,26,26
United Kingdom,15,2005,2020,28,28,0,0,28,28
United States,15,2006,2020,0,0,0,0,0,0
Uruguay,15,2006,2020,21,21,0,0,21,21
Uzbekistan,14,2006,2020,15,15,0,0,15,15
Venezuela,15,2005,2020,19.3333333333333,19.3333333333333,0,0,19.3333333333333,19.333333333333332
Vietnam,15,2006,2020,13,13,0,0,13,13
Yemen,12,2007,2019,30,30,0,0,30,30
Zambia,14,2006,2020,24,24,0,0,24,24
Zimbabwe,15,2006,2020,22,22,0,0,22,22
