country,from_year,to_year,from_leave,to_leave,delta
Bangladesh,2007,2008,14,17,3
Kazakhstan,2007,2008,14,18,4
Uganda,2007,2008,18,21,3
China,2008,2009,0,6.66666666666667,6.66666666666667
Estonia,2008,2009,0,24,24
Montenegro,2009,2010,18,19,1
North Macedonia,2009,2010,18,20,2
Saudi Arabia,2009,2010,20.666666666666668,23.3333333333333,2.6666666666666323
Croatia,2010,2011,18,20,2
Kuwait,2010,2011,18.666666666666668,30,11.333333333333332
Syria,2010,2011,16.3333333333333,21.666666666666668,5.333333333333368
Kosovo,2011,2012,16,21,5
Ecuador,2012,2013,12.333333333333334,12,-0.3333333333333339
Montenegro,2012,2013,19,21,2
Bahrain,2013,2014,18.333333333333332,30,11.666666666666668
Namibia,2007,2014,19,20,1
Montenegro,2014,2015,21,20.6666666666667,-0.3333333333333002
Slovenia,2014,2015,21,22,1
Tajikistan,2014,2015,21,18,-3
Bosnia and Herzegovina,2016,2017,18,20,2
Iraq,2016,2017,22,23,1
Liberia,2016,2017,16,16.5,0.5
Eswatini,2011,2018,11,15,4
Taiwan Province of China,2017,2018,12,12.6666666666667,0.6666666666666998
Canada,2018,2019,10,13.3333333333333,3.3333333333333
India,2018,2019,21,18,-3
Lithuania,2018,2019,20.6666666666667,21,0.3333333333333002
Malta,2019,2020,24,26,2
