event_id,country,whr_country,event_tier,primary_pool,first_full_post_year,n_pre_observed,n_post_observed,raw_donor_count,clean_donor_count,excluded_for_nearby_wb_jump,excluded_for_verified_treatment,clean_donor_pass_10,clean_donor_pass_20,clean_donors
TWN_EW2018,"Taiwan, China",Taiwan Province of China,A_corroborated,True,2017,4,5,138,124,14,0,True,True,Afghanistan;Albania;Algeria;Argentina;Armenia;Australia;Austria;Azerbaijan;Bangladesh;Belarus;Belgium;Benin;Bolivia;Botswana;Brazil;Bulgaria;Burkina Faso;Cambodia;Cameroon;Chad;Chile;China;Colombia;Congo (Brazzaville);Costa Rica;Croatia;Cyprus;Czechia;Denmark;Dominican Republic;Egypt;El Salvador;Estonia;Ethiopia;Finland;France;Gabon;Georgia;Germany;Ghana;Greece;Guatemala;Guinea;Haiti;Honduras;Hong Kong S.A.R. of China;Hungary;Iceland;Indonesia;Iran;Ireland;Israel;Italy;Ivory Coast;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kuwait;Kyrgyzstan;Latvia;Lebanon;Libya;Madagascar;Malawi;Malaysia;Mali;Mauritania;Mauritius;Mexico;Moldova;Mongolia;Morocco;Myanmar;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;North Macedonia;Norway;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Romania;Russia;Rwanda;Saudi Arabia;Senegal;Serbia;Sierra Leone;Singapore;Slovakia;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sweden;Switzerland;Tanzania;Thailand;Togo;Tunisia;Turkiye;Turkmenistan;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Yemen;Zambia;Zimbabwe
LUX_EW2020,Luxembourg,Luxembourg,A_corroborated,True,2019,4,2,133,121,11,1,True,True,Afghanistan;Albania;Algeria;Argentina;Armenia;Australia;Austria;Bangladesh;Belgium;Benin;Bolivia;Botswana;Brazil;Bulgaria;Burkina Faso;Cambodia;Cameroon;Chad;Chile;China;Colombia;Congo (Brazzaville);Costa Rica;Croatia;Cyprus;Czechia;Denmark;Dominican Republic;Ecuador;Egypt;El Salvador;Estonia;Ethiopia;Finland;France;Gabon;Gambia;Georgia;Germany;Ghana;Greece;Guatemala;Guinea;Honduras;Hong Kong S.A.R. of China;Hungary;Iceland;Indonesia;Iran;Ireland;Israel;Italy;Ivory Coast;Japan;Jordan;Kazakhstan;Kenya;Kosovo;Kyrgyzstan;Laos;Latvia;Lebanon;Madagascar;Malawi;Malaysia;Mali;Mauritania;Mauritius;Mexico;Moldova;Mongolia;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;North Macedonia;Norway;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Romania;Russia;Saudi Arabia;Senegal;Serbia;Sierra Leone;Singapore;Slovakia;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sweden;Switzerland;Tanzania;Thailand;Togo;Tunisia;Turkiye;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Zambia;Zimbabwe
BHR_EW2014,Bahrain,Bahrain,A_corroborated,True,2013,4,5,132,114,16,2,True,True,Afghanistan;Albania;Algeria;Angola;Argentina;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Benin;Bolivia;Botswana;Brazil;Bulgaria;Burkina Faso;Cambodia;Cameroon;Canada;Central African Republic;Chad;Chile;Colombia;Congo (Brazzaville);Congo (Kinshasa);Costa Rica;Cyprus;Czechia;Denmark;Dominican Republic;Egypt;El Salvador;Finland;France;Gabon;Georgia;Germany;Ghana;Greece;Guatemala;Guinea;Haiti;Honduras;Hong Kong S.A.R. of China;Hungary;India;Indonesia;Iran;Ireland;Israel;Italy;Japan;Jordan;Kenya;Kyrgyzstan;Latvia;Lebanon;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Mali;Malta;Mauritania;Mexico;Moldova;Mongolia;Morocco;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Romania;Russia;Rwanda;Senegal;Serbia;Sierra Leone;Singapore;Slovakia;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sweden;Switzerland;Syria;Tanzania;Thailand;Tunisia;Turkiye;Turkmenistan;Ukraine;United Arab Emirates;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Yemen;Zambia;Zimbabwe
CAN_EW2019,Canada,Canada,A_corroborated,True,2020,4,3,121,113,7,1,True,True,Afghanistan;Albania;Algeria;Argentina;Armenia;Australia;Austria;Bangladesh;Belgium;Benin;Bolivia;Brazil;Bulgaria;Burkina Faso;Cambodia;Cameroon;Chile;China;Colombia;Congo (Brazzaville);Costa Rica;Croatia;Cyprus;Czechia;Denmark;Dominican Republic;Ecuador;Egypt;El Salvador;Estonia;Ethiopia;Finland;France;Gabon;Georgia;Germany;Ghana;Greece;Guinea;Honduras;Hong Kong S.A.R. of China;Hungary;Iceland;Indonesia;Iran;Ireland;Israel;Italy;Ivory Coast;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kosovo;Kyrgyzstan;Laos;Latvia;Lebanon;Malawi;Malaysia;Mali;Mauritius;Mexico;Moldova;Mongolia;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;New Zealand;Nicaragua;Nigeria;North Macedonia;Norway;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Romania;Russia;Saudi Arabia;Senegal;Serbia;Sierra Leone;Slovakia;South Africa;South Korea;Spain;Sri Lanka;Sweden;Switzerland;Tanzania;Thailand;Togo;Tunisia;Turkiye;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Zambia;Zimbabwe
KWT_EW2011,Kuwait,Kuwait,A_corroborated,True,2011,2,5,127,110,16,1,True,True,Afghanistan;Albania;Argentina;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Bulgaria;Burkina Faso;Burundi;Cambodia;Cameroon;Canada;Chad;Chile;Colombia;Comoros;Costa Rica;Cyprus;Czechia;Denmark;Dominican Republic;Egypt;El Salvador;Finland;France;Georgia;Germany;Ghana;Greece;Guatemala;Haiti;Honduras;Hong Kong S.A.R. of China;Hungary;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Japan;Jordan;Kenya;Kyrgyzstan;Laos;Latvia;Lebanon;Liberia;Lithuania;Luxembourg;Malawi;Malaysia;Mali;Malta;Mauritania;Mexico;Moldova;Mongolia;Mozambique;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Qatar;Romania;Russia;Rwanda;Senegal;Singapore;Somaliland region;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sudan;Sweden;Syria;Taiwan Province of China;Tanzania;Thailand;Tunisia;Turkiye;Ukraine;United Arab Emirates;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Yemen;Zambia;Zimbabwe
XKX_EW2012,Kosovo,Kosovo,A_corroborated,True,2011,4,5,127,110,16,1,True,True,Afghanistan;Albania;Argentina;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Bulgaria;Burkina Faso;Burundi;Cambodia;Cameroon;Canada;Chad;Chile;Colombia;Comoros;Costa Rica;Cyprus;Czechia;Denmark;Dominican Republic;Egypt;El Salvador;Finland;France;Georgia;Germany;Ghana;Greece;Guatemala;Haiti;Honduras;Hong Kong S.A.R. of China;Hungary;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Japan;Jordan;Kenya;Kyrgyzstan;Laos;Latvia;Lebanon;Liberia;Lithuania;Luxembourg;Malawi;Malaysia;Mali;Malta;Mauritania;Mexico;Moldova;Mongolia;Mozambique;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Qatar;Romania;Russia;Rwanda;Senegal;Singapore;Somaliland region;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sudan;Sweden;Syria;Taiwan Province of China;Tanzania;Thailand;Tunisia;Turkiye;Ukraine;United Arab Emirates;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Yemen;Zambia;Zimbabwe
HRV_EW2011,Croatia,Croatia,A_corroborated,True,2010,2,5,123,106,16,1,True,True,Afghanistan;Argentina;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Benin;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Burkina Faso;Burundi;Cambodia;Cameroon;Canada;Chad;Chile;Colombia;Costa Rica;Cyprus;Denmark;Djibouti;Dominican Republic;Egypt;El Salvador;Finland;France;Georgia;Germany;Ghana;Greece;Guatemala;Haiti;Honduras;Hong Kong S.A.R. of China;Hungary;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Japan;Jordan;Kenya;Kyrgyzstan;Laos;Latvia;Lebanon;Liberia;Lithuania;Madagascar;Malawi;Malaysia;Mali;Mauritania;Mexico;Moldova;Mongolia;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;Norway;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Romania;Russia;Rwanda;Senegal;Singapore;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sweden;Switzerland;Syria;Taiwan Province of China;Tanzania;Thailand;Togo;Trinidad and Tobago;Turkiye;Ukraine;United Arab Emirates;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Yemen;Zambia;Zimbabwe
CHN_EW2009,China,China,A_corroborated,True,2008,2,5,88,80,7,1,True,True,Argentina;Armenia;Australia;Azerbaijan;Belarus;Belgium;Bolivia;Brazil;Burkina Faso;Cambodia;Cameroon;Canada;Chad;Chile;Colombia;Costa Rica;Czechia;Denmark;Dominican Republic;Egypt;El Salvador;France;Georgia;Germany;Ghana;Greece;Guatemala;Honduras;Hungary;India;Indonesia;Iran;Israel;Italy;Japan;Jordan;Kenya;Kyrgyzstan;Laos;Latvia;Lebanon;Lithuania;Malawi;Malaysia;Mexico;Moldova;Mozambique;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Romania;Russia;Senegal;Singapore;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sweden;Tajikistan;Tanzania;Thailand;Turkiye;Ukraine;United States;Uruguay;Venezuela;Vietnam;Zambia;Zimbabwe
LTU_EW2019,Lithuania,Lithuania,A_corroborated,False,2018,4,5,138,125,12,1,True,True,Afghanistan;Albania;Algeria;Argentina;Armenia;Australia;Austria;Azerbaijan;Bangladesh;Belarus;Belgium;Benin;Bolivia;Botswana;Brazil;Bulgaria;Burkina Faso;Cambodia;Cameroon;Chad;Chile;China;Colombia;Congo (Brazzaville);Costa Rica;Croatia;Cyprus;Czechia;Denmark;Dominican Republic;Egypt;El Salvador;Estonia;Ethiopia;Finland;France;Gabon;Georgia;Germany;Ghana;Greece;Guatemala;Guinea;Honduras;Hong Kong S.A.R. of China;Hungary;Iceland;Indonesia;Iran;Ireland;Israel;Italy;Ivory Coast;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kosovo;Kyrgyzstan;Latvia;Lebanon;Libya;Madagascar;Malawi;Malaysia;Mali;Mauritania;Mauritius;Mexico;Moldova;Mongolia;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;North Macedonia;Norway;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Romania;Russia;Rwanda;Saudi Arabia;Senegal;Serbia;Sierra Leone;Singapore;Slovakia;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sweden;Switzerland;Tanzania;Thailand;Togo;Tunisia;Turkiye;Turkmenistan;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Yemen;Zambia;Zimbabwe
GBR_STAGE2,United Kingdom,United Kingdom,B_legal_only,False,2010,3,5,123,106,17,0,True,True,Afghanistan;Argentina;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Benin;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Burkina Faso;Burundi;Cambodia;Cameroon;Canada;Chad;Chile;Colombia;Costa Rica;Cyprus;Denmark;Djibouti;Dominican Republic;Egypt;El Salvador;Finland;France;Georgia;Germany;Ghana;Greece;Guatemala;Haiti;Honduras;Hong Kong S.A.R. of China;Hungary;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Japan;Jordan;Kenya;Kyrgyzstan;Laos;Latvia;Lebanon;Liberia;Lithuania;Madagascar;Malawi;Malaysia;Mali;Mauritania;Mexico;Moldova;Mongolia;Nepal;Netherlands;New Zealand;Nicaragua;Niger;Nigeria;Norway;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Romania;Russia;Rwanda;Senegal;Singapore;South Africa;South Korea;Spain;Sri Lanka;State of Palestine;Sweden;Switzerland;Syria;Taiwan Province of China;Tanzania;Thailand;Togo;Trinidad and Tobago;Turkiye;Ukraine;United Arab Emirates;United States;Uruguay;Uzbekistan;Venezuela;Vietnam;Yemen;Zambia;Zimbabwe
