event_id,country,ew_report_year,direction,effective_date,effective_year,date_quality,official_reform_source,exact_date_source,notes,whr_country,legal_effective_year,transition_year_excluded,candidate_treatment_year,timing_quality,whr_years_all,pre_years_-4_-1,post_years_0_4,n_pre,n_post,pilot0_coverage_pass,confirmatory_timing_pass
AUS_EW2011,Australia,2011,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says annual leave increased,Australia,,,2010,provisional_ew_report_minus_1,2005;2007;2008;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2007;2008,2010;2011;2012;2013;2014,2,5,True,False
BHR_EW2014,Bahrain,2014,increase,2012-09-02,2012.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://natlex.ilo.org/dyn/natlex2/r/natlex/fe/details?p3_isn=91026,Law No. 36 of 2012 entered into force 2012-09-02; annual paid leave increased,Bahrain,2012,2012,2013,verified_first_full_year,2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020,2009;2010;2011;2012,2013;2014;2015;2016;2017,4,5,True,True
BTN_EW2011,Bhutan,2011,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave established,Bhutan,,,2010,provisional_ew_report_minus_1,2013;2014;2015,,2013;2014,0,2,False,False
BRN_EW2011,Brunei Darussalam,2011,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory minimum annual leave instituted,,,,2010,provisional_ew_report_minus_1,,,,0,0,False,False
CPV_EW2009,Cabo Verde,2009,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave increased,,,,2008,provisional_ew_report_minus_1,,,,0,0,False,False
CAN_EW2019,Canada,2019,increase,2019-09-01,2019.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://www.laws.justice.gc.ca/eng/acts/L-2/section-184-20190901.html,Federal jurisdiction; 3 weeks threshold moved to 5 years and 4 weeks after 10 years,Canada,2019,2019,2020,verified_first_full_year,2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2016;2017;2018;2019,2020;2021;2022,4,3,True,True
CHN_EW2009,China,2009,introduced,2008-01-01,2008.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://natlex.ilo.org/dyn/natlex2/r/natlex/fe/details?p3_isn=81509,State Council Order No.514 established paid annual leave,China,2008,,2008,verified_first_full_year,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,2006;2007,2008;2009;2010;2011;2012,2,5,True,True
HRV_EW2011,Croatia,2011,increase,2010-01-01,2010.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://narodne-novine.nn.hr/clanci/sluzbeni/2009_12_149_3635.html,2009 Labour Act minimum annual leave four weeks; effective 2010-01-01,Croatia,2010,,2010,verified_first_full_year,2007;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2007;2009,2010;2011;2012;2013;2014,2,5,True,True
IND_EW2019,India,2019,changed_unspecified,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,Mumbai regulation changed; direction must be recovered before inclusion,India,,,2018,provisional_ew_report_minus_1,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2014;2015;2016;2017,2018;2019;2020;2021;2022,4,5,True,False
KAZ_EW2009,Kazakhstan,2009,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave increased,Kazakhstan,,,2008,provisional_ew_report_minus_1,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2006;2007,2008;2009;2010;2011;2012,2,5,True,False
