Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
"C(rel_time, contr.treatment(base=-1.0))[-2.0]:cohort_dummy_2008",-0.0582559099888392,0.06244894408251671,-0.9328566054193478,0.3539692384932378,-0.1827164760601513,0.06620465608247289
"C(rel_time, contr.treatment(base=-1.0))[0.0]:cohort_dummy_2008",0.03678066155322347,0.05335194524604277,0.68939682299497,0.4927591777744844,-0.0695496119827727,0.14311093508921963
"C(rel_time, contr.treatment(base=-1.0))[1.0]:cohort_dummy_2008",-0.4844802123009946,0.07006605111132407,-6.914621341100426,1.4993548624886444e-09,-0.6241216507883152,-0.344838773813674
"C(rel_time, contr.treatment(base=-1.0))[2.0]:cohort_dummy_2008",-0.27900302579308206,0.07384143679930959,-3.7784073263819633,0.00031964778119153436,-0.42616879710568345,-0.13183725448048064
"C(rel_time, contr.treatment(base=-1.0))[3.0]:cohort_dummy_2008",0.09589302543388907,0.07507379162087927,1.2773169352914318,0.20553796834718008,-0.053728825496177204,0.24551487636395536
"C(rel_time, contr.treatment(base=-1.0))[4.0]:cohort_dummy_2008",0.20781471116937023,0.07581298230830993,2.741149402674157,0.007693689628127887,0.056719655323770074,0.35890976701497035
"C(rel_time, contr.treatment(base=-1.0))[-4.0]:cohort_dummy_2010",-0.11164775782781766,0.15640796278752198,-0.7138240012721704,0.47761213325732066,-0.4233683781296364,0.20007286247400108
"C(rel_time, contr.treatment(base=-1.0))[-3.0]:cohort_dummy_2010",-0.1629708387752591,0.3663063859213562,-0.44490307851266336,0.6577061926962995,-0.8930184131116222,0.567076735561104
"C(rel_time, contr.treatment(base=-1.0))[-2.0]:cohort_dummy_2010",0.05903228956466799,0.19361766859415472,0.30489102566567194,0.7613167286283387,-0.3268471674649769,0.4449117465943129
"C(rel_time, contr.treatment(base=-1.0))[0.0]:cohort_dummy_2010",-0.20808221850103797,0.18580694454604102,-1.1198839688657458,0.26643428788771595,-0.5783949249516734,0.1622304879495975
"C(rel_time, contr.treatment(base=-1.0))[1.0]:cohort_dummy_2010",-0.43161492525949957,0.26681274531556043,-1.617669818392772,0.11004700815033885,-0.9633719598241934,0.10014210930519435
"C(rel_time, contr.treatment(base=-1.0))[2.0]:cohort_dummy_2010",0.044511644051420704,0.261914462319209,0.1699472555172307,0.8655217203606973,-0.4774831265797497,0.5665064146825911
"C(rel_time, contr.treatment(base=-1.0))[3.0]:cohort_dummy_2010",0.2935075189187151,0.15284272392267992,1.9203237902721146,0.05872366271817331,-0.011107590572362602,0.5981226284097929
"C(rel_time, contr.treatment(base=-1.0))[4.0]:cohort_dummy_2010",-0.42980945838750456,0.2156632807114491,-1.9929654087131157,0.05000355128861922,-0.8596257570053998,6.840230390603441e-06
"C(rel_time, contr.treatment(base=-1.0))[-3.0]:cohort_dummy_2012",0.8790207403840113,0.07329023904720479,11.993694546661958,0.0,0.7329535046071518,1.0250879761608709
"C(rel_time, contr.treatment(base=-1.0))[-2.0]:cohort_dummy_2012",1.1224679929624817,0.058432177470278165,19.20975807436632,0.0,1.0060128312047314,1.238923154720232
"C(rel_time, contr.treatment(base=-1.0))[1.0]:cohort_dummy_2012",1.9679648005421397,0.055638540597266334,35.37053235790356,0.0,1.8570773490430819,2.0788522520411976
"C(rel_time, contr.treatment(base=-1.0))[2.0]:cohort_dummy_2012",1.3634192173297566,0.06697737177871745,20.35641562398531,0.0,1.2299335078751163,1.4969049267843968
"C(rel_time, contr.treatment(base=-1.0))[3.0]:cohort_dummy_2012",1.24963386454375,0.06795680686187235,18.388648941138904,0.0,1.1141961437833863,1.3850715853041136
"C(rel_time, contr.treatment(base=-1.0))[4.0]:cohort_dummy_2012",1.4401939418907417,0.079981524655286,18.006582746426286,0.0,1.280790993128468,1.5995968906530154
"C(rel_time, contr.treatment(base=-1.0))[-4.0]:cohort_dummy_2017",-0.16477312480806974,0.07501533076139318,-2.1965260052265294,0.031230204700811504,-0.3142784634132032,-0.015267786202936284
"C(rel_time, contr.treatment(base=-1.0))[-3.0]:cohort_dummy_2017",-0.22158921583295887,0.05647135229415065,-3.92392260554935,0.0001951784637070908,-0.3341364586503146,-0.10904197301560314
