country,role,pre_year,pre_wdh_122f_mean_0_10,post_year,post_wdh_122f_mean_0_10,change,source_url
Bulgaria,treated,1997,4.44,2003,3.79,-0.6500000000000004,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Czech Republic,donor,1998,6.74,2003,6.1,-0.6400000000000006,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Hungary,donor,1998,5.4,2003,5.49,0.08999999999999986,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Poland,donor,1996,6.03,2003,5.74,-0.29000000000000004,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Romania,donor,1998,4.29,2003,5.76,1.4699999999999998,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Slovakia,donor,1998,5.63,2003,5.19,-0.4399999999999995,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Slovenia,donor,1995;1999,6.49,2003,6.64,0.14999999999999947,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Estonia,donor,1996,4.44,2003,5.39,0.9499999999999993,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Latvia,donor,1996,4.33,2003,5.05,0.7199999999999998,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
Lithuania,donor,1996,4.42,2003,4.9,0.4800000000000004,https://worlddatabaseofhappiness.eur.nl/equivalent-measures/10-step-numeral-lifesatisfaction-7/
