country,cohort,measure,start_year,end_year,happiness_slope,hours_n,hours_first_year,hours_last_year,hours_slope_per_year,hours_change_per_decade
Belgium,1970s,ls4,1973,2021,-0.003,49,1973,2021,-5.047162244897958,-50.47162244897958
Brazil,1960s,bw11,1960,2020,0.028,61,1960,2020,-9.648867265996826,-96.48867265996826
Canada,1970s,bw11,1975,2020,0.006,46,1975,2020,-3.4460388529139685,-34.460388529139685
Denmark,1970s,ls4,1973,2021,0.013,49,1973,2021,-4.930995918367346,-49.309959183673456
Egypt,1960s,bw11,1960,2020,-0.029,16,2005,2020,-5.580176470588238,-55.801764705882384
Finland,1970s,ls11,1976,2018,0.011,43,1976,2018,-5.12101781938991,-51.2101781938991
France,1940s,hl3,1946,1986,0.046,37,1950,1986,-20.959845898530112,-209.59845898530114
Greece,1980s,ls4,1981,2021,-0.032,41,1981,2021,-5.029705574912891,-50.297055749128916
India,1960s,bw11,1962,2020,0.009,51,1970,2020,3.024485972850678,30.244859728506782
Ireland,1970s,ls4,1973,2021,0.007,49,1973,2021,-13.669986734693877,-136.69986734693876
Italy,1960s,hl3,1965,1986,0.02,22,1965,1986,-11.367718802936194,-113.67718802936194
Japan,1950s,ls4,1958,2013,0.004,56,1958,2013,-9.433795967190703,-94.33795967190703
Korea (South),1980s,bw11,1981,2020,0.046,40,1981,2020,-26.744629455909948,-267.4462945590995
Luxembourg,1970s,ls4,1973,2021,0.007,49,1973,2021,-4.859706122448979,-48.59706122448979
Mexico,1970s,bw11,1975,2020,0.008,46,1975,2020,-3.200306506321311,-32.00306506321311
Netherlands,1970s,ls4,1973,2021,0.01,49,1973,2021,-5.142975510204082,-51.42975510204082
Nigeria,1960s,bw11,1963,2020,0.002,16,2005,2020,2.4685000000000046,24.685000000000045
Norway,1980s,hl4,1981,2018,0,38,1981,2018,-3.7100798774482984,-37.10079877448298
Philippines,1950s,bw11,1959,2020,0.014,51,1970,2020,-4.613707692307693,-46.137076923076926
Poland,1960s,bw11,1962,2020,0.033,26,1995,2020,-2.9860102564102577,-29.860102564102576
Portugal,1980s,ls4,1985,2021,-0.016,37,1985,2021,0.1131958274063527,1.131958274063527
South Africa,1980s,ls10+11,1981,2013,0.009,13,2001,2013,-14.764340659340663,-147.64340659340664
Spain,1980s,ls10+11,1981,2018,0.024,38,1981,2018,-3.3478630047051112,-33.47863004705111
Sweden,1980s,ls10,1982,2017,0.001,36,1982,2017,2.59047232947233,25.9047232947233
Switzerland,1970s,ls11,1976,2018,0.001,43,1976,2018,-6.590582905466628,-65.90582905466628
UK,1960s,hl3,1965,1986,-0.031,22,1965,1986,-10.125364201016378,-101.25364201016379
USA,1940s,hl4,1946,2017,0.001,68,1950,2017,-3.6421817383669897,-36.4218173836699
