analysis,n,countries,pearson,spearman,mean_hours_slope_per_year,mean_happiness_slope_per_year
all_unique_series,190,46,0.10091233236216399,0.09448913272032905,-6.113858963538295,0.006810526315789476
one_longest_series_per_country,46,46,-0.056609393797385055,-0.044735143289211445,-7.494844004473455,0.00932608695652174
family_happiness,25,10,-0.2248568448578434,0.10993457245389143,-5.113145132691083,0.00344
family_life_satisfaction,139,40,0.18814345415548697,0.12248155039056141,-6.567771870479808,0.006496402877697844
family_best_worst_life,26,14,-0.2464555634589401,0.10331851442811132,-4.64939556762713,0.01173076923076923
cohort_1940s,3,2,-0.9999761389612289,-1,-9.497796273818512,0.016333333333333335
cohort_1950s,6,3,-0.160717189576304,-0.5428571428571428,-4.589850105372665,0.003333333333333334
cohort_1960s,11,9,0.08493089760196416,0.08181818181818182,-5.423383766992014,0.0057272727272727275
cohort_1970s,35,16,-0.030257673317658072,-0.12213426090859428,-5.726526562271351,0.004971428571428573
cohort_1980s,39,18,-0.25419544036802016,-0.03221558694619428,-5.9575336131170085,0.004974358974358973
cohort_1990s,59,38,0.28324222777284547,0.19546597696427884,-5.95803445927037,0.006355932203389831
cohort_2000s,37,37,0.24079812911180273,0.20157705278870924,-7.071546445774568,0.011324324324324326
