cohort,country,hours_entity,measure,measure_family,start_year,end_year,happiness_slope,hours_n,hours_first_year,hours_last_year,hours_observed_span,hours_slope_per_year,hours_change_per_decade,eligible,source_url
1940s,France,France,hl3,happiness,1946,1986,0.046,37,1950,1986,36,-20.959845898530112,-209.59845898530114,true,https://www.intechopen.com/chapters/86319
1940s,USA,United States,hl3,happiness,1946,2010,0.002,61,1950,2010,60,-3.8913611845584355,-38.913611845584356,true,https://www.intechopen.com/chapters/86319
1940s,USA,United States,hl4,happiness,1946,2017,0.001,68,1950,2017,67,-3.6421817383669897,-36.4218173836699,true,https://www.intechopen.com/chapters/86319
1950s,Japan,Japan,ls4,life_satisfaction,1958,2013,0.004,56,1958,2013,55,-9.433795967190703,-94.33795967190703,true,https://www.intechopen.com/chapters/86319
1950s,Philippines,Philippines,bw11,best_worst_life,1959,2020,0.014,51,1970,2020,50,-4.613707692307693,-46.137076923076926,true,https://www.intechopen.com/chapters/86319
1950s,USA,United States,hl3,happiness,1952,2010,0.001,59,1952,2010,58,-3.7829906487434255,-37.82990648743426,true,https://www.intechopen.com/chapters/86319
1950s,USA,United States,hl4,happiness,1952,2017,-0.001,66,1952,2017,65,-3.541086525414883,-35.41086525414883,true,https://www.intechopen.com/chapters/86319
1950s,USA,United States,ls10+11,life_satisfaction,1959,2017,-0.011,59,1959,2017,58,-3.02562419637639,-30.256241963763898,true,https://www.intechopen.com/chapters/86319
1950s,USA,United States,bw11,best_worst_life,1955,2021,0.013,67,1955,2021,66,-3.14189560220289,-31.4189560220289,true,https://www.intechopen.com/chapters/86319
1960s,Brazil,Brazil,bw11,best_worst_life,1960,2020,0.028,61,1960,2020,60,-9.648867265996826,-96.48867265996826,true,https://www.intechopen.com/chapters/86319
1960s,Egypt,Egypt,bw11,best_worst_life,1960,2020,-0.029,16,2005,2020,15,-5.580176470588238,-55.801764705882384,true,https://www.intechopen.com/chapters/86319
1960s,India,India,bw11,best_worst_life,1962,2020,0.009,51,1970,2020,50,3.024485972850678,30.244859728506782,true,https://www.intechopen.com/chapters/86319
1960s,Italy,Italy,hl3,happiness,1965,1986,0.02,22,1965,1986,21,-11.367718802936194,-113.67718802936194,true,https://www.intechopen.com/chapters/86319
1960s,Japan,Japan,bw11,best_worst_life,1962,2020,0.01,59,1962,2020,58,-9.904808299240212,-99.04808299240213,true,https://www.intechopen.com/chapters/86319
1960s,Japan,Japan,ls4,life_satisfaction,1961,2013,0.001,53,1961,2013,52,-9.907409288824383,-99.07409288824383,true,https://www.intechopen.com/chapters/86319
1960s,Nigeria,Nigeria,bw11,best_worst_life,1963,2020,0.002,16,2005,2020,15,2.4685000000000046,24.685000000000045,true,https://www.intechopen.com/chapters/86319
1960s,Panama,Panama,bw11,best_worst_life,1962,2019,0.029,0,,,0,NaN,,false,https://www.intechopen.com/chapters/86319
1960s,Poland,Poland,bw11,best_worst_life,1962,2020,0.033,26,1995,2020,25,-2.9860102564102577,-29.860102564102576,true,https://www.intechopen.com/chapters/86319
1960s,UK,United Kingdom,hl3,happiness,1965,1986,-0.031,22,1965,1986,21,-10.125364201016378,-101.25364201016379,true,https://www.intechopen.com/chapters/86319
1960s,USA,United States,hl3,happiness,1963,2010,0.005,48,1963,2010,47,-2.961893182805038,-29.618931828050382,true,https://www.intechopen.com/chapters/86319
1960s,USA,United States,bw11,best_worst_life,1964,2021,0.015,58,1964,2021,57,-2.667959641945307,-26.67959641945307,true,https://www.intechopen.com/chapters/86319
1970s,Belgium,Belgium,ls4,life_satisfaction,1973,2021,-0.003,49,1973,2021,48,-5.047162244897958,-50.47162244897958,true,https://www.intechopen.com/chapters/86319
1970s,Belgium,Belgium,ls11,life_satisfaction,1975,2018,-0.004,44,1975,2018,43,-4.687870331219168,-46.878703312191675,true,https://www.intechopen.com/chapters/86319
1970s,Brazil,Brazil,bw11,best_worst_life,1975,2020,0.009,46,1975,2020,45,-8.874260869565214,-88.74260869565214,true,https://www.intechopen.com/chapters/86319
1970s,Canada,Canada,bw11,best_worst_life,1975,2020,0.006,46,1975,2020,45,-3.4460388529139685,-34.460388529139685,true,https://www.intechopen.com/chapters/86319
1970s,Denmark,Denmark,ls4,life_satisfaction,1973,2021,0.013,49,1973,2021,48,-4.930995918367346,-49.309959183673456,true,https://www.intechopen.com/chapters/86319
1970s,Denmark,Denmark,ls11,life_satisfaction,1975,2018,0.011,44,1975,2018,43,-4.2787357293868915,-42.787357293868915,true,https://www.intechopen.com/chapters/86319
1970s,Finland,Finland,ls11,life_satisfaction,1976,2018,0.011,43,1976,2018,42,-5.12101781938991,-51.2101781938991,true,https://www.intechopen.com/chapters/86319
1970s,France,France,ls4,life_satisfaction,1973,2021,0.017,49,1973,2021,48,-7.976854081632651,-79.7685408163265,true,https://www.intechopen.com/chapters/86319
