cohort,country,measure,start_year,end_year,slope_pre2019,ci_pre2019_raw,slope_with_covid,ci_with_covid_raw,source_url
1940s,France,hl3,1946,1986,0.046,+0.028–+0.065,,,https://www.intechopen.com/chapters/86319
1940s,USA,hl3,1946,2010,0.002,-0.002–+0.006,,,https://www.intechopen.com/chapters/86319
1940s,USA,hl4,1946,2017,0.001,-0.004–+0.006,,,https://www.intechopen.com/chapters/86319
1950s,Japan,ls4,1958,2013,0.004,0.000–+0.008,,,https://www.intechopen.com/chapters/86319
1950s,Philippines,bw11,1959,2020,0.014,-0.004–+0.031,0.013,-0.004–+0.029,https://www.intechopen.com/chapters/86319
1950s,USA,hl3,1952,2010,0.001,-0.003–+0.006,,,https://www.intechopen.com/chapters/86319
1950s,USA,hl4,1952,2017,-0.001,0.008–+0.006,,,https://www.intechopen.com/chapters/86319
1950s,USA,ls10+11,1959,2017,-0.011,-0.021–-0.001,,,https://www.intechopen.com/chapters/86319
1950s,USA,bw11,1955,2021,0.013,+0.009–+0.017,0.012,+0.009–+0.016,https://www.intechopen.com/chapters/86319
1960s,Brazil,bw11,1960,2020,0.028,+0.014–+0.042,0.026,+0.011–+0.040,https://www.intechopen.com/chapters/86319
1960s,Egypt,bw11,1960,2020,-0.029,-0.055–-0.004,-0.029,-0.053–-0.005,https://www.intechopen.com/chapters/86319
1960s,India,bw11,1962,2020,0.009,-0.015–+0.033,0.008,-0.015–+0.030,https://www.intechopen.com/chapters/86319
1960s,Italy,hl3,1965,1986,0.02,-0.003–+0.042,,,https://www.intechopen.com/chapters/86319
1960s,Japan,bw11,1962,2020,0.01,+0.002–+0.018,0.01,+0.002–+0.018,https://www.intechopen.com/chapters/86319
1960s,Japan,ls4,1961,2013,0.001,-0.002–+0.003,,,https://www.intechopen.com/chapters/86319
1960s,Nigeria,bw11,1963,2020,0.002,-0.015–+0.019,0.004,-0.012–+0.020,https://www.intechopen.com/chapters/86319
1960s,Panama,bw11,1962,2019,0.029,+0.008–+0.051,,,https://www.intechopen.com/chapters/86319
1960s,Poland,bw11,1962,2020,0.033,+0.025–+0.041,0.033,+0.025–+0.041,https://www.intechopen.com/chapters/86319
1960s,UK,hl3,1965,1986,-0.031,-0.071–+0.009,,,https://www.intechopen.com/chapters/86319
1960s,USA,hl3,1963,2010,0.005,0.000–+0.010,,,https://www.intechopen.com/chapters/86319
1960s,USA,bw11,1964,2021,0.015,+0.011–+0.019,0.014,+0.010–+0.019,https://www.intechopen.com/chapters/86319
1970s,Belgium,ls4,1973,2021,-0.003,-0.010–+0.004,-0.003,-0.009–+0.004,https://www.intechopen.com/chapters/86319
1970s,Belgium,ls11,1975,2018,-0.004,-0.014–+0.006,,,https://www.intechopen.com/chapters/86319
1970s,Brazil,bw11,1975,2020,0.009,-0.009–+0.027,0.006,-0.013–+0.024,https://www.intechopen.com/chapters/86319
1970s,Canada,bw11,1975,2020,0.006,-0.004–+0.017,0.004,-0.006–+0.015,https://www.intechopen.com/chapters/86319
1970s,Denmark,ls4,1973,2021,0.013,+0.010–+0.016,0.013,+0.010–+0.016,https://www.intechopen.com/chapters/86319
1970s,Denmark,ls11,1975,2018,0.011,-0.002–+0.025,,,https://www.intechopen.com/chapters/86319
1970s,Finland,ls11,1976,2018,0.011,+0.007–+0.015,,,https://www.intechopen.com/chapters/86319
1970s,France,ls4,1973,2021,0.017,+0.013–+0.020,0.017,+0.013–+0.020,https://www.intechopen.com/chapters/86319
1970s,France,ls11,1975,2018,0.014,-0.005–+0.034,,,https://www.intechopen.com/chapters/86319
1970s,France,bw11,1975,2020,0.015,+0.002–+0.029,0.015,+0.002–+0.028,https://www.intechopen.com/chapters/86319
1970s,India,bw11,1975,2020,-0.001,-0.037–+0.036,-0.037,-0.037–+0.032,https://www.intechopen.com/chapters/86319
1970s,Ireland,ls4,1973,2021,0.007,+0.001–+0.014,0.006,0.000–+0.012,https://www.intechopen.com/chapters/86319
1970s,Ireland,ls11,1975,2018,-0.012,-0.036–+0.012,,,https://www.intechopen.com/chapters/86319
1970s,Italy,ls11,1975,2018,0.013,+0.001–+0.025,,,https://www.intechopen.com/chapters/86319
1970s,Italy,ls4,1973,2021,0.003,-0.004–+0.010,0.002,-0.004–+0.009,https://www.intechopen.com/chapters/86319
1970s,Italy,bw11,1975,2020,0.008,-0.011–+0.027,0.009,-0.009–+0.027,https://www.intechopen.com/chapters/86319
1970s,Japan,bw11,1975,2020,0.001,-0.010–+0.012,0.002,-0.008–+0.012,https://www.intechopen.com/chapters/86319
1970s,Japan,ls4,1970,2013,0.012,0.000–+0.024,,,https://www.intechopen.com/chapters/86319
1970s,Japan,ls5,1978,2005,-0.002,-0.013–+0.026,,,https://www.intechopen.com/chapters/86319
1970s,Japan,ls10+11,1975,2019,0.012,0.000–+0.024,,,https://www.intechopen.com/chapters/86319
1970s,Luxembourg,ls4,1973,2021,0.007,+0.003–+0.010,0.004,0.000–+0.008,https://www.intechopen.com/chapters/86319
1970s,Luxembourg,hl3,1975,2008,-0.001,-0.018–+0.016,,,https://www.intechopen.com/chapters/86319
1970s,Luxembourg,ls10+11,1975,2018,0.003,-0.006–+0.011,,,https://www.intechopen.com/chapters/86319
1970s,Mexico,bw11,1975,2020,0.008,-0.011–+0.027,-0.002,-0.031–+0.026,https://www.intechopen.com/chapters/86319
1970s,Netherlands,ls4,1973,2021,0.01,+0.007–+0.014,0.01,+0.007–+0.013,https://www.intechopen.com/chapters/86319
1970s,Netherlands,ls5,1974,2012,0,-0.010–+0.010,,,https://www.intechopen.com/chapters/86319
1970s,Netherlands,ls11,1974,2018,0.004,-0.004–+0.012,,,https://www.intechopen.com/chapters/86319
1970s,Netherlands,hl5,1977,2019,-0.01,-0.015–-0.004,,,https://www.intechopen.com/chapters/86319
1970s,Switzerland,ls11,1976,2018,0.001,-0.006–+0.007,,,https://www.intechopen.com/chapters/86319
1970s,UK,ls11,1971,2018,-0.006,-0.012–0.000,,,https://www.intechopen.com/chapters/86319
1970s,UK,ls4,1973,2020,0.014,+0.010–+0.017,0.013,+0.010–+0.016,https://www.intechopen.com/chapters/86319
1970s,USA,hl3,1970,2010,0.007,+0.001–+0.013,,,https://www.intechopen.com/chapters/86319
1970s,USA,hl4,1974,2017,0.003,-0.010–+0.016,,,https://www.intechopen.com/chapters/86319
1970s,USA,ls10+11,1974,2017,-0.013,-0.025–0.000,,,https://www.intechopen.com/chapters/86319
1970s,USA,bw11,1971,2021,0.017,+0.013–+0.021,0.016,+0.013–+0.020,https://www.intechopen.com/chapters/86319
1980s,Belgium,ls4,1980,2021,0.008,+0.001–+0.015,0.007,0.000–+0.014,https://www.intechopen.com/chapters/86319
1980s,Belgium,ls11,1981,2018,-0.001,-0.013–+0.012,,,https://www.intechopen.com/chapters/86319
1980s,Denmark,ls4,1980,2021,0.014,+0.011–+0.017,0.011,+0.008–+0.015,https://www.intechopen.com/chapters/86319
1980s,Denmark,ls11,1983,2018,0.022,+0.004–+0.040,,,https://www.intechopen.com/chapters/86319
1980s,France,ls4,1980,2021,0.019,+0.015–+0.024,0.019,+0.015–+0.023,https://www.intechopen.com/chapters/86319
1980s,France,ls11,1983,2018,0.033,+0.013–+0.052,,,https://www.intechopen.com/chapters/86319
1980s,Canada,ls10,1982,2020,0.003,-0.018–+0.023,-0.015,-0.041–+0.012,https://www.intechopen.com/chapters/86319
1980s,Greece,ls4,1981,2021,-0.032,-0.044–-0.020,-0.026,-0.038–-0.014,https://www.intechopen.com/chapters/86319
1980s,Ireland,ls4,1980,2021,0.015,+0.008–+0.022,0.012,+0.006–+0.019,https://www.intechopen.com/chapters/86319
1980s,Ireland,ls11,1980,2018,0.003,-0.030–+0.036,,,https://www.intechopen.com/chapters/86319
