concept_family,scale_steps,variable_code,nation_label,since_year,series_rule,source_url
"happiness","3","M-hl3_fr","France","1947",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","3","M-hl3_it","Italy","1965",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","3","M-hl3_lu","Luxembourg","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","3","M-hl3_uk","United Kingdom","1948",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","3","M-hl3_us","United States","1947",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","3","M-hl3a_us","United States","1957",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","3","M-hl3d_us","United States","1975",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4_mx","Mexico","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4_no","Norway","1981",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4_pl","Poland","1990",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4_ro","Romania","1990",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4_ru","Russia","1989",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4_si","Slovenia","1991",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4_se","Sweden","1982",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","4","M-hl4-_us","United States","1946",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","5","M-hl5_nl","Netherlands","1977",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"happiness","5","M-hl5_za","South Africa","1983",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","2","M-ls2_us","United States","1979",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_ar","Argentina","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_at","Austria","1995",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_be","Belgium","1973",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_bg","Bulgaria","2001",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_bo","Bolivia","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_br","Brazil","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_cl","Chile","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_co","Colombia","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
"life_satisfaction","4","M-ls4_cr","Costa Rica","1997",">=20 years and >=10 comparable data points","https://worlddatabaseofhappiness.eur.nl/related-sources/data-set-trends-in-nations/variables-in-data-file-trends-in-nations/data-on-trend-average-happiness-in-nations/"
