analysis,dropped_donor,effect
post_2010_only,,0.2252380952380948
post_2010_2011,,0.22666666666666657
post_2010_2012,,0.2811904761904763
pre_2004_2005_post_2010_2012,,0.27023809523809506
leave_one_donor_out_post_2010_2012,Belgium,0.2855555555555564
leave_one_donor_out_post_2010_2012,Denmark,0.33388888888888957
leave_one_donor_out_post_2010_2012,France,0.3038888888888896
leave_one_donor_out_post_2010_2012,Italy,0.217222222222223
leave_one_donor_out_post_2010_2012,Ireland,0.22972222222222322
leave_one_donor_out_post_2010_2012,Luxembourg,0.26694444444444476
leave_one_donor_out_post_2010_2012,Netherlands,0.3311111111111108

placebo_country,placebo_effect
Belgium,-0.010238095238094935
Denmark,0.3211904761904758
France,0.11547619047619051
Italy,-0.478809523809524
Ireland,-0.3930952380952384
Luxembourg,-0.13785714285714273
Netherlands,0.3021428571428561
