entity,code,first_year,last_year,n_observations
Australia,AUS,1870,2023,81
Belgium,BEL,1870,2023,81
Canada,CAN,1870,2023,81
Denmark,DNK,1870,2023,81
France,FRA,1870,2023,81
Germany,DEU,1870,2023,81
Ireland,IRL,1870,2023,81
Italy,ITA,1870,2023,81
Netherlands,NLD,1870,2023,80
Spain,ESP,1870,2023,81
Sweden,SWE,1870,2023,81
Switzerland,CHE,1870,2023,81
United Kingdom,GBR,1870,2023,81
United States,USA,1870,2023,81
Austria,AUT,1950,2023,74
Brazil,BRA,1950,2023,74
Colombia,COL,1950,2023,74
Finland,FIN,1950,2023,74
Japan,JPN,1950,2023,74
Mexico,MEX,1950,2023,74
Norway,NOR,1950,2023,74
Peru,PER,1950,2023,74
Portugal,PRT,1950,2023,74
Venezuela,VEN,1950,2014,65
Chile,CHL,1951,2023,73
Greece,GRC,1951,2023,73
Taiwan,TWN,1951,2023,72
China,CHN,1952,2023,72
South Korea,KOR,1953,2023,71
Hong Kong,HKG,1960,2023,64
Singapore,SGP,1960,2023,64
Iceland,ISL,1964,2023,60
Bangladesh,BGD,1970,2023,54
Cambodia,KHM,1970,2023,54
India,IND,1970,2023,54
Indonesia,IDN,1970,2023,54
Luxembourg,LUX,1970,2023,54
Malaysia,MYS,1970,2023,54
Myanmar,MMR,1970,2023,54
New Zealand,NZL,1970,2023,54
Pakistan,PAK,1970,2023,54
Philippines,PHL,1970,2023,54
Sri Lanka,LKA,1970,2023,54
Thailand,THA,1970,2023,54
Turkey,TUR,1970,2023,54
Argentina,ARG,1972,2023,52
Hungary,HUN,1980,2023,44
Israel,ISR,1981,2023,43
Vietnam,VNM,1983,2023,41
Jamaica,JAM,1986,2023,38
Costa Rica,CRI,1987,2023,37
Dominican Republic,DOM,1990,2023,34
Slovakia,SVK,1990,2023,34
Uruguay,URY,1990,2023,34
Trinidad and Tobago,TTO,1991,2023,33
Russia,RUS,1992,2023,32
Czechia,CZE,1993,2023,31
Malta,MLT,1994,2023,30
Bulgaria,BGR,1995,2023,29
Croatia,HRV,1995,2023,29
Cyprus,CYP,1995,2023,29
Ecuador,ECU,1995,2023,29
Estonia,EST,1995,2023,29
Latvia,LVA,1995,2023,29
Lithuania,LTU,1995,2023,29
Poland,POL,1995,2023,29
Romania,ROU,1995,2023,29
Slovenia,SVN,1995,2023,29
South Africa,ZAF,2001,2023,22
Albania,ALB,2005,2023,19
Algeria,DZA,2005,2023,19
Angola,AGO,2005,2023,19
Armenia,ARM,2005,2023,19
Azerbaijan,AZE,2005,2023,19
Bahrain,BHR,2005,2023,19
Belarus,BLR,2005,2023,19
Bolivia,BOL,2005,2023,19
Bosnia and Herzegovina,BIH,2005,2023,19
Botswana,BWA,2005,2023,19
Burkina Faso,BFA,2005,2023,19
Cameroon,CMR,2005,2023,19
Chad,TCD,2005,2023,19
Congo,COG,2005,2023,19
Cote d'Ivoire,CIV,2005,2023,19
Democratic Republic of Congo,COD,2005,2023,19
Egypt,EGY,2005,2023,19
Ethiopia,ETH,2005,2023,19
Gabon,GAB,2005,2023,19
Georgia,GEO,2005,2023,19
Ghana,GHA,2005,2023,19
Guatemala,GTM,2005,2023,19
Iran,IRN,2005,2023,19
Iraq,IRQ,2005,2023,19
Jordan,JOR,2005,2023,19
Kazakhstan,KAZ,2005,2023,19
Kenya,KEN,2005,2023,19
Kuwait,KWT,2005,2023,19
Kyrgyzstan,KGZ,2005,2023,17
Lebanon,LBN,2005,2023,19
Madagascar,MDG,2005,2023,19
Malawi,MWI,2005,2023,19
Mali,MLI,2005,2023,19
Mauritius,MUS,2005,2023,19
Moldova,MDA,2005,2023,19
Morocco,MAR,2005,2023,19
Mozambique,MOZ,2005,2023,19
Namibia,NAM,2005,2023,19
Niger,NER,2005,2023,19
Nigeria,NGA,2005,2023,19
North Macedonia,MKD,2005,2023,19
Oman,OMN,2005,2023,19
Paraguay,PRY,2005,2023,19
Qatar,QAT,2005,2023,19
Rwanda,RWA,2005,2023,19
Saudi Arabia,SAU,2005,2023,19
Senegal,SEN,2005,2023,19
Serbia,SRB,2005,2023,19
Sudan,SDN,2005,2023,18
Syria,SYR,2005,2023,16
Tajikistan,TJK,2005,2023,19
Tanzania,TZA,2005,2023,19
Tunisia,TUN,2005,2023,19
Turkmenistan,TKM,2005,2023,19
Uganda,UGA,2005,2023,19
Ukraine,UKR,2005,2023,19
United Arab Emirates,ARE,2005,2023,19
Uzbekistan,UZB,2005,2023,19
Yemen,YEM,2005,2023,19
Zambia,ZMB,2005,2023,19
Zimbabwe,ZWE,2005,2023,19
