economy,economy_code,whr_country,ew_year,previous_ew_year,leave_avg_previous,leave_avg_current,leave_avg_delta,leave_1y_delta,leave_5y_delta,leave_10y_delta,coverage_hint_year_not_treatment,n_pre_hint,n_post_hint,whr_coverage_pass_hint,already_registered,registered_event_ids,legal_verification_required
Estonia,EST,Estonia,2009,2008,0.0,24.0,24.0,24.0,24.0,24.0,2009,3,4,True,False,,True
Bangladesh Dhaka,BGD,Bangladesh,2008,2007,14.0,17.0,3.0,3.0,3.0,3.0,2008,2,5,True,False,,True
Uganda,UGA,Uganda,2008,2007,18.0,21.0,3.0,3.0,3.0,3.0,2008,2,5,True,False,,True
Saudi Arabia,SAU,Saudi Arabia,2010,2009,20.666666666666668,23.3333333333333,2.6666666666666323,0.0,8.0,0.0,2010,3,5,True,False,,True
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2017,2016,18.0,20.0,2.0,2.0,2.0,2.0,2017,4,5,True,False,,True
Iraq,IRQ,Iraq,2017,2016,22.0,23.0,1.0,1.0,1.0,1.0,2017,4,4,True,False,,True
Montenegro,MNE,Montenegro,2010,2009,18.0,19.0,1.0,1.0,1.0,1.0,2010,2,5,True,False,,True
Slovenia,SVN,Slovenia,2015,2014,21.0,22.0,1.0,0.0,1.0,2.0,2015,4,5,True,False,,True
Montenegro,MNE,Montenegro,2015,2014,21.0,20.6666666666667,-0.3333333333333002,-1.0,0.0,0.0,2015,4,5,True,False,,True
Ecuador,ECU,Ecuador,2013,2012,12.333333333333334,12.0,-0.3333333333333339,0.0,-1.0,0.0,2013,4,5,True,False,,True
Tajikistan,TJK,Tajikistan,2015,2014,21.0,18.0,-3.0,-3.0,-3.0,-3.0,2015,4,5,True,False,,True
Bahrain,BHR,Bahrain,2014,2013,18.333333333333332,30.0,11.666666666666668,15.0,10.0,10.0,2014,4,4,True,True,BHR_EW2014,True
Kuwait,KWT,Kuwait,2011,2010,18.666666666666668,30.0,11.333333333333332,16.0,9.0,9.0,2011,2,5,True,True,KWT_EW2011,True
China Beijing,CHN_Beij,China,2009,2008,0.0,6.66666666666667,6.66666666666667,5.0,5.0,10.0,2009,3,5,True,True,CHN_EW2009,True
China Shanghai,CHN,China,2009,2008,0.0,6.66666666666667,6.66666666666667,5.0,5.0,10.0,2009,3,5,True,True,CHN_EW2009,True
Kosovo,KSV,Kosovo,2012,2011,16.0,21.0,5.0,8.0,3.0,4.0,2012,4,5,True,True,XKX_EW2012,True
Kazakhstan,KAZ,Kazakhstan,2008,2007,14.0,18.0,4.0,4.0,4.0,4.0,2008,2,5,True,True,KAZ_EW2009,True
Canada,CAN,Canada,2019,2018,10.0,13.3333333333333,3.3333333333333,0.0,5.0,5.0,2019,4,4,True,True,CAN_EW2019,True
Croatia,HRV,Croatia,2011,2010,18.0,20.0,2.0,2.0,2.0,2.0,2011,3,5,True,True,HRV_EW2011,True
Malta,MLT,Malta,2020,2019,24.0,26.0,2.0,2.0,2.0,2.0,2019,4,4,True,True,MLT_EW2020,True
Montenegro,MNE,Montenegro,2013,2012,19.0,21.0,2.0,2.0,2.0,2.0,2013,4,5,True,True,MNE_EW2013,True
North Macedonia,MKD,North Macedonia,2010,2009,18.0,20.0,2.0,2.0,2.0,2.0,2010,2,5,True,True,MKD_EW2010,True
Luxembourg,LUX,Luxembourg,2020,2019,25.0,26.0,1.0,1.0,1.0,1.0,2019,4,2,True,True,LUX_EW2020,True
Liberia,LBR,Liberia,2017,2016,16.0,16.5,0.5,5.5,-2.0,-2.0,2017,3,3,True,True,LBR_EW2017,True
Lithuania,LTU,Lithuania,2019,2018,20.6666666666667,21.0,0.3333333333333002,0.0,0.0,1.0,2019,4,4,True,True,LTU_EW2019,True
India Mumbai,IND,India,2019,2018,21.0,18.0,-3.0,-3.0,-3.0,-3.0,2019,4,4,True,True,IND_EW2019,True
Kiribati,KIR,,2018,2017,0.0,30.0,30.0,30.0,30.0,30.0,2018,0,0,False,False,,True
Brunei Darussalam,BRN,,2011,2010,0.0,11.6666666666667,11.6666666666667,7.0,14.0,14.0,2011,0,0,False,False,,True
Libya,LBY,Libya,2010,2009,21.333333333333332,30.0,8.666666666666668,14.0,6.0,6.0,2010,0,1,False,False,,True
Syrian Arab Republic,SYR,,2011,2010,16.3333333333333,21.666666666666668,5.333333333333368,0.0,7.0,9.0,2011,0,0,False,False,,True
Albania,ALB,Albania,2005,2004,15.0,20.0,5.0,5.0,5.0,5.0,2005,0,2,False,False,,True
Vanuatu,VUT,,2011,2010,12.0,17.0,5.0,3.0,3.0,9.0,2011,0,0,False,False,,True
Eswatini,SWZ,Eswatini,2017,2016,11.0,15.0,4.0,1.0,4.0,7.0,2017,0,2,False,False,,True
Bangladesh Chittagong,BGD_Chit,,2008,2007,14.0,17.0,3.0,3.0,3.0,3.0,2008,0,0,False,False,,True
Mauritius,MUS,Mauritius,2005,2004,14.0,17.0,3.0,3.0,3.0,3.0,2005,0,0,False,False,,True
Serbia,SRB,Serbia,2007,2006,18.0,20.0,2.0,2.0,2.0,2.0,2007,0,4,False,False,,True
"Taiwan, China",TWN,,2018,2017,12.0,12.6666666666667,0.6666666666666998,0.0,1.0,1.0,2018,0,0,False,False,,True
South Sudan,SSD,South Sudan,2019,2018,23.3333333333333,23.6666666666667,0.33333333333339965,1.0,0.0,0.0,2019,3,0,False,False,,True
St. Lucia,LCA,,2014,2013,21.0,18.6666666666667,-2.3333333333333,-7.0,0.0,0.0,2014,0,0,False,False,,True
Puerto Rico,PRI,,2018,2017,15.0,11.0,-4.0,-6.0,-3.0,-3.0,2018,0,0,False,False,,True
Sierra Leone,SLE,Sierra Leone,2006,2005,29.333333333333332,23.0,-6.333333333333332,-2.0,-9.0,-8.0,2006,0,4,False,False,,True
Cabo Verde,CPV,,2009,2008,30.0,22.0,-8.0,-8.0,-8.0,-8.0,2009,0,0,False,False,,True
Oman,OMN,Oman,2013,2012,18.333333333333332,22.0,3.666666666666668,11.0,0.0,0.0,2013,1,0,False,True,OMN_EW2013,True
Namibia,NAM,Namibia,2010,2009,19.0,20.0,1.0,1.0,1.0,1.0,2010,1,1,False,True,NAM_EW2010,True
