economy,economy_code,whr_country,ew_year,previous_ew_year,leave_avg_previous,leave_avg_current,leave_avg_delta,leave_1y_delta,leave_5y_delta,leave_10y_delta,coverage_hint_year_not_treatment,n_pre_hint,n_post_hint,whr_coverage_pass_hint,already_registered,registered_event_ids,legal_verification_required
Estonia,EST,Estonia,2009,2008,0.0,24.0,24.0,24.0,24.0,24.0,2009,3,4,True,False,,True
Tajikistan,TJK,Tajikistan,2015,2014,21.0,18.0,-3.0,-3.0,-3.0,-3.0,2015,4,5,True,False,,True
Bangladesh Dhaka,BGD,Bangladesh,2008,2007,14.0,17.0,3.0,3.0,3.0,3.0,2008,2,5,True,False,,True
Uganda,UGA,Uganda,2008,2007,18.0,21.0,3.0,3.0,3.0,3.0,2008,2,5,True,False,,True
Saudi Arabia,SAU,Saudi Arabia,2010,2009,20.666666666666668,23.3333333333333,2.6666666666666323,0.0,8.0,0.0,2010,3,5,True,False,,True
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,2017,2016,18.0,20.0,2.0,2.0,2.0,2.0,2017,4,5,True,False,,True
Slovenia,SVN,Slovenia,2015,2014,21.0,22.0,1.0,0.0,1.0,2.0,2015,4,5,True,False,,True
Iraq,IRQ,Iraq,2017,2016,22.0,23.0,1.0,1.0,1.0,1.0,2017,4,4,True,False,,True
Montenegro,MNE,Montenegro,2010,2009,18.0,19.0,1.0,1.0,1.0,1.0,2010,2,5,True,False,,True
Ecuador,ECU,Ecuador,2013,2012,12.333333333333334,12.0,-0.3333333333333339,0.0,-1.0,0.0,2013,4,5,True,False,,True
Montenegro,MNE,Montenegro,2015,2014,21.0,20.6666666666667,-0.3333333333333002,-1.0,0.0,0.0,2015,4,5,True,False,,True
