event_id,country,ew_report_year,direction,effective_date,effective_year,date_quality,official_reform_source,exact_date_source,notes,wb_economy,wb_current_year,wb_previous_year,leave_1y_previous,leave_1y_current,leave_5y_previous,leave_5y_current,leave_10y_previous,leave_10y_current,leave_avg_previous,leave_avg_current,leave_avg_delta,panel_change_detected,panel_direction_match,pilot0_structural_pass,legal_timing_coverage_pass,event_tier,primary_pool,freeze_eligible,macro_window_flags,scope_flags,panel_note,whr_country,legal_effective_year,transition_year_excluded,candidate_treatment_year,n_pre,n_post,pilot0_coverage_pass,confirmatory_timing_pass
BHR_EW2014,Bahrain,2014,increase,2012-09-02,2012.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://natlex.ilo.org/dyn/natlex2/r/natlex/fe/details?p3_isn=91026,Law No. 36 of 2012 entered into force 2012-09-02; annual paid leave increased,Bahrain,2014,2013,15.0,30.0,20.0,30.0,20.0,30.0,18.333333333333332,30.0,11.666666666666668,True,True,True,True,A_corroborated,True,True,,,,Bahrain,2012,2012.0,2013,4,5,True,True
CAN_EW2019,Canada,2019,increase,2019-09-01,2019.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://www.laws.justice.gc.ca/eng/acts/L-2/section-184-20190901.html,Federal jurisdiction; 3 weeks threshold moved to 5 years and 4 weeks after 10 years,Canada,2019,2018,10.0,10.0,10.0,15.0,10.0,15.0,10.0,13.3333333333333,3.3333333333333,True,True,True,True,A_corroborated,True,True,covid_overlap_post_window,federal_jurisdiction_only,,Canada,2019,2019.0,2020,4,3,True,True
CHN_EW2009,China,2009,introduced,2008-01-01,2008.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://natlex.ilo.org/dyn/natlex2/r/natlex/fe/details?p3_isn=81509,State Council Order No.514 established paid annual leave,China Shanghai,2009,2008,0.0,5.0,0.0,5.0,0.0,10.0,0.0,6.66666666666667,6.66666666666667,True,True,True,True,A_corroborated,True,True,global_financial_crisis_window,,,China,2008,,2008,2,5,True,True
HRV_EW2011,Croatia,2011,increase,2010-01-01,2010.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://narodne-novine.nn.hr/clanci/sluzbeni/2009_12_149_3635.html,2009 Labour Act minimum annual leave four weeks; effective 2010-01-01,Croatia,2011,2010,18.0,20.0,18.0,20.0,18.0,20.0,18.0,20.0,2.0,True,True,True,True,A_corroborated,True,True,global_financial_crisis_window,,,Croatia,2010,,2010,2,5,True,True
XKX_EW2012,Kosovo,2012,increase,2010-12-16,2010.0,verified_derived,https://www.worldbank.org/en/research/employing-workers/reforms,https://old.kuvendikosoves.org/common/docs/ligjet/2010-212-eng.pdf,Law 03/L-212 dated 2010-11-01 enters 15 days after Official Gazette publication; Gazette publication 2010-12-01,Kosovo,2012,2011,12.0,20.0,18.0,21.0,18.0,22.0,16.0,21.0,5.0,True,True,True,True,A_corroborated,True,True,,,,Kosovo,2010,2010.0,2011,4,5,True,True
KWT_EW2011,Kuwait,2011,increase,2010-02-21,2010.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://natlex.ilo.org/dyn/natlex2/r/natlex/fe/details?p3_isn=83616,Law No. 6/2010 entered into force 2010-02-21 and includes annual paid leave,Kuwait,2011,2010,14.0,30.0,21.0,30.0,21.0,30.0,18.666666666666668,30.0,11.333333333333332,True,True,True,True,A_corroborated,True,True,,,,Kuwait,2010,2010.0,2011,2,5,True,True
LTU_EW2019,Lithuania,2019,changed_unspecified,2017-07-01,2017.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://e-seimas.lrs.lt/rs/legalact/TAD/6eea48d294ea11eea70ce7cabd08f150/,New Labour Code entered into force 2017-07-01; WB panel later records a small tenure-profile change,Lithuania,2019,2018,20.0,20.0,20.0,20.0,22.0,23.0,20.6666666666667,21.0,0.3333333333333002,True,True,True,True,A_corroborated,False,True,,broad_labour_code_package,,Lithuania,2017,2017.0,2018,4,5,True,True
LUX_EW2020,Luxembourg,2020,increase,2019-01-01,2019.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://itm.public.lu/fr/questions-reponses/droit-travail/conges/a/a1.html,Minimum statutory paid annual leave increased 25 to 26 days from 2019-01-01,Luxembourg,2020,2019,25.0,26.0,25.0,26.0,25.0,26.0,25.0,26.0,1.0,True,True,True,True,A_corroborated,True,True,covid_overlap_post_window,,,Luxembourg,2019,,2019,4,2,True,True
TWN_EW2018,"Taiwan, China",2018,increase,2017-01-01,2017.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://laws.mol.gov.tw/Eng/FLAWDAT0201.aspx?id=FL014930,Article 38 amendment effective 2017-01-01,"Taiwan, China",2018,2017,7.0,7.0,14.0,15.0,15.0,16.0,12.0,12.6666666666667,0.6666666666666998,True,True,True,True,A_corroborated,True,True,,,,Taiwan Province of China,2017,,2017,4,5,True,True
GBR_STAGE1,United Kingdom,2009,increase,2007-10-01,2007.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/389676/bis-14-1287-the-impact-of-the-working-time-regulations-on-the-UK-labour-market-a-review-of-evidence.pdf,Minimum annual leave 4.0 to 4.8 weeks,United Kingdom,2009,2008,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,False,False,False,True,B_legal_only,False,True,global_financial_crisis_window,multi_stage_reform,,United Kingdom,2007,2007.0,2008,2,5,True,True
GBR_STAGE2,United Kingdom,2010,increase,2009-04-01,2009.0,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/389676/bis-14-1287-the-impact-of-the-working-time-regulations-on-the-UK-labour-market-a-review-of-evidence.pdf,Minimum annual leave 4.8 to 5.6 weeks,United Kingdom,2010,2009,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,False,False,False,True,B_legal_only,False,True,global_financial_crisis_window,multi_stage_reform,,United Kingdom,2009,2009.0,2010,3,5,True,True
