event_id,country,ew_report_year,direction,effective_date,effective_year,date_quality,official_reform_source,exact_date_source,notes
AUS_EW2011,Australia,2011,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says annual leave increased
BHR_EW2014,Bahrain,2014,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave increased
BTN_EW2011,Bhutan,2011,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave established
BRN_EW2011,Brunei Darussalam,2011,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory minimum annual leave instituted
CPV_EW2009,Cabo Verde,2009,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave increased
CAN_EW2019,Canada,2019,increase,2019-09-01,2019,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://www.laws.justice.gc.ca/eng/acts/L-2/section-184-20190901.html,Federal jurisdiction; 3 weeks threshold moved to 5 years and 4 weeks after 10 years
CHN_EW2009,China,2009,introduced,2008-01-01,2008,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://natlex.ilo.org/dyn/natlex2/r/natlex/fe/details?p3_isn=81509,State Council Order No.514 established paid annual leave
HRV_EW2011,Croatia,2011,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased
IND_EW2019,India,2019,changed_unspecified,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,Mumbai regulation changed; direction must be recovered before inclusion
KAZ_EW2009,Kazakhstan,2009,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave increased
KIR_EW2018,Kiribati,2018,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says annual paid leave introduced
XKX_EW2012,Kosovo,2012,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says annual leave days increased
KWT_EW2011,Kuwait,2011,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave days increased
LBR_EW2017,Liberia,2017,introduced,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave entitlement introduced
LTU_EW2019,Lithuania,2019,changed_unspecified,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,Direction must be recovered from panel/law
LUX_EW2020,Luxembourg,2020,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,2018/2019 working-hours reform summary says paid annual leave increased
MDV_EW2010,Maldives,2010,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased
MLT_EW2020,Malta,2020,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,2018/2019 working-hours reform summary says paid annual leave increased
MUS_EW2010,Mauritius,2010,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased
MNE_EW2013,Montenegro,2013,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says paid annual leave increased
NAM_EW2010,Namibia,2010,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased
MKD_EW2010,North Macedonia,2010,decrease,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,Then FYR Macedonia; mandatory paid annual leave reduced
OMN_EW2013,Oman,2013,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,Increase applied to employees with one year of service
PER_EW2010,Peru,2010,decrease,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave decreased
PRI_EW2018,Puerto Rico,2018,decrease,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave decreased
TWN_EW2018,Taiwan, China,2018,increase,2017-01-01,2017,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://laws.mol.gov.tw/Eng/FLAWDAT0201.aspx?id=FL014930,Article 38 amendment effective 2017-01-01
GBR_STAGE1,United Kingdom,2009,increase,2007-10-01,2007,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/389676/bis-14-1287-the-impact-of-the-working-time-regulations-on-the-UK-labour-market-a-review-of-evidence.pdf,Minimum annual leave 4.0 to 4.8 weeks
GBR_STAGE2,United Kingdom,2010,increase,2009-04-01,2009,verified,https://www.worldbank.org/en/research/employing-workers/reforms,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/389676/bis-14-1287-the-impact-of-the-working-time-regulations-on-the-UK-labour-market-a-review-of-evidence.pdf,Minimum annual leave 4.8 to 5.6 weeks
VUT_EW2011,Vanuatu,2011,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory annual leave increased
ZMB_EW2008,Zambia,2008,increase,,,provisional,https://www.worldbank.org/en/research/employing-workers/reforms,,World Bank says mandatory paid annual leave increased
