openalex_type,query_doi,candidate_count,openalex_id,rw_earliest_publication_date,openalex_publication_date,rw_journals,openalex_title,adjudication,note
erratum,10.1016/j.ifset.2020.102319,1,https://openalex.org/W3009462018,2020-03-05,2020-03-01,Innovative Food Science & Emerging Technologies,"RETRACTED: Corrigendum to “Extruded meat analogues based on yellow, heterotrophically cultivated Auxenochlorella protothecoides microalgae” [Innovative Food Science and Emerging Technologies 59 (2020) 102275]",,
erratum,10.1136/bjo.2006.112128,1,https://openalex.org/W2149598357,2008-09-23,2008-09-23,British Journal of Ophthalmology,Correction,,
erratum,10.1111/tbed.13990,1,https://openalex.org/W4206554684,2021-05-26,2021-05-01,Transboundary and Emerging Diseases,Retracted: Corrigendum,,
erratum,10.1177/0886109917743445,1,https://openalex.org/W4245335400,2017-07-14,2017-11-30,Affilia,Correction Notice,,
erratum,10.3389/fonc.2021.670798,1,https://openalex.org/W4205839678,2021-04-06,2021-04-06,Frontiers in Oncology,RETRACTED: Corrigendum: Combination of Tanshinone IIA and Cisplatin Inhibits Esophageal Cancer by Downregulating NF-κB/COX-2/VEGF Pathway,,
erratum,10.1016/j.lfs.2022.120407,1,https://openalex.org/W4212763204,2022-03-03,2022-02-17,Life Sciences,RETRACTED: Corrigendum to “Smooth muscle 22 alpha maintains the differentiated phenotype of vascular smooth muscle cells by inducing filamentous actin bundling” [Life Sci. 84 (2009) 394–401],,
erratum,10.1021/bi3011829,1,https://openalex.org/W2324693182,2012-12-18,2012-10-22,Biochemistry,Correction to Structural Evidence of a Productive Active Site Architecture for an Evolved Quorum-quenching GKL Lactonase,,
erratum,10.1108/00022660910926908,1,https://openalex.org/W4252862619,2009-01-01,2009-01-17,Aircraft Engineering and Aerospace Technology,Erratum,,
erratum,10.1161/01.cir.0000159206.04070.21,1,https://openalex.org/W4247789287,2003-10-28,2005-02-28,Circulation,Correction,,
erratum,10.3944/aott.2011.2543err1,1,https://openalex.org/W1710514309,2011-01-01,2012-01-19,Acta Orthopaedica et Traumatologica Turcica,Erratum to: Osteoporotic hip fracture costs in the elderly Turkish population,,
erratum,10.1016/j.carbpol.2018.03.090,1,https://openalex.org/W2795261852,2018-04-06,2018-04-01,Carbohydrate Polymers,RETRACTED: Corrigendum to “High performance polymeric flocculants based on modified polysaccharides—Microwave assisted synthesis” [Carbohydr. Polym. 87 (2012) 336–342],,
erratum,10.1016/j.ahj.2014.11.001,1,https://openalex.org/W4256368048,2014-12-09,2014-12-08,American Heart Journal,REMOVED: “Erratum to: Intraaortic balloon counterpulsation in acute myocardial infarction complicated by cardiogenic shock: Design and rationale of the Intraaortic Balloon Pump in Cardiogenic Shock II (IABP-SHOCK II) trial”,,
erratum,10.1016/j.spmi.2020.106696,1,https://openalex.org/W3095528926,2020-11-03,2020-11-03,Superlattices and Microstructures,Corrigendum to ‘Behaviors of the modified nonlinear Schrödinger system in an inhomogeneous alpha helical protein’[Superlattices and Microstructures 109 (2017) 490–503],,
erratum,10.1016/j.cps.2012.02.009,1,https://openalex.org/W4256492345,2011-11-17,2012-04-01,Clinics in Plastic Surgery,Erratum,,
erratum,10.1007/s10006-003-0487-7,1,https://openalex.org/W2003800488,2003-07-03,2003-07-01,Oral and Maxillofacial Surgery,Erratum to: ZURÜCKGEZOGEN: Belastungsmessungen nach der Miniplattenosteosynthese von Unterkieferwinkelfrakturen,,
erratum,10.1016/j.enpol.2006.10.012,1,https://openalex.org/W1985606067,2007-01-22,2007-01-01,Energy Policy,REMOVED: Corrigendum to “The potential contribution of renewable energy to electricity supply in Saudi Arabia” [Energy Policy 33 (2005) 2298–2312],,
