reason_a,reason_b,n,jaccard,lift
Investigation by Journal/Publisher,Unreliable Results and/or Conclusions,18628,0.5541573702216273,1.8773611162065624
Investigation by Journal/Publisher,Investigation by Third Party,15646,0.48620261031696704,1.9736655873379931
Concerns/Issues about Referencing/Attributions,Investigation by Journal/Publisher,13916,0.4430718288334182,2.0472877463484407
Investigation by Third Party,Unreliable Results and/or Conclusions,13254,0.5046259280411194,2.304150492978054
Concerns/Issues about Referencing/Attributions,Unreliable Results and/or Conclusions,12580,0.5147931415476531,2.5505787672868774
Concerns/Issues about Peer Review,Investigation by Journal/Publisher,11183,0.3663074453798028,2.1648026603501305
Concerns/Issues about Data,Investigation by Journal/Publisher,11024,0.3281538369947014,1.7016542209094134
Concerns/Issues about Data,Unreliable Results and/or Conclusions,10660,0.41557834002572996,2.267686148827252
Investigation by Third Party,Paper Mill,10499,0.559528885099126,3.423507367132724
Concerns/Issues about Peer Review,Unreliable Results and/or Conclusions,10386,0.45119249315782617,2.7707793242833008
Investigation by Journal/Publisher,Paper Mill,10345,0.32693887870551797,1.9555617788667632
Concerns/Issues about Data,Investigation by Third Party,10178,0.46868668263031865,2.710047125022166
Concerns/Issues about Referencing/Attributions,Investigation by Third Party,10142,0.45159853949594797,2.573773700231987
Concerns/Issues about Peer Review,Concerns/Issues about Referencing/Attributions,10103,0.6166758224989318,3.934475548683139
Compromised Peer Review,Investigation by Journal/Publisher,10040,0.31945018931560026,1.9857314737590195
Paper Mill,Unreliable Results and/or Conclusions,9493,0.3924835655517427,2.4730799599467077
Computer-Aided Content or Computer-Generated Content,Investigation by Journal/Publisher,9015,0.29482944696994473,2.1422085322666082
Concerns/Issues about Data,Concerns/Issues about Referencing/Attributions,8914,0.43529641566559235,2.768096652471433
Concerns/Issues about Data,Concerns/Issues about Peer Review,8706,0.5098980906641677,3.5573189370204044
Concerns/Issues about Peer Review,Investigation by Third Party,8472,0.4129459933710275,2.82896921038824
Computer-Aided Content or Computer-Generated Content,Concerns/Issues about Referencing/Attributions,8294,0.516052762568442,3.964939403379892
Computer-Aided Content or Computer-Generated Content,Investigation by Third Party,8283,0.445682001614205,3.3952046782602925
Concerns/Issues about Data,Concerns/Issues about Results and/or Conclusions,8150,0.5269964435822826,4.107716366258276
Concerns/Issues about Results and/or Conclusions,Investigation by Journal/Publisher,8148,0.25949871015000475,1.9455827477344931
Concerns/Issues about Results and/or Conclusions,Unreliable Results and/or Conclusions,8013,0.344986438196926,2.636862359840056
Computer-Aided Content or Computer-Generated Content,Unreliable Results and/or Conclusions,7999,0.34351112256291333,2.6195418574431173
Concerns/Issues about Referencing/Attributions,Concerns/Issues about Results and/or Conclusions,7424,0.43936793513641476,3.566261285896615
Concerns/Issues about Peer Review,Concerns/Issues about Results and/or Conclusions,7209,0.534,4.556650745959239
Concerns/Issues about Results and/or Conclusions,Investigation by Third Party,7107,0.36046865489957397,2.927300367438977
Computer-Aided Content or Computer-Generated Content,Concerns/Issues about Results and/or Conclusions,6826,0.5802941426506844,5.296305481467954
Concerns/Issues about Referencing/Attributions,Paper Mill,6722,0.3354458805329607,2.556324975934715
Computer-Aided Content or Computer-Generated Content,Concerns/Issues about Data,6721,0.3967766692248657,3.371118838251998
Computer-Aided Content or Computer-Generated Content,Concerns/Issues about Peer Review,6707,0.47746849861180324,4.2188720153972845
Computer-Aided Content or Computer-Generated Content,Paper Mill,6515,0.4488769463965826,4.001875024559959
Concerns/Issues about Data,Paper Mill,6328,0.3207786282759669,2.5249435283638295
Compromised Peer Review,Unreliable Results and/or Conclusions,6039,0.22265236146443979,1.6460592671315828
Concerns/Issues about Results and/or Conclusions,Paper Mill,5620,0.3657901588128092,3.4688705226853753
Concerns/Issues about Peer Review,Paper Mill,5464,0.3089623975120158,2.7341590017252986
Compromised Peer Review,Investigation by Third Party,4468,0.1840425093710096,1.5243414411663736
Breach of Policy by Author,Notice - Limited or No Information,4248,0.3392700263557224,4.964808656531424
Date of Article and/or Notice Unknown,Notice - Limited or No Information,4187,0.284888072395727,3.3937639739183716
Compromised Peer Review,Paper Mill,3959,0.20895128516387818,2.024069387044777
Breach of Policy by Author,Date of Article and/or Notice Unknown,3442,0.41746513038204974,6.9852572587546895
Compromised Peer Review,Concerns/Issues about Referencing/Attributions,3297,0.14368517388651617,1.311844211654115
Investigation by Journal/Publisher,Objections by Author(s),2992,0.09598665426197427,1.7037561719899548
Investigation by Journal/Publisher,Rogue Editor,2688,0.08792934249263984,1.995023979816261
Compromised Peer Review,Rogue Editor,2465,0.2104678961748634,4.948056256611299
Notice - Limited or No Information,Removed,2458,0.18196624222682856,3.451932333044664
Author Unresponsive,Investigation by Journal/Publisher,2240,0.07172590457893052,1.5522056681773364
Objections by Author(s),Unreliable Results and/or Conclusions,2183,0.09221475943057492,1.713141439924589
Investigation by Journal/Publisher,Lack of IRB/IACUC Approval and/or Compliance,2005,0.06487413447227075,1.6839960954778463
Duplication of/in Image,Investigation by Journal/Publisher,1959,0.05820137258979768,0.8117482686083168
Compromised Peer Review,Computer-Aided Content or Computer-Generated Content,1907,0.10250483766931842,1.2255909798808369
Concerns/Issues about Data,Lack of IRB/IACUC Approval and/or Compliance,1892,0.12540597865712202,3.354223433530783
Investigation by Third Party,Lack of IRB/IACUC Approval and/or Compliance,1858,0.10136941458890283,2.6918738185849707
Rogue Editor,Unreliable Results and/or Conclusions,1796,0.07756424098466853,1.83704087669408
Lack of IRB/IACUC Approval and/or Compliance,Unreliable Results and/or Conclusions,1788,0.07836605890603085,2.069606833280467
Concerns/Issues about Authorship/Affiliation,Investigation by Journal/Publisher,1786,0.05686449312277127,1.3546261926403198
Duplication of/in Image,Unreliable Results and/or Conclusions,1755,0.06867271873532635,1.0022075906029209
Concerns/Issues about Image,Investigation by Journal/Publisher,1711,0.05402930402930403,1.2203949619893246
Concerns/Issues about Referencing/Attributions,Lack of IRB/IACUC Approval and/or Compliance,1701,0.10641891891891891,2.8741374030468605
Euphemisms for Plagiarism,Plagiarism of Text,1699,0.3964069062062529,13.691758559770815
