reason_label,n,share_of_retraction_rows
"Investigation by Journal/Publisher",30278,0.45057
"Unreliable Results and/or Conclusions",21970,0.32695
"Investigation by Third Party",17554,0.26108
"Concerns/Issues about Referencing/Attributions",15049,0.22395
"Concerns/Issues about Data",14343,0.21345
"Notice - Limited or No Information",11985,0.17836
"Paper Mill",11712,0.17429
"Concerns/Issues about Peer Review",11437,0.17020
"Compromised Peer Review",11195,0.16660
"Computer-Aided Content or Computer-Generated Content",9317,0.13865
"Concerns/Issues about Results and/or Conclusions",9272,0.13800
"Date of Article and/or Notice Unknown",6902,0.10271
"Duplication of/in Image",5345,0.07954
"Breach of Policy by Author",4786,0.07122
"Removed",3988,0.05935
"Objections by Author(s)",3889,0.05787
"Euphemisms for Plagiarism",3793,0.05645
"Duplication of/in Article",3666,0.05456
"Investigation by Company/Institution",3269,0.04865
"Author Unresponsive",3195,0.04755
