case_id,country,outcome_genocide,case_type,start_year,end_year,identity_source,identity_status,date_status,source_note
AFG_1978_1992,Afghanistan,1,genocide_episode,1978,1992,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
DZA_1962_1962,Algeria,1,genocide_episode,1962,1962,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
AGO_1998_2002,Angola,1,genocide_episode,1998,2002,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
AGO_1975_1994,Angola,1,genocide_episode,1975,1994,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
ARG_1976_1980,Argentina,1,genocide_episode,1976,1980,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
BIH_1992_1995,Bosnia,1,genocide_episode,1992,1995,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
BDI_1993_1993,Burundi,1,genocide_episode,1993,1993,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
BDI_1988_1988,Burundi,1,genocide_episode,1988,1988,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
BDI_1965_1973,Burundi,1,genocide_episode,1965,1973,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
KHM_1975_1979,Cambodia,1,genocide_episode,1975,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
CHL_1973_1976,Chile,1,genocide_episode,1973,1976,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
CHN_1959_1959,China,1,genocide_episode,1959,1959,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
CHN_1966_1975,China,1,genocide_episode,1966,1975,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
COD_1964_1965,DR Congo,1,genocide_episode,1964,1965,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
COD_1977_1979,DR Congo,1,genocide_episode,1977,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
SLV_1980_1989,El Salvador,1,genocide_episode,1980,1989,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
GNQ_1969_1979,Equatorial Guinea,1,genocide_episode,1969,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
ETH_1976_1979,Ethiopia,1,genocide_episode,1976,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
GTM_1978_1990,Guatemala,1,genocide_episode,1978,1990,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
IDN_1965_1966,Indonesia,1,genocide_episode,1965,1966,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
IDN_1975_1992,Indonesia,1,genocide_episode,1975,1992,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
IRN_1981_1992,Iran,1,genocide_episode,1981,1992,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
IRQ_1988_1991,Iraq,1,genocide_episode,1988,1991,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
IRQ_1963_1975,Iraq,1,genocide_episode,1963,1975,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
MMR_1978_1978,Myanmar (Burma),1,genocide_episode,1978,1978,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
NGA_1967_1970,Nigeria,1,genocide_episode,1967,1970,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
PAK_1973_1977,Pakistan,1,genocide_episode,1973,1977,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
PAKBGD_1971_1971,Pakistan (now Bangladesh),1,genocide_episode,1971,1971,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
PHL_1972_1976,Philippines,1,genocide_episode,1972,1976,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
RWA_1994_1994,Rwanda,1,genocide_episode,1994,1994,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
RWA_1963_1964,Rwanda,1,genocide_episode,1963,1964,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
SOM_1988_1991,Somalia,1,genocide_episode,1988,1991,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
LKA_1989_1990,Sri Lanka,1,genocide_episode,1989,1990,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
SDN_1983_2002,Sudan,1,genocide_episode,1983,2002,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
SDN_1956_1972,Sudan,1,genocide_episode,1956,1972,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
SYR_1981_1982,Syria,1,genocide_episode,1981,1982,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
UGA_1971_1979,Uganda,1,genocide_episode,1971,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
UGA_1980_1986,Uganda,1,genocide_episode,1980,1986,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
VNM_S_1965_1975,Vietnam South,1,genocide_episode,1965,1975,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
YUG_1998_1999,Yugoslavia,1,genocide_episode,1998,1999,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list
ALB_1996,Albania,0,Complex,1996,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
DZA_1991,Algeria,0,Complex,1991,2004,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
ARG_1966,Argentina,0,Regime Change,1966,1966,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
ARM_1995,Armenia,0,Regime Change,1995,1996,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
AZE_1991,Azerbaijan,0,Complex,1991,1997,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
BGD_1974,Bangladesh,0,Complex,1974,1991,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
BLR_1995,Belarus,0,Regime Change,1995,1996,SCIP-2006-vintage consolidated page,reconstructed-v1,provisional-vintage-date,Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery.
