case_id,country,outcome_genocide,case_type,start_year,end_year,identity_source,identity_status,date_status,source_note,A_R,A_R_status,A_R_source,A_R_note,P_R,P_R_status,P_R_source,P_R_note,W_R,W_R_status,W_R_source,W_R_note,I_R,I_R_status,I_R_source,I_R_note,S_R,S_R_status,S_R_source,S_R_note,E_R,E_R_status,E_R_source,E_R_note,A_M,A_M_status,A_M_source,A_M_note,P_M,P_M_status,P_M_source,P_M_note,W_M,W_M_status,W_M_source,W_M_note,I_M,I_M_status,I_M_source,I_M_note,S_M,S_M_status,S_M_source,S_M_note,E_M,E_M_status,E_M_source,E_M_note
AFG_1978_1992,Afghanistan,1,genocide_episode,1978,1992,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
DZA_1962_1962,Algeria,1,genocide_episode,1962,1962,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
AGO_1998_2002,Angola,1,genocide_episode,1998,2002,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
AGO_1975_1994,Angola,1,genocide_episode,1975,1994,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
ARG_1976_1980,Argentina,1,genocide_episode,1976,1980,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BIH_1992_1995,Bosnia,1,genocide_episode,1992,1995,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BDI_1993_1993,Burundi,1,genocide_episode,1993,1993,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BDI_1988_1988,Burundi,1,genocide_episode,1988,1988,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
BDI_1965_1973,Burundi,1,genocide_episode,1965,1973,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
KHM_1975_1979,Cambodia,1,genocide_episode,1975,1979,Williams 2016 positive-case list,published-positive,published-positive-date,Williams 2016 positive-case appendix/list,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,,,UNRESOLVED,,
