case_id,country,conflict_type,began_vintage,ended_vintage,outcome_genocide,analysis_included,identity_status,date_status,source_basis,source_note
"ALB_1996","Albania","Complex","5/1996","5/1997",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"DZA_1991","Algeria","Complex","5/1991","12/2004",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"ARG_1966","Argentina","Regime Change","6/1966","6/1966",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"ARM_1995","Armenia","Regime Change","7/1995","9/1996",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"AZE_1991","Azerbaijan","Complex","8/1991","6/1997",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"BGD_1974","Bangladesh","Complex","12/1974","6/1991",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"BLR_1995","Belarus","Regime Change","4/1995","11/1996",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"BEN_1963","Benin","Regime Change","10/1963","12/1965",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"BEN_1972","Benin","Regime Change","10/1972","10/1972",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"BRA_1961","Brazil","Regime Change","9/1961","10/1965",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"BFA_1980","Burkina Faso","Regime Change","11/1980","11/1980",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"KHM_1997","Cambodia","Regime Change","7/1997","7/1997",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"TCD_1965","Chad","Complex","10/1965","10/1994",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"CHN_1988","China","Complex","7/1988","12/1998",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"COL_1984","Colombia","Revolutionary War","5/1984","ongoing",0,1,"reconstructed-v1","cross-version-date-drift","SCIP-2006-vintage consolidated page","Case identity is stable; exact begin date differs in later PITF versions and must be resolved before condition coding."
"COM_1976","Comoros","Regime Change","1/1976","1/1976",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"COM_1995","Comoros","Complex","9/1995","4/1999",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"COG_1963","Congo-Brazzaville","Regime Change","12/1963","12/1963",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"COG_1997","Congo-Brazzaville","Complex","6/1997","12/1999",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"COD_1992","Congo-Kinshasa","Complex","3/1992","ongoing",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"HRV_1991","Croatia","Ethnic War","6/1991","12/1995",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"CYP_1963","Cyprus","Complex","12/1963","4/1968",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"CYP_1974","Cyprus","Complex","7/1974","8/1974",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"CSK_1968","Czechoslovakia","Regime Change","8/1968","7/1969",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"DJI_1991","Djibouti","Ethnic War","11/1991","6/1994",0,1,"reconstructed-v1","provisional-vintage-date","PITF-2010-cited + PITF-2014/2017-confirmed","Absent from current SCIP HTML rendering but present in cited PITF 2010-era literature and confirmed in PITF 2014/2017; included to restore the published 99-control universe."
"DOM_1963","Dominican Republic","Complex","9/1963","7/1966",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"ECU_1970","Ecuador","Regime Change","6/1970","2/1972",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"EGY_1992","Egypt","Revolutionary War","2/1992","3/1999",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"FJI_1987","Fiji","Regime Change","12/1987","12/1987",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"FRA_1958","France","Regime Change","6/1958","6/1958",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
"GMB_1994","The Gambia","Regime Change","7/1994","7/1994",0,1,"reconstructed-v1","provisional-vintage-date","SCIP-2006-vintage consolidated page","Identity reconstructed from the Williams-era SCIP consolidated-event frame; dates remain source-vintage values pending exact 2010 snapshot recovery."
