case_id,sftgcode,start_year_2014lineage,end_year_2014lineage,event_types,outcome_genocide,canonical_status,source_lineage
NEG_001,ALB,1996,1997,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_002,ALG,1991,2004,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_003,ARG,1966,1966,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_004,ARM,1995,1996,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_005,AZE,1991,1997,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_006,BEN,1963,1965,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_007,BEN,1972,1972,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_008,BFO,1980,1980,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_009,BLR,1995,1996,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_010,BNG,1974,1991,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_011,BRA,1961,1965,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_012,CAM,1997,1997,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_013,CHA,1965,1994,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_014,CHN,1988,1998,eth+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_016,COL,1975,2014,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_017,COM,1976,1976,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_018,COM,1995,1999,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_019,CON,1963,1963,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_020,CON,1997,1999,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_021,CRO,1991,1995,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_023,CYP,1963,1968,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_024,CYP,1974,1974,eth+reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_025,CZE,1968,1969,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_026,DJI,1991,1994,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_027,DOM,1963,1966,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_028,ECU,1970,1972,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_029,EGY,1992,1999,rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_030,FJI,1987,1987,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_031,FRN,1958,1958,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_032,GAM,1994,1994,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_033,GHA,1972,1972,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_034,GHA,1981,1981,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_035,GNB,1998,2003,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_036,GRC,1967,1967,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_037,GRG,1991,1993,eth+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_038,GUY,1978,1980,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_039,HAI,1991,1991,reg,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_040,HUN,1956,1957,reg+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_041,IND,1956,1958,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_042,IND,1967,1971,eth,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
NEG_043,IND,1983,2014,eth+rev,0,reconstructed_identity_v1,Ulfelder EWP replication PITF-2014 transformed panel; <=5y consolidated reconstruction
