case_id,country,event_type,start,end,outcome_genocide,source_basis,reconstruction_status
ALBANIA_1996,Albania,Complex,5/1996,5/1997,0,PITF Consolidated Case List 2018,candidate_count_parity
ALGERIA_1991,Algeria,Complex,5/1991,12/2004,0,PITF Consolidated Case List 2018,candidate_count_parity
ARGENTINA_1966,Argentina,Regime Change,6/1966,6/1966,0,PITF Consolidated Case List 2018,candidate_count_parity
ARMENIA_1995,Armenia,Regime Change,7/1995,9/1996,0,PITF Consolidated Case List 2018,candidate_count_parity
AZERBAIJAN_1991,Azerbaijan,Complex,8/1991,6/1997,0,PITF Consolidated Case List 2018,candidate_count_parity
BANGLADESH_1974,Bangladesh,Complex,12/1974,6/1991,0,PITF Consolidated Case List 2018,candidate_count_parity
BELARUS_1995,Belarus,Regime Change,4/1995,11/1996,0,PITF Consolidated Case List 2018,candidate_count_parity
BENIN_1963,Benin,Regime Change,10/1963,12/1965,0,PITF Consolidated Case List 2018,candidate_count_parity
BENIN_1972,Benin,Regime Change,10/1972,10/1972,0,PITF Consolidated Case List 2018,candidate_count_parity
BRAZIL_1961,Brazil,Regime Change,9/1961,10/1965,0,PITF Consolidated Case List 2018,candidate_count_parity
BURKINA_FASO_1980,Burkina Faso,Regime Change,11/1980,11/1980,0,PITF Consolidated Case List 2018,candidate_count_parity
CAMBODIA_1997,Cambodia,Regime Change,7/1997,7/1997,0,PITF Consolidated Case List 2018,candidate_count_parity
CHAD_1965,Chad,Complex,10/1965,10/1994,0,PITF Consolidated Case List 2018,candidate_count_parity
CHINA_1988,China,Complex,7/1988,12/1998,0,PITF Consolidated Case List 2018,candidate_count_parity
COLOMBIA_1975,Colombia,Revolutionary War,6/1975,ongoing,0,PITF Consolidated Case List 2018,candidate_count_parity
COMOROS_1976,Comoros,Regime Change,1/1976,1/1976,0,PITF Consolidated Case List 2018,candidate_count_parity
COMOROS_1995,Comoros,Complex,9/1995,4/1999,0,PITF Consolidated Case List 2018,candidate_count_parity
CONGO_BRAZZAVILLE_1963,Congo-Brazzaville,Regime Change,12/1963,12/1963,0,PITF Consolidated Case List 2018,candidate_count_parity
CONGO_BRAZZAVILLE_1997,Congo-Brazzaville,Complex,6/1997,12/1999,0,PITF Consolidated Case List 2018,candidate_count_parity
CONGO_KINSHASA_1992,Congo-Kinshasa,Complex,3/1992,ongoing,0,PITF Consolidated Case List 2018,candidate_count_parity
CROATIA_1991,Croatia,Ethnic War,6/1991,12/1995,0,PITF Consolidated Case List 2018,candidate_count_parity
CYPRUS_1963,Cyprus,Complex,12/1963,4/1968,0,PITF Consolidated Case List 2018,candidate_count_parity
CYPRUS_1974,Cyprus,Complex,7/1974,8/1974,0,PITF Consolidated Case List 2018,candidate_count_parity
CZECHOSLOVAKIA_1968,Czechoslovakia,Regime Change,8/1968,9/1969,0,PITF Consolidated Case List 2018,candidate_count_parity
