case_id,country,start_year,end_year,outcome_genocide,analysis_included,source_note
AFG_1978_1992,Afghanistan,1978,1992,1,1,Williams 2016 positive-case appendix/list
DZA_1962_1962,Algeria,1962,1962,1,1,Williams 2016 positive-case appendix/list
AGO_1998_2002,Angola,1998,2002,1,1,Williams 2016 positive-case appendix/list
AGO_1975_1994,Angola,1975,1994,1,1,Williams 2016 positive-case appendix/list
ARG_1976_1980,Argentina,1976,1980,1,1,Williams 2016 positive-case appendix/list
BIH_1992_1995,Bosnia,1992,1995,1,1,Williams 2016 positive-case appendix/list
BDI_1993_1993,Burundi,1993,1993,1,1,Williams 2016 positive-case appendix/list
BDI_1988_1988,Burundi,1988,1988,1,1,Williams 2016 positive-case appendix/list
BDI_1965_1973,Burundi,1965,1973,1,1,Williams 2016 positive-case appendix/list
KHM_1975_1979,Cambodia,1975,1979,1,1,Williams 2016 positive-case appendix/list
CHL_1973_1976,Chile,1973,1976,1,1,Williams 2016 positive-case appendix/list
CHN_1959_1959,China,1959,1959,1,1,Williams 2016 positive-case appendix/list
CHN_1966_1975,China,1966,1975,1,1,Williams 2016 positive-case appendix/list
COD_1964_1965,DR Congo,1964,1965,1,1,Williams 2016 positive-case appendix/list
COD_1977_1979,DR Congo,1977,1979,1,1,Williams 2016 positive-case appendix/list
SLV_1980_1989,El Salvador,1980,1989,1,1,Williams 2016 positive-case appendix/list
GNQ_1969_1979,Equatorial Guinea,1969,1979,1,1,Williams 2016 positive-case appendix/list
ETH_1976_1979,Ethiopia,1976,1979,1,1,Williams 2016 positive-case appendix/list
GTM_1978_1990,Guatemala,1978,1990,1,1,Williams 2016 positive-case appendix/list
IDN_1965_1966,Indonesia,1965,1966,1,1,Williams 2016 positive-case appendix/list
IDN_1975_1992,Indonesia,1975,1992,1,1,Williams 2016 positive-case appendix/list
IRN_1981_1992,Iran,1981,1992,1,1,Williams 2016 positive-case appendix/list
IRQ_1988_1991,Iraq,1988,1991,1,1,Williams 2016 positive-case appendix/list
IRQ_1963_1975,Iraq,1963,1975,1,1,Williams 2016 positive-case appendix/list
MMR_1978_1978,Myanmar (Burma),1978,1978,1,1,Williams 2016 positive-case appendix/list
NGA_1967_1970,Nigeria,1967,1970,1,1,Williams 2016 positive-case appendix/list
PAK_1973_1977,Pakistan,1973,1977,1,1,Williams 2016 positive-case appendix/list
PAKBGD_1971_1971,Pakistan (now Bangladesh),1971,1971,1,1,Williams 2016 positive-case appendix/list
PHL_1972_1976,Philippines,1972,1976,1,1,Williams 2016 positive-case appendix/list
RWA_1994_1994,Rwanda,1994,1994,1,1,Williams 2016 positive-case appendix/list
RWA_1963_1964,Rwanda,1963,1964,1,1,Williams 2016 positive-case appendix/list
SOM_1988_1991,Somalia,1988,1991,1,1,Williams 2016 positive-case appendix/list
LKA_1989_1990,Sri Lanka,1989,1990,1,1,Williams 2016 positive-case appendix/list
SDN_1983_2002,Sudan,1983,2002,1,1,Williams 2016 positive-case appendix/list
SDN_1956_1972,Sudan,1956,1972,1,1,Williams 2016 positive-case appendix/list
SYR_1981_1982,Syria,1981,1982,1,1,Williams 2016 positive-case appendix/list
UGA_1971_1979,Uganda,1971,1979,1,1,Williams 2016 positive-case appendix/list
UGA_1980_1986,Uganda,1980,1986,1,1,Williams 2016 positive-case appendix/list
VNM_S_1965_1975,Vietnam South,1965,1975,1,1,Williams 2016 positive-case appendix/list
YUG_1998_1999,Yugoslavia,1998,1999,1,1,Williams 2016 positive-case appendix/list
SDN_2003_OPEN,Sudan,2003,,1,0,Williams reference list; explicitly excluded from 40-case analysis because case ongoing/new
