case_id,name,official_class,SCALE,BULK_MATERIAL,ATMOSPHERE_RETENTION,INTERNAL_ORGANIZATION,SOLAR_ENERGY,missing_conditions
P01,Mercury,planet,READY,READY,READY,READY,READY,COMPLETE
P02,Venus,planet,READY,READY,READY,READY,READY,COMPLETE
P03,Earth,planet,READY,READY,READY,READY,READY,COMPLETE
P04,Mars,planet,READY,READY,READY,READY,READY,COMPLETE
P05,Jupiter,planet,READY,READY,READY,READY,READY,COMPLETE
P06,Saturn,planet,READY,READY,READY,READY,READY,COMPLETE
P07,Uranus,planet,READY,READY,READY,READY,READY,COMPLETE
P08,Neptune,planet,READY,READY,READY,READY,READY,COMPLETE
D01,Ceres,dwarf_planet,READY,READY,READY,READY,READY,COMPLETE
D02,Pluto,dwarf_planet,READY,READY,READY,READY,READY,COMPLETE
D03,Haumea,dwarf_planet,READY,READY,READY,READY,READY,COMPLETE
D04,Makemake,dwarf_planet,READY,READY,READY,GAP,READY,organization
D05,Eris,dwarf_planet,READY,READY,READY,READY,READY,COMPLETE
M01,Moon,satellite,READY,READY,READY,READY,READY,COMPLETE
M02,Phobos,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M03,Deimos,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M04,Io,satellite,READY,READY,READY,READY,READY,COMPLETE
M05,Europa,satellite,READY,READY,READY,READY,READY,COMPLETE
M06,Ganymede,satellite,READY,READY,READY,READY,READY,COMPLETE
M07,Callisto,satellite,READY,READY,READY,READY,READY,COMPLETE
M08,Mimas,satellite,READY,READY,READY,READY,READY,COMPLETE
M09,Enceladus,satellite,READY,READY,READY,READY,READY,COMPLETE
M10,Tethys,satellite,READY,READY,READY,READY,READY,COMPLETE
M11,Dione,satellite,READY,READY,READY,READY,READY,COMPLETE
M12,Rhea,satellite,READY,READY,READY,READY,READY,COMPLETE
M13,Titan,satellite,READY,READY,READY,READY,READY,COMPLETE
M14,Iapetus,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M15,Miranda,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M16,Ariel,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M17,Umbriel,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M18,Titania,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M19,Oberon,satellite,READY,READY,GAP,GAP,READY,atmosphere+organization
M20,Triton,satellite,READY,READY,READY,READY,READY,COMPLETE
M21,Charon,satellite,READY,READY,READY,READY,READY,COMPLETE
S01,Vesta,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S02,Pallas,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S03,Hygiea,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S04,Interamnia,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S05,Eros,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S06,Bennu,small_body,GAP,GAP,READY,READY,GAP,scale+material+solar
S07,Ryugu,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S08,Itokawa,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S09,Quaoar,small_body,GAP,GAP,READY,READY,GAP,scale+material+solar
S10,Orcus,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S11,Sedna,small_body,GAP,GAP,GAP,GAP,GAP,scale+material+atmosphere+organization+solar
S12,Gonggong,small_body,GAP,GAP,GAP,GAP,GAP,scale+material+atmosphere+organization+solar
S13,Salacia,small_body,GAP,GAP,GAP,READY,GAP,scale+material+atmosphere+solar
S14,Varda,small_body,GAP,GAP,GAP,GAP,GAP,scale+material+atmosphere+organization+solar
S15,Ixion,small_body,GAP,GAP,GAP,GAP,GAP,scale+material+atmosphere+organization+solar
S16,Varuna,small_body,GAP,GAP,GAP,GAP,GAP,scale+material+atmosphere+organization+solar
