case_id,name,official_class,composition_state,composition_value,atmosphere_state,atmosphere_value,differentiation_state,differentiation_value,geologic_activity_state,geologic_activity_value,ocean_state,ocean_value,tidal_heating_state,tidal_heating_value,evidence_source_key,review_status
P01,Mercury,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
P02,Venus,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
P03,Earth,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
P04,Mars,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
P05,Jupiter,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
P06,Saturn,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
P07,Uranus,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
P08,Neptune,planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
D01,Ceres,dwarf_planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
D02,Pluto,dwarf_planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
D03,Haumea,dwarf_planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
D04,Makemake,dwarf_planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
D05,Eris,dwarf_planet,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M01,Moon,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M02,Phobos,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M03,Deimos,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M04,Io,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M05,Europa,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M06,Ganymede,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M07,Callisto,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M08,Mimas,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M09,Enceladus,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M10,Tethys,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M11,Dione,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M12,Rhea,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M13,Titan,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M14,Iapetus,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M15,Miranda,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M16,Ariel,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M17,Umbriel,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M18,Titania,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M19,Oberon,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M20,Triton,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
M21,Charon,satellite,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S01,Vesta,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S02,Pallas,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S03,Hygiea,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S04,Interamnia,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S05,Eros,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S06,Bennu,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S07,Ryugu,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S08,Itokawa,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S09,Quaoar,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S10,Orcus,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S11,Sedna,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S12,Gonggong,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S13,Salacia,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S14,Varda,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S15,Ixion,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
S16,Varuna,small_body,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,PENDING_REVIEW,,,UNEXPOSED_TO_QCA_RESULT
