case_id,name,official_class,composition_state,composition_value,composition_source_key,atmosphere_state,atmosphere_value,atmosphere_source_key,differentiation_state,differentiation_value,differentiation_source_key,geologic_activity_state,geologic_activity_value,geologic_activity_source_key,ocean_state,ocean_value,ocean_source_key,tidal_heating_state,tidal_heating_value,tidal_heating_source_key,coding_batch,coding_notes,review_status
P01,Mercury,planet,STRONGLY_CONSTRAINED,ROCK_METAL,NASA_MERCURY_FACTS,DIRECT_MEASURED,EXOSPHERE_TRACE,NASA_MERCURY_FACTS,STRONGLY_CONSTRAINED,DIFFERENTIATED,NASA_MERCURY_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
P02,Venus,planet,STRONGLY_CONSTRAINED,ROCK_METAL,NASA_VENUS_FACTS,DIRECT_MEASURED,SUBSTANTIAL,NASA_VENUS_FACTS,STRONGLY_CONSTRAINED,DIFFERENTIATED,NASA_VENUS_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
P03,Earth,planet,STRONGLY_CONSTRAINED,ROCK_METAL,NASA_EARTH_FACTS,DIRECT_MEASURED,SUBSTANTIAL,NASA_EARTH_FACTS,STRONGLY_CONSTRAINED,DIFFERENTIATED,NASA_EARTH_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
P04,Mars,planet,STRONGLY_CONSTRAINED,ROCK_METAL,NASA_MARS_FACTS,DIRECT_MEASURED,COLLISIONAL_THIN,NASA_MARS_FACTS,STRONGLY_CONSTRAINED,DIFFERENTIATED,NASA_MARS_FACTS,STRONGLY_CONSTRAINED,PAST_ONLY,NASA_MARS_FACTS,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
P05,Jupiter,planet,STRONGLY_CONSTRAINED,H_HE_ENVELOPE,NASA_JUPITER_FACTS,DIRECT_MEASURED,DEEP_ENVELOPE,NASA_JUPITER_FACTS,MODEL_INFERRED,PARTIAL_OR_UNCERTAIN,NASA_JUPITER_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
P06,Saturn,planet,STRONGLY_CONSTRAINED,H_HE_ENVELOPE,NASA_SATURN_FACTS,DIRECT_MEASURED,DEEP_ENVELOPE,NASA_SATURN_FACTS,MODEL_INFERRED,DIFFERENTIATED,NASA_SATURN_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
P07,Uranus,planet,STRONGLY_CONSTRAINED,ICE_VOLATILE_RICH,NASA_URANUS_FACTS,DIRECT_MEASURED,DEEP_ENVELOPE,NASA_URANUS_FACTS,MODEL_INFERRED,DIFFERENTIATED,NASA_URANUS_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
P08,Neptune,planet,STRONGLY_CONSTRAINED,ICE_VOLATILE_RICH,NASA_NEPTUNE_FACTS,DIRECT_MEASURED,DEEP_ENVELOPE,NASA_NEPTUNE_FACTS,MODEL_INFERRED,DIFFERENTIATED,NASA_NEPTUNE_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
D01,Ceres,dwarf_planet,STRONGLY_CONSTRAINED,ROCK_ICE_MIXED,NASA_CERES_FACTS,STRONGLY_CONSTRAINED,EXOSPHERE_TRACE,NASA_CERES_FACTS,MODEL_INFERRED,PARTIAL_OR_UNCERTAIN,NASA_CERES_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
D02,Pluto,dwarf_planet,STRONGLY_CONSTRAINED,ROCK_ICE_MIXED,NASA_PLUTO_FACTS,DIRECT_MEASURED,COLLISIONAL_THIN,NASA_PLUTO_FACTS,MODEL_INFERRED,DIFFERENTIATED,NASA_PLUTO_FACTS,PENDING_REVIEW,,,PENDING_REVIEW,,,NA_NOT_APPLICABLE,,PROTOCOL_DIRECT_SUN_DEFAULT,ANCHOR_01_2026-09-24,High-confidence anchor coding only; unresolved geologic/ocean dimensions remain PENDING_REVIEW.,UNEXPOSED_TO_QCA_RESULT
D03,Haumea,dwarf_planet,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
D04,Makemake,dwarf_planet,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
D05,Eris,dwarf_planet,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M01,Moon,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M02,Phobos,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M03,Deimos,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M04,Io,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
M05,Europa,satellite,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,PENDING_REVIEW,,,,,UNEXPOSED_TO_QCA_RESULT
