case_id,name,official_class,primary_body,orbit_status,heliocentric_semimajor_axis_au,heliocentric_a_value_type,primary_orbit_semimajor_axis_km,eccentricity,inclination_deg,orbital_period_days,host_solar_distance_au,frame,epoch_tdb,ephemeris,source_key,retrieved_date,notes
P01,Mercury,planet,Sun,INGESTED_DERIVED_A,0.3871035315,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,87.96925717,0.3871035315,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
P02,Venus,planet,Sun,INGESTED_DERIVED_A,0.7233407437,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,224.7007992,0.7233407437,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
P03,Earth,planet,Sun,INGESTED_DERIVED_A,1.000011600,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,365.2563553,1.000011600,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
P04,Mars,planet,Sun,INGESTED_DERIVED_A,1.523710305,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,686.9795859,1.523710305,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
P05,Jupiter,planet,Sun,INGESTED_DERIVED_A,5.201400444,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,4332.820129,5.201400444,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
P06,Saturn,planet,Sun,INGESTED_DERIVED_A,9.535985906,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,10755.69864,9.535985906,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
P07,Uranus,planet,Sun,INGESTED_DERIVED_A,19.18275217,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,30687.153,19.18275217,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
P08,Neptune,planet,Sun,INGESTED_DERIVED_A,30.05773295,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,60190.02963,30.05773295,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
D01,Ceres,dwarf_planet,Sun,INGESTED_DERIVED_A,2.769920367,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,1683.8025,2.769920367,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
D02,Pluto,dwarf_planet,Sun,INGESTED_DERIVED_A,39.46466930,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,90553.01741,39.46466930,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
D03,Haumea,dwarf_planet,Sun,INGESTED_DERIVED_A,43.28826264,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,104026.8525,43.28826264,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
D04,Makemake,dwarf_planet,Sun,INGESTED_DERIVED_A,45.56182099,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,112328.985,45.56182099,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
D05,Eris,dwarf_planet,Sun,INGESTED_DERIVED_A,67.74247706,DERIVED_KEPLER_FROM_JPL_PERIOD,,,,203648.79,67.74247706,,,,JPL_PLANET_PHYS_PERIOD,2026-09-24,Heliocentric a derived from JPL sidereal orbital period using a_AU=(P_year)^2/3 under 1-solar-mass Kepler approximation; direct catalog a still preferred for final raw freeze.
M01,Moon,satellite,Earth,INGESTED_JPL_MEAN_ELEMENTS,,,384400,0.0554,5.16,27.322,1.0000115998750991,ecliptic,2000-01-01.5,DE405/LE405,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M02,Phobos,satellite,Mars,INGESTED_JPL_MEAN_ELEMENTS,,,9375,0.015,1.1,0.3187,1.523710305389973,Laplace,2000-01-01.5,MAR099,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M03,Deimos,satellite,Mars,INGESTED_JPL_MEAN_ELEMENTS,,,23457,0,1.8,1.2625,1.523710305389973,Laplace,2000-01-01.5,MAR099,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M04,Io,satellite,Jupiter,INGESTED_JPL_MEAN_ELEMENTS,,,421800,0.004,0,1.762732,5.201400444481008,Laplace,2000-01-01.5,JUP365,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M05,Europa,satellite,Jupiter,INGESTED_JPL_MEAN_ELEMENTS,,,671100,0.009,0.5,3.525463,5.201400444481008,Laplace,2000-01-01.5,JUP365,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M06,Ganymede,satellite,Jupiter,INGESTED_JPL_MEAN_ELEMENTS,,,1070400,0.001,0.2,7.155588,5.201400444481008,Laplace,2000-01-01.5,JUP365,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M07,Callisto,satellite,Jupiter,INGESTED_JPL_MEAN_ELEMENTS,,,1882700,0.007,0.3,16.69044,5.201400444481008,Laplace,2000-01-01.5,JUP365,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M08,Mimas,satellite,Saturn,INGESTED_JPL_MEAN_ELEMENTS,,,186000,0.02,1.6,0.942422,9.53598590599597,Laplace,2000-01-01.5,SAT441,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M09,Enceladus,satellite,Saturn,INGESTED_JPL_MEAN_ELEMENTS,,,238400,0.005,0,1.370218,9.53598590599597,Laplace,2000-01-01.5,SAT441,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M10,Tethys,satellite,Saturn,INGESTED_JPL_MEAN_ELEMENTS,,,295000,0.001,1.1,1.887802,9.53598590599597,Laplace,2000-01-01.5,SAT441,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M11,Dione,satellite,Saturn,INGESTED_JPL_MEAN_ELEMENTS,,,377700,0.002,0,2.736916,9.53598590599597,Laplace,2000-01-01.5,SAT441,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M12,Rhea,satellite,Saturn,INGESTED_JPL_MEAN_ELEMENTS,,,527200,0.001,0.3,4.517503,9.53598590599597,Laplace,2000-01-01.5,SAT441,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M13,Titan,satellite,Saturn,INGESTED_JPL_MEAN_ELEMENTS,,,1221900,0.029,0.3,15.945448,9.53598590599597,Laplace,2000-01-01.5,SAT441,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M14,Iapetus,satellite,Saturn,INGESTED_JPL_MEAN_ELEMENTS,,,3561700,0.028,7.6,79.331002,9.53598590599597,Laplace,2000-01-01.5,SAT441,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M15,Miranda,satellite,Uranus,INGESTED_JPL_MEAN_ELEMENTS,,,129846,0.001,4.4,1.413479,19.182752170991186,equatorial,2000-01-01.5,URA182,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M16,Ariel,satellite,Uranus,INGESTED_JPL_MEAN_ELEMENTS,,,190929,0.001,0,2.520379,19.182752170991186,equatorial,2000-01-01.5,URA182,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M17,Umbriel,satellite,Uranus,INGESTED_JPL_MEAN_ELEMENTS,,,265986,0.004,0.1,4.144177,19.182752170991186,equatorial,2000-01-01.5,URA182,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M18,Titania,satellite,Uranus,INGESTED_JPL_MEAN_ELEMENTS,,,436298,0.002,0.1,8.705869,19.182752170991186,equatorial,2000-01-01.5,URA182,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M19,Oberon,satellite,Uranus,INGESTED_JPL_MEAN_ELEMENTS,,,583511,0.002,0.1,13.463237,19.182752170991186,equatorial,2000-01-01.5,URA182,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
M20,Triton,satellite,Neptune,INGESTED_JPL_MEAN_ELEMENTS,,,354800,0,157.3,5.876994,30.057732954241676,Laplace,2000-01-01.5,NEP097,JPL_SAT_MEAN_ELEMENTS,2026-09-24,"Primary-centric mean elements from JPL satellite mean-elements table; adequate for comparative descriptors, not high-fidelity ephemeris computation."
