name,official_class,mass_1e24kg,diameter_km,density_kg_m3,gravity_m_s2,escape_velocity_km_s,rotation_period_h,orbit_distance_1e6_km,orbit_distance_reference,orbital_period_days,orbital_period_reference,orbital_inclination_deg,orbital_eccentricity,mean_temperature_c,surface_pressure_bar_raw,source_id
Mercury,planet,0.330,4879,5429,3.7,4.3,1407.6,57.9,Sun,88.0,Sun,7.0,0.206,167,0,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Venus,planet,4.87,12104,5243,8.9,10.4,-5832.5,108.2,Sun,224.7,Sun,3.4,0.007,464,92,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Earth,planet,5.97,12756,5514,9.8,11.2,23.9,149.6,Sun,365.2,Sun,0.0,0.017,15,1,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Moon,satellite,0.073,3475,3340,1.6,2.4,655.7,0.384,Earth,27.3,Earth,5.1,0.055,-20,0,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Mars,planet,0.642,6792,3934,3.7,5.0,24.6,228.0,Sun,687.0,Sun,1.8,0.094,-65,0.01,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Jupiter,planet,1898,142984,1326,23.1,59.5,9.9,778.5,Sun,4331,Sun,1.3,0.049,-110,NA_NOT_MEASURED,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Saturn,planet,568,120536,687,9.0,35.5,10.7,1432.0,Sun,10747,Sun,2.5,0.052,-140,NA_NOT_MEASURED,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Uranus,planet,86.8,51118,1270,8.7,21.3,-17.2,2867.0,Sun,30589,Sun,0.8,0.047,-195,NA_NOT_MEASURED,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Neptune,planet,102,49528,1638,11.0,23.5,16.1,4515.0,Sun,59800,Sun,1.8,0.010,-200,NA_NOT_MEASURED,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
Pluto,dwarf_planet,0.0130,2376,1850,0.7,1.3,-153.3,5906.4,Sun,90560,Sun,17.2,0.244,-225,0.00001,NASA_NSSDC_PLANETARY_FACT_SHEET_2025-03-18
