case_id,name,official_class,primary_body,source_key,ingestion_status,mass_kg,mass_sigma_kg,mass_value_type,gm_km3_s2,gm_sigma_km3_s2,gm_ref,mean_radius_km,radius_sigma_km,density_g_cm3,density_sigma_g_cm3,rotation_period_h,orbital_period_days,geometric_albedo,retrieved_date,notes
P01,Mercury,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,3.30103e+23,21000000000000000000,DIRECT_TABLE,,,,2439.4,0.1,5.4289,0.0007,1407.5088,87.96925717,0.106,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P02,Venus,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,4.86731e+24,230000000000000000000,DIRECT_TABLE,,,,6051.8,1,5.243,0.003,-5832.432,224.7007992,0.65,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P03,Earth,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,5.97217e+24,280000000000000000000,DIRECT_TABLE,,,,6371.0084,0.0001,5.5134,0.0003,23.9344723,365.2563553,0.367,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P04,Mars,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,6.41691e+23,30000000000000000000,DIRECT_TABLE,,,,3389.5,0.2,3.934,0.0007,24.6229622,686.9795859,0.15,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P05,Jupiter,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,1.898125e+27,8.8e+22,DIRECT_TABLE,,,,69911,6,1.3262,0.0003,9.92496,4332.820129,0.52,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P06,Saturn,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,5.68317e+26,2.6e+22,DIRECT_TABLE,,,,58232,6,0.6871,0.0002,10.65624,10755.69864,0.47,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P07,Uranus,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,8.68099e+25,4e+21,DIRECT_TABLE,,,,25362,7,1.27,0.001,-17.23992,30687.153,0.51,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P08,Neptune,planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,1.024092e+26,4.8e+21,DIRECT_TABLE,,,,24622,19,1.638,0.004,16.11,60190.02963,0.41,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
D01,Ceres,dwarf_planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,938416000000000000000,13000000000000000,DIRECT_TABLE,,,,469.7,,2.162,0.008,9.07417008,1683.8025,0.09,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
D02,Pluto,dwarf_planet,Sun,JPL_PLANET_PHYS,INGESTED_CORE,1.30246e+22,6000000000000000000,DIRECT_TABLE,,,,1188.3,1.6,1.853,0.004,-153.2928,90553.01741,0.3,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
