case_id,name,official_class,primary_body,source_key,source_tier,ingestion_status,mass_kg,mass_sigma_kg,mass_value_type,gm_km3_s2,gm_sigma_km3_s2,gm_ref,mean_radius_km,radius_sigma_km,radius_value_type,density_g_cm3,density_sigma_g_cm3,rotation_period_h,orbital_period_days,geometric_albedo,retrieved_date,notes
P01,Mercury,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,3.30103e+23,21000000000000000000,DIRECT_TABLE,,,,2439.4,0.1,DIRECT_TABLE,5.4289,0.0007,1407.5088,87.96925717,0.106,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P02,Venus,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,4.86731e+24,230000000000000000000,DIRECT_TABLE,,,,6051.8,1,DIRECT_TABLE,5.243,0.003,-5832.432,224.7007992,0.65,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P03,Earth,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,5.97217e+24,280000000000000000000,DIRECT_TABLE,,,,6371.0084,0.0001,DIRECT_TABLE,5.5134,0.0003,23.9344723,365.2563553,0.367,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P04,Mars,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,6.41691e+23,30000000000000000000,DIRECT_TABLE,,,,3389.5,0.2,DIRECT_TABLE,3.934,0.0007,24.6229622,686.9795859,0.15,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P05,Jupiter,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.898125e+27,8.8e+22,DIRECT_TABLE,,,,69911,6,DIRECT_TABLE,1.3262,0.0003,9.92496,4332.820129,0.52,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P06,Saturn,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,5.68317e+26,2.6e+22,DIRECT_TABLE,,,,58232,6,DIRECT_TABLE,0.6871,0.0002,10.65624,10755.69864,0.47,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P07,Uranus,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,8.68099e+25,4e+21,DIRECT_TABLE,,,,25362,7,DIRECT_TABLE,1.27,0.001,-17.23992,30687.153,0.51,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
P08,Neptune,planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.024092e+26,4.8e+21,DIRECT_TABLE,,,,24622,19,DIRECT_TABLE,1.638,0.004,16.11,60190.02963,0.41,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
D01,Ceres,dwarf_planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,938416000000000000000,13000000000000000,DIRECT_TABLE,,,,469.7,,DIRECT_TABLE,2.162,0.008,9.07417008,1683.8025,0.09,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
D02,Pluto,dwarf_planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.30246e+22,6000000000000000000,DIRECT_TABLE,,,,1188.3,1.6,DIRECT_TABLE,1.853,0.004,-153.2928,90553.01741,0.3,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
D03,Haumea,dwarf_planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,4.006e+21,40000000000000000000,DIRECT_TABLE,,,,715,,DIRECT_TABLE,2.6,,3.9144,104026.8525,0.72,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
D04,Makemake,dwarf_planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,3.1e+21,,DIRECT_TABLE,,,,714,7,DIRECT_TABLE,2.1,,22.488,112328.985,0.81,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
D05,Eris,dwarf_planet,Sun,JPL_PLANET_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.66e+22,200000000000000000000,DIRECT_TABLE,,,,1200,50,DIRECT_TABLE,2.3,0.3,25.896,203648.79,0.84,2026-09-24,JPL planetary/dwarf physical table; source-native rotation days and orbital years normalized with 24 h/d and 365.25 d/y.
M01,Moon,satellite,Earth,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,7.345789071513118e+22,14982844642883898,DERIVED_FROM_GM_CODATA2018,4902.8,0.001,DE440,1737.4,0.1,DIRECT_TABLE,3.344,0.001,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M02,Phobos,satellite,Mars,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,10618341998411820,8989706785730.338,DERIVED_FROM_GM_CODATA2018,0.0007087,6e-7,MAR097,11.08,0.04,DIRECT_TABLE,1.872,0.076,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M03,Deimos,satellite,Mars,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1441349654645431,41951965000074.914,DERIVED_FROM_GM_CODATA2018,0.0000962,0.0000028,MAR097,6.2,0.24,DIRECT_TABLE,1.471,0.166,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M04,Io,satellite,Jupiter,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,8.929648757173036e+22,20226840267893264,DERIVED_FROM_GM_CODATA2018,5959.91547,0.00135,JUP365,1821.49,0.5,DIRECT_TABLE,3.5276,0.0029,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M05,Europa,satellite,Jupiter,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,4.7985737830184444e+22,27118948803619856,DERIVED_FROM_GM_CODATA2018,3202.7121,0.00181,JUP365,1560.8,0.3,DIRECT_TABLE,3.013,0.0017,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M06,Ganymede,satellite,Jupiter,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.4814786194806946e+23,37007626267923224,DERIVED_FROM_GM_CODATA2018,9887.83275,0.00247,JUP365,2631.2,1.7,DIRECT_TABLE,1.9416,0.0038,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M07,Callisto,satellite,Jupiter,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,1.075660878294353e+23,48544416642943820,DERIVED_FROM_GM_CODATA2018,7179.2834,0.00324,JUP365,2410.3,1.5,DIRECT_TABLE,1.834,0.0034,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M08,Mimas,satellite,Saturn,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,37509401735013420000,2097598250003745.5,DERIVED_FROM_GM_CODATA2018,2.50349,0.00014,SAT441,198.2,0.4,DIRECT_TABLE,1.1501,0.007,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M09,Enceladus,satellite,Saturn,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,108031853527710780000,1348456017859551,DERIVED_FROM_GM_CODATA2018,7.21037,0.00009,SAT441,252.1,0.2,DIRECT_TABLE,1.6097,0.0038,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
M10,Tethys,satellite,Saturn,JPL_SAT_PHYS,OFFICIAL_JPL,INGESTED_CORE,617495917174834900000,4644681839294008,DERIVED_FROM_GM_CODATA2018,41.21353,0.00031,SAT441,531.1,0.6,DIRECT_TABLE,0.984,0.0033,,,,2026-09-24,JPL satellite physical table; mass derived from GM using G=6.67430e-20 km^3 kg^-1 s^-2 (CODATA 2018).
