bundle_id,family,tradition_id,motif_id,motif_state,negative_closed,source_ids,packet_ids,basis,notes
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_DSTR_INUNDATION,present,false,SRC_SUM_FLOOD,P_FLOOD_SUM,positive_in_bundle,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_EXTERMINATORY,present,false,SRC_SUM_FLOOD,P_FLOOD_SUM,positive_in_bundle,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_WARNING,present,false,SRC_SUM_FLOOD,P_FLOOD_SUM,positive_in_bundle,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_SELECTED_SURVIVOR,present,false,SRC_SUM_FLOOD,P_FLOOD_SUM,positive_in_bundle,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_VESSEL,present,false,SRC_SUM_FLOOD,P_FLOOD_SUM,positive_in_bundle,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_HIGH_REFUGE,not_observed,false,SRC_SUM_FLOOD,P_FLOOD_SUM,negative_not_closed_due_bundle_coverage,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_POST_RITUAL,present,false,SRC_SUM_FLOOD,P_FLOOD_SUM,positive_in_bundle,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_SUM,flood,SUM_OB,FLOOD_REPOPULATION,not_observed,false,SRC_SUM_FLOOD,P_FLOOD_SUM,negative_not_closed_due_bundle_coverage,"Sumerian Flood Story surviving C/D passages; positives usable, negatives not closed."
FB_FLOOD_AKK,flood,AKK_MB_SB,FLOOD_DSTR_INUNDATION,present,true,SRC_AKK_GILG_TXT,P_FLOOD_GILG,positive_in_bundle,Gilgamesh XI flood account as the frozen Standard Babylonian flood bundle.
FB_FLOOD_AKK,flood,AKK_MB_SB,FLOOD_EXTERMINATORY,present,true,SRC_AKK_GILG_TXT,P_FLOOD_GILG,positive_in_bundle,Gilgamesh XI flood account as the frozen Standard Babylonian flood bundle.
