tradition_a,tradition_b,relation_class,same_macrofamily,same_branch,same_language_continuum,quantitative_ready,numeric_distance,notes
SUM_OB,AKK_OB,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,AKK_MB_SB,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,HUR_HIT_LBA,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
SUM_OB,UGARIT_LBA,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,EGY_MK,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,EGY_NK,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,VED_RV,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,GRC_ARCH,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,HEB_GEN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
SUM_OB,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,AKK_MB_SB,same_language_continuum,true,true,true,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,HUR_HIT_LBA,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
AKK_OB,UGARIT_LBA,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,EGY_MK,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,EGY_NK,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,VED_RV,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,GRC_ARCH,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,HEB_GEN,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_OB,CHN_WS_HAN,different_top_level,false,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
AKK_MB_SB,HUR_HIT_LBA,composite_requires_source_layer_split,,,,false,,HUR_HIT composite must be split into Hittite/Hurrian source layers before ancestry modeling.
AKK_MB_SB,UGARIT_LBA,same_macrofamily,true,false,false,true,,Topology indicators only; no branch length interpreted as time or genetic distance.
