source_id,tradition_id,work_or_object,source_kind,motif_priority,access_status,evidence_grade,chronology_risk,canonical_or_discovery_reference,notes
SRC_SUM_FLOOD,SUM_OB,ETCSL 1.7.4 The Flood Story,digital critical corpus,"flood; anthropogony",open,A,medium,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4,"Oxford ETCSL gives transliteration/translation; surviving text is fragmentary"
SRC_SUM_NETHER,SUM_OB,ETCSL 1.7.3 Ningishzida's Journey to the Nether World,digital critical corpus,underworld,open,A,medium,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=all,"use composition-level bibliography before confirmatory coding"
SRC_AKK_ATRA,AKK_OB,Epic of Atrahasis,critical-edition target,"anthropogony; flood",bibliographic,B,medium,"Atrahasis I.195-240; esp. I.210-226; Lambert & Millard 1969 / Foster; open line-numbered discovery text https://www.livius.org/sources/content/anet/104-106-the-epic-of-atrahasis/","line locator now frozen; final wording still checked against scholarly edition"
SRC_AKK_GILG11,AKK_MB_SB,Gilgamesh Tablet XI / British Museum K.3375,artifact + text edition,"flood; mortality",open_artifact,A,low,https://www.britishmuseum.org/collection/object/W_K-3375,"BM dates K.3375 to 7th c BCE; narrative tradition is older and must not be dated solely from this witness"
SRC_AKK_GILG_TXT,AKK_MB_SB,Gilgamesh Tablet XI Kovacs translation,translation,"flood; mortality",open,B,medium,https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm,"use for calibration convenience; confirm key codes against cuneiform/critical edition"
SRC_HIT_ULLI,HUR_HIT_LBA,Song of Ullikummi,critical edition,"divine_conflict; cosmogony",bibliographic,A,medium,https://doi.org/10.2307/1359008,"Güterbock 1951-52; Hittite version of Hurrian myth; transmission direction/layer must be coded"
SRC_HIT_MYTHS,HUR_HIT_LBA,Hittite Myths 2nd ed.,specialist translation,"divine_conflict; cosmogony",commercial,B,medium,https://cart.sbl-site.org/books/061502P,"Hoffner 1998; translations from original tablets with line counts"
SRC_UGAR_BAAL,UGARIT_LBA,Ugaritic Baal Cycle KTU 1.1-1.6,critical edition/translation,"divine_conflict; underworld; kingship",commercial,A,medium,https://brill.com/display/title/1061?language=en,"Smith 1994/2009; tablet continuity itself requires caution"
SRC_EGY_CT,EGY_MK,Coffin Texts,institutional corpus guide,"underworld; cosmogony; mortality",open,C,medium,https://www.ucl.ac.uk/museums-static/digitalegypt/literature/religious/coffin.html,"UCL provides corpus chronology and references; confirm individual spells against editions"
SRC_EGY_BD149,EGY_NK,Book of the Dead Chapter 149,digital text + witness notes,underworld,open,A,low,https://www.ucl.ac.uk/museums-static/digitalegypt/literature/religious/bd149.html,"many sections first occur in 18th Dynasty; earlier parallels explicitly listed"
SRC_EGY_BD99,EGY_NK,Book of the Dead Chapter 99,digital text + witness notes,underworld,open,A,low,https://www.ucl.ac.uk/museums-static/digitalegypt/literature/religious/bd99.html,"ferry/barrier motif candidate; antecedents in Coffin Texts flagged"
SRC_VED_RV,VED_RV,Rigveda Samhita GRETIL,digital scholarly text,"cosmogony; divine_conflict; anthropogony",open,A,medium,https://gretil.sub.uni-goettingen.de/gret_utfbk.htm,"primary Sanskrit e-text; translation/philology should be sourced separately"
SRC_VED_INDRA,VED_RV,Rigveda 1.32 Indra-Vritra,primary hymn,"divine_conflict",open,A,medium,https://www.gretil.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedasaMhitApadapATha.htm,"code from Sanskrit/critical translation; avoid treating Vritra automatically as same entity class as Near Eastern sea/dragon opponents"
SRC_VED_NAS,VED_RV,Rigveda 10.129 Nasadiya Sukta,primary hymn,cosmogony,open,A,medium,https://www.gretil.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedasaMhitApadapATha.htm,"not a simple creation narrative; uncertainty itself is a textual feature"
SRC_GRC_THEO,GRC_ARCH,Hesiod Theogony,critical text/translation,"divine_conflict; cosmogony; succession",open,A,low,https://catalog.perseus.tufts.edu/catalog/urn:cts:greekLit:tlg0020.tlg001,"Perseus editions/translations; line-level citations available"
SRC_GRC_DEUC,GRC_ARCH,Apollodorus Library 1.7.2,later comparator,flood,open,A,high,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0022%3Atext%3DLibrary%3Abook%3D1%3Achapter%3D7%3Asection%3D2,"do NOT back-project this later witness into Archaic Greek pilot coding; comparator only"
SRC_HEB_GEN2,HEB_GEN,Genesis 2:7,digital primary text,anthropogony,open,A,medium,https://www.sefaria.org/Genesis.2.7,"earth/dust + divine breath candidate; translation choices and compositional source models flagged"
