tradition_id,source_id,packet_id,motif_id,motif_family,witness_scope,source_state,adjudication_basis,analysis_excluded,exclusion_reason,passage_locator,source_url
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_DSTR_INUNDATION,flood,in-window,present,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_EXTERMINATORY,flood,in-window,present,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_WARNING,flood,in-window,present,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_SELECTED_SURVIVOR,flood,in-window,present,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_VESSEL,flood,in-window,present,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_HIGH_REFUGE,flood,in-window,absent,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_POST_RITUAL,flood,in-window,present,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
SUM_OB,SRC_SUM_FLOOD,P_FLOOD_SUM,FLOOD_REPOPULATION,flood,in-window,absent,A_B_agree,false,,ETCSL 1.7.4 Segment C 1-27 + Segment D 1-11,https://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=t.1.7.4
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_DSTR_INUNDATION,flood,in-window,present,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_EXTERMINATORY,flood,in-window,present,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_WARNING,flood,in-window,present,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_SELECTED_SURVIVOR,flood,in-window,present,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_VESSEL,flood,in-window,present,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_HIGH_REFUGE,flood,in-window,absent,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_POST_RITUAL,flood,in-window,present,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
AKK_MB_SB,SRC_AKK_GILG_TXT,P_FLOOD_GILG,FLOOD_REPOPULATION,flood,in-window,absent,A_B_agree,false,,"Epic of Gilgamesh Tablet XI, flood account",https://www.ancienttexts.org/library/mesopotamian/gilgamesh/tab11.htm
HEB_GEN,SRC_HEB_FLOOD,P_FLOOD_GEN,FLOOD_DSTR_INUNDATION,flood,in-window,present,A_B_agree,false,,Genesis 6-9,https://www.sefaria.org/Genesis.7-9
HEB_GEN,SRC_HEB_FLOOD,P_FLOOD_GEN,FLOOD_EXTERMINATORY,flood,in-window,present,A_B_agree,false,,Genesis 6-9,https://www.sefaria.org/Genesis.7-9
HEB_GEN,SRC_HEB_FLOOD,P_FLOOD_GEN,FLOOD_WARNING,flood,in-window,present,A_B_agree,false,,Genesis 6-9,https://www.sefaria.org/Genesis.7-9
HEB_GEN,SRC_HEB_FLOOD,P_FLOOD_GEN,FLOOD_SELECTED_SURVIVOR,flood,in-window,present,A_B_agree,false,,Genesis 6-9,https://www.sefaria.org/Genesis.7-9
HEB_GEN,SRC_HEB_FLOOD,P_FLOOD_GEN,FLOOD_VESSEL,flood,in-window,present,A_B_agree,false,,Genesis 6-9,https://www.sefaria.org/Genesis.7-9
HEB_GEN,SRC_HEB_FLOOD,P_FLOOD_GEN,FLOOD_HIGH_REFUGE,flood,in-window,absent,A_B_agree,false,,Genesis 6-9,https://www.sefaria.org/Genesis.7-9
