tradition_id,FLOOD_DSTR_INUNDATION,FLOOD_EXTERMINATORY,FLOOD_WARNING,FLOOD_SELECTED_SURVIVOR,FLOOD_VESSEL,FLOOD_HIGH_REFUGE,FLOOD_POST_RITUAL,FLOOD_REPOPULATION,DIV_SUCCESSION_YOUNGER_OLDER,DIV_FATHER_SON,DIV_STORM_SERPENT,DIV_STORM_SEA,DIV_BODY_TO_COSMOS,DIV_COUNCIL,DIV_KINGSHIP_TRANSFER,DIV_PRIMORDIAL_REBELLION,ANTH_EARTH_DUST,ANTH_CLAY_MUD,ANTH_POTTER_FORMING,ANTH_DIVINE_BLOOD_FLESH,ANTH_BREATH_ANIMATION,ANTH_CREATED_FOR_SERVICE,ANTH_BODY_SACRIFICE,ANTH_FIRST_PAIR
SUM_OB,present,present,present,present,present,not_observed,present,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,present,not_observed,not_observed,present,not_observed,not_observed
AKK_OB,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,not_observed,present,not_observed,present,not_observed,not_observed
AKK_MB_SB,present,present,present,present,present,not_observed,present,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed
HUR_HIT_LBA,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,uncertain,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed
UGARIT_LBA,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed
EGY_MK,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed
EGY_NK,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed
VED_RV,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,not_observed
GRC_ARCH,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,present,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed
HEB_GEN,present,present,present,present,present,not_observed,present,present,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,present,not_observed,not_observed,not_observed,present,not_observed,not_observed,not_observed
CHN_WS_HAN,present,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed
